# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-a" "DataBase/Arabidopsis_thaliana.TAIR10.54.gff3" "-t" "ncRNA" "-g" "ID" "-o" "AtAgo1_RNA-seq_featureCounts_ncRNA.txt" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam" "AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam" 
Geneid	Chr	Start	End	Strand	Length	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_3_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/AGO1_4_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/Col_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_1_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/ago1_2_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_1_9_39bp._sorted_rmblack.bam	AtAgo1_RNA-seq/220809_RNAseq/Files/bam/deltaN_4_1_39bp._sorted_rmblack.bam
transcript:AT1G34418.1	1	12582122	12582721	+	600	339	392	436	382	396	379	319	366
transcript:AT1G06797.1	1	12767251	12767754	+	504	0	0	0	0	0	0	0	0
transcript:AT1G43765.1	1	16537511	16538091	+	581	14	25	8	4	12	10	8	23
transcript:AT1G07257.1	1	16812746	16812944	+	199	0	0	0	0	0	0	0	0
transcript:AT1G46554.1	1	17252952	17253903	+	952	146	185	131	191	144	126	127	133
transcript:AT1G07507.1	1	18079156	18079354	+	199	0	0	0	0	0	0	0	0
transcript:AT1G07543.1	1	18265144	18265339	-	196	0	4	8	3	2	5	5	1
transcript:AT1G49832.2	1	18447615	18448335	+	721	0	0	0	0	0	0	0	0
transcript:AT1G49832.1	1	18447615	18448335	+	721	0	0	0	0	0	0	0	0
transcript:AT1G49952.1	1	18492026	18493257	-	1232	6	2	9	2	6	2	2	10
transcript:AT1G50055.1	1	18549204	18550042	-	839	109	74	105	96	101	140	84	108
transcript:AT1G07647.1	1	18725436	18725628	-	193	29	22	20	11	14	14	20	38
transcript:AT1G50659.1	1	18770937	18771930	-	994	191	212	219	270	283	183	173	233
transcript:AT1G07757.1	1	19129915	19130104	+	190	10	9	8	6	7	6	4	6
transcript:AT1G52347.1	1	19496461	19497686	+	1226	0	0	0	0	0	0	0	0
transcript:AT1G52347.2	1	19496499	19497720	+	1222	0	0	0	0	0	0	0	0
transcript:AT1G52615.2	1	19600531	19602345	-	1815	0	0	0	0	0	0	0	0
transcript:AT1G52615.1	1	19600531	19602345	-	1815	0	0	0	0	0	0	0	0
transcript:AT1G07847.1	1	19708995	19709193	-	199	17	29	36	35	21	24	23	29
transcript:AT1G07963.1	1	20275815	20275999	+	185	26	21	29	31	59	61	34	42
transcript:AT1G07977.1	1	20412149	20412497	+	349	0	0	1	0	1	0	0	0
transcript:AT1G55525.1	1	20728329	20728745	-	417	2	0	0	0	41	81	3	2
transcript:AT1G57835.1	1	21422460	21423346	+	887	0	0	0	0	0	0	0	0
transcript:AT1G58590.2	1	21742944	21743877	-	934	7	6	8	10	22	12	3	5
transcript:AT1G58590.1	1	21743159	21743891	-	733	1	1	0	0	2	0	1	1
transcript:AT1G58808.1	1	21784645	21786869	+	2225	0	0	0	0	0	0	0	0
transcript:AT1G08253.1	1	21859041	21859313	-	273	0	0	0	0	0	0	0	0
transcript:AT1G08427.1	1	22771937	22772131	-	195	27	22	29	24	30	32	39	39
transcript:AT1G08493.1	1	23006714	23006912	+	199	0	0	0	0	0	0	0	0
transcript:AT1G08547.1	1	23181614	23181887	+	274	27	33	52	42	56	108	40	54
transcript:AT1G64563.1	1	23975085	23978335	-	3251	40	53	55	49	92	80	63	55
transcript:AT1G64572.1	1	23984011	23984795	+	785	64	114	103	103	142	122	55	83
transcript:AT1G64618.1	1	24005900	24006393	+	494	5	2	2	2	2	0	0	0
transcript:AT1G08747.1	1	24229258	24229575	-	318	70	104	82	86	50	51	100	90
transcript:AT1G08747.2	1	24230386	24230569	-	184	266	297	304	409	145	198	244	272
transcript:AT1G66173.1	1	24642586	24644068	+	1483	18	14	6	18	16	9	9	29
transcript:AT1G08823.1	1	24712212	24712410	-	199	0	0	0	0	0	0	0	0
transcript:AT1G67105.1	1	25057479	25058264	+	786	64	54	46	103	62	79	88	60
transcript:AT1G67238.1	1	25158115	25158454	-	340	0	0	0	0	0	0	0	0
transcript:AT1G08933.1	1	25219756	25219954	-	199	0	0	0	4	2	0	0	0
transcript:AT1G68568.1	1	25746977	25747654	-	678	161	158	243	241	318	299	111	84
transcript:AT1G68568.2	1	25747202	25747388	-	187	0	0	0	0	0	0	0	0
transcript:AT1G68568.3	1	25747613	25747964	-	352	0	0	2	0	0	4	0	0
transcript:AT1G68872.4	1	25889284	25891750	-	2467	2	4	1	2	4	1	5	1
transcript:AT1G68872.1	1	25889295	25891750	-	2456	0	0	0	0	0	0	0	0
transcript:AT1G68872.2	1	25889295	25891750	-	2456	0	0	0	0	0	0	0	0
transcript:AT1G68872.3	1	25889301	25891743	-	2443	0	0	0	0	0	0	0	0
transcript:AT1G69252.2	1	26036570	26037649	+	1080	0	0	0	0	0	0	0	0
transcript:AT1G69252.1	1	26036733	26037659	+	927	0	1	0	0	0	0	0	0
transcript:AT1G09073.1	1	26183486	26183684	-	199	0	0	0	0	0	0	0	0
transcript:AT1G70185.1	1	26429733	26430069	+	337	2	7	5	4	5	11	3	6
transcript:AT1G70518.1	1	26583570	26584684	+	1115	95	80	92	149	121	94	75	101
transcript:AT1G70581.1	1	26616267	26616996	+	730	10	16	4	10	37	11	10	4
transcript:AT1G09277.1	1	27073231	27073604	+	374	0	0	0	0	0	0	0	0
transcript:AT1G09583.1	1	28470024	28470292	-	269	0	0	0	0	0	0	0	0
transcript:AT1G77138.1	1	28982766	28983469	+	704	13	27	28	26	10	17	14	21
transcript:AT1G78865.1	1	29647738	29649951	-	2214	66	67	76	91	65	56	47	52
transcript:AT1G09837.1	1	29668453	29668642	+	190	31	55	58	63	23	29	30	59
transcript:AT1G09843.1	1	29739892	29740072	+	181	64	71	54	69	91	67	69	83
transcript:AT1G79075.1	1	29745939	29746842	+	904	2	11	4	5	7	8	1	4
transcript:AT1G79075.2	1	29746013	29746816	+	804	0	0	0	0	0	0	0	0
transcript:AT1G09903.1	1	29978635	29978822	+	188	30	70	39	46	50	44	60	62
transcript:AT1G09923.1	1	30026771	30026967	+	197	2	1	1	2	1	2	4	2
transcript:AT2G01422.1	2	183940	184734	+	795	0	0	0	0	0	0	0	0
transcript:AT2G01422.2	2	183940	184734	+	795	0	0	0	0	0	0	0	0
transcript:AT2G04705.1	2	1319421	1319619	-	199	0	0	0	0	0	0	0	0
transcript:AT2G05518.1	2	2023295	2023995	+	701	22	42	12	27	11	16	27	43
transcript:AT2G05995.1	2	2325776	2326876	+	1101	14	10	7	8	4	10	2	4
transcript:AT2G06002.1	2	2330776	2331479	+	704	22	24	18	28	49	45	27	33
transcript:AT2G06562.1	2	2617554	2619173	+	1620	0	2	0	0	0	0	0	0
transcript:AT2G07042.1	2	2919953	2922249	-	2297	72	110	98	64	799	674	86	41
transcript:AT2G10537.1	2	4083603	4083913	-	311	0	0	0	0	0	0	0	0
transcript:AT2G05685.1	2	4963770	4964218	-	449	0	0	0	0	0	0	0	0
transcript:AT2G14878.1	2	6392167	6393042	+	876	697	695	643	583	1060	1066	823	852
transcript:AT2G15128.1	2	6564104	6564316	+	213	40	43	48	37	44	36	47	43
transcript:AT2G15292.1	2	6644281	6645533	-	1253	378	394	455	415	198	294	376	476
transcript:AT2G15555.1	2	6785904	6786976	-	1073	4	0	0	2	0	0	0	0
transcript:AT2G18440.2	2	7994941	7997239	-	2299	14	27	15	14	14	3	16	12
transcript:AT2G18440.1	2	7995729	7997198	-	1470	0	0	0	0	0	0	0	0
transcript:AT2G18735.1	2	8122119	8123076	+	958	100	100	75	96	102	81	125	123
transcript:AT2G19796.1	2	8529916	8530187	-	272	0	0	0	0	0	0	0	0
transcript:AT2G21188.1	2	9079042	9079538	-	497	20	56	27	27	208	142	25	21
transcript:AT2G07405.1	2	9090639	9090837	-	199	0	0	0	0	0	0	0	0
transcript:AT2G07575.1	2	9495178	9495376	+	199	0	0	1	0	1	0	2	0
transcript:AT2G22482.1	2	9549649	9550084	-	436	20	26	29	19	12	37	27	14
transcript:AT2G07975.1	2	10297846	10298482	+	637	0	0	0	0	0	0	0	0
transcript:AT2G24735.1	2	10528064	10533887	+	5824	2	2	2	2	1	5	0	0
transcript:AT2G08135.1	2	11059878	11060060	-	183	27	32	19	34	23	17	25	27
transcript:AT2G27400.1	2	11721539	11722468	-	930	85	126	134	143	180	164	114	173
transcript:AT2G08205.1	2	11746004	11746186	+	183	3	6	5	4	15	13	8	14
transcript:AT2G08330.1	2	12543543	12543710	-	168	247	247	311	319	124	171	237	254
transcript:AT2G30115.1	2	12858462	12860142	+	1681	0	0	4	0	0	0	0	3
transcript:AT2G30945.2	2	13172342	13173983	+	1642	0	0	0	0	0	0	0	0
transcript:AT2G30945.1	2	13172342	13173983	+	1642	0	0	0	0	0	0	0	0
transcript:AT2G30945.3	2	13172372	13173888	+	1517	0	0	0	0	0	0	0	0
transcript:AT2G31585.1	2	13446002	13446729	+	728	0	0	0	0	0	0	0	0
transcript:AT2G31585.2	2	13446035	13446727	+	693	0	0	0	0	0	0	0	0
transcript:AT2G08475.1	2	13555925	13556113	-	189	150	198	192	328	771	553	168	189
transcript:AT2G31902.1	2	13560454	13563811	+	3358	44	58	54	54	79	67	26	68
transcript:AT2G31902.2	2	13561228	13561500	+	273	0	0	0	0	0	0	0	0
transcript:AT2G31902.3	2	13561794	13562377	+	584	0	0	0	0	0	0	0	0
transcript:AT2G31902.4	2	13564485	13564677	+	193	0	2	0	4	2	5	0	0
transcript:AT2G31902.5	2	13567217	13569962	+	2746	104	85	69	78	62	102	47	93
transcript:AT2G32795.1	2	13909423	13910910	+	1488	35	27	43	22	38	58	42	65
transcript:AT2G08610.1	2	14287178	14287423	+	246	14	7	13	16	3	3	11	19
transcript:AT2G08745.1	2	14990540	14990685	+	146	1	5	8	9	4	5	1	4
transcript:AT2G36307.1	2	15218040	15219415	-	1376	30	58	38	65	25	23	34	32
transcript:AT2G08915.1	2	15890620	15891076	-	457	46	51	41	52	122	91	50	23
transcript:AT2G08915.2	2	15891313	15891540	-	228	349	441	323	513	781	598	294	222
transcript:AT2G09000.1	2	16321728	16321921	-	194	2	3	3	3	8	8	5	4
transcript:AT2G09035.1	2	16428857	16429040	-	184	0	0	0	0	0	0	0	0
transcript:AT2G09045.1	2	16463300	16463441	-	142	22	16	10	17	7	6	13	13
transcript:AT2G39675.1	2	16537288	16538277	-	990	91	128	102	163	675	562	111	148
transcript:AT2G39681.1	2	16539384	16540417	-	1034	198	248	235	267	565	487	233	352
transcript:AT2G09155.1	2	16893239	16893437	+	199	0	0	0	0	0	0	1	0
transcript:AT2G09215.1	2	17130013	17130359	-	347	26	30	34	44	34	41	28	49
transcript:AT2G41312.2	2	17225523	17226045	+	523	0	0	0	0	0	0	0	0
transcript:AT2G41312.1	2	17225542	17226693	+	1152	0	1	0	0	0	0	0	0
transcript:AT2G09365.1	2	17626644	17626842	-	199	0	0	0	0	0	0	0	0
transcript:AT2G42388.1	2	17650225	17651083	+	859	1	0	6	0	0	0	2	0
transcript:AT2G42425.1	2	17661834	17662358	-	525	0	0	0	0	0	0	0	0
transcript:AT2G42485.1	2	17690531	17691018	+	488	68	51	92	99	60	70	58	58
transcript:AT2G09395.1	2	17777597	17777692	+	96	166	209	173	211	400	390	191	193
transcript:AT2G09400.1	2	17804407	17804604	+	198	38	39	38	61	89	55	53	50
transcript:AT2G43375.1	2	18017116	18018691	-	1576	63	67	59	52	47	52	72	101
transcript:AT2G09475.1	2	18044316	18044778	-	463	0	0	0	0	0	0	0	0
transcript:AT2G44995.1	2	18562102	18563678	+	1577	38	29	41	34	35	26	44	51
transcript:AT2G45023.1	2	18570156	18572173	-	2018	3	0	0	0	0	0	0	0
transcript:AT2G45023.2	2	18570513	18572173	-	1661	0	0	0	0	0	0	0	0
transcript:AT2G45245.3	2	18659235	18660661	-	1427	0	1	0	0	0	2	0	0
transcript:AT2G45245.4	2	18659254	18661294	-	2041	1	2	2	8	11	6	8	11
transcript:AT2G45245.2	2	18659291	18660656	-	1366	0	0	0	0	0	0	0	0
transcript:AT2G45245.1	2	18659422	18660655	-	1234	0	0	0	0	0	0	0	0
transcript:AT2G45780.1	2	18854555	18855184	-	630	2	4	6	4	2	8	2	2
transcript:AT2G09675.1	2	18919458	18919640	-	183	27	38	54	58	53	44	47	50
transcript:AT2G46192.1	2	18973307	18974133	+	827	90	73	41	52	66	46	45	31
transcript:AT2G09735.1	2	19136029	19136127	-	99	410	399	290	499	467	531	203	196
transcript:AT2G09785.1	2	19345150	19345317	-	168	478	520	593	475	640	666	529	567
transcript:AT3G00980.1	3	104968	105271	-	304	12	2	4	6	6	5	3	3
transcript:AT3G01005.1	3	137987	138174	+	188	52	32	57	38	74	102	42	36
transcript:AT3G01135.1	3	582753	582945	+	193	70	83	65	82	82	64	60	72
transcript:AT3G02832.1	3	616380	617322	+	943	72	37	39	41	28	43	30	24
transcript:AT3G04485.1	3	1198114	1200104	+	1991	41	64	52	48	56	44	47	45
transcript:AT3G01525.1	3	1347057	1347194	+	138	49	67	50	56	73	63	52	70
transcript:AT3G01605.1	3	1419106	1419295	+	190	12	20	21	16	37	40	22	21
transcript:AT3G05152.1	3	1443967	1445087	+	1121	0	0	5	9	8	6	0	4
transcript:AT3G01615.1	3	1468822	1469015	+	194	17	19	27	30	15	18	11	7
transcript:AT3G06125.2	3	1848848	1849332	+	485	0	0	0	0	0	0	0	0
transcript:AT3G06125.3	3	1848876	1849332	+	457	0	0	0	0	0	0	0	0
transcript:AT3G06125.1	3	1848883	1850596	+	1714	1	3	1	0	0	0	6	2
transcript:AT3G01905.1	3	2193439	2193635	-	197	43	47	51	51	41	33	38	32
transcript:AT3G06962.1	3	2197123	2197332	+	210	4	0	0	0	7	4	1	0
transcript:AT3G01925.1	3	2242401	2242590	-	190	12	10	11	11	14	14	5	9
transcript:AT3G07215.4	3	2296036	2297789	-	1754	1	0	0	1	3	0	0	0
transcript:AT3G07215.3	3	2296157	2297734	-	1578	0	0	0	0	0	0	0	0
transcript:AT3G07215.2	3	2296158	2297751	-	1594	0	0	0	0	0	0	0	0
transcript:AT3G07215.1	3	2296164	2297729	-	1566	0	0	0	0	0	0	0	0
transcript:AT3G02075.1	3	2554150	2554333	-	184	16	20	9	13	4	15	10	6
transcript:AT3G02115.1	3	2840063	2840234	-	172	106	89	96	149	169	182	84	103
transcript:AT3G11415.1	3	3588684	3589685	+	1002	2	7	2	0	1	0	4	0
transcript:AT3G02475.1	3	3663839	3663975	+	137	3	6	0	0	4	3	8	2
transcript:AT3G02565.1	3	4017469	4017667	-	199	64	64	72	77	89	91	62	64
transcript:AT3G02585.1	3	4049878	4050061	-	184	21	35	9	14	40	26	21	32
transcript:AT3G12965.1	3	4136961	4137674	-	714	227	311	309	290	317	380	236	236
transcript:AT3G13277.1	3	4290082	4291595	+	1514	112	141	104	122	136	108	126	127
transcript:AT3G14185.1	3	4709272	4709814	-	543	2	2	0	5	0	4	0	6
transcript:AT3G03065.1	3	5132771	5132969	-	199	0	0	0	0	0	0	0	0
transcript:AT3G15536.1	3	5260723	5261322	+	600	0	0	0	2	233	127	0	0
transcript:AT3G03155.1	3	5292030	5292223	+	194	10	17	16	16	26	15	13	27
transcript:AT3G03155.2	3	5292507	5292702	+	196	32	33	25	33	32	27	20	39
transcript:AT3G17185.1	3	5861491	5862437	+	947	0	0	0	0	0	0	0	0
transcript:AT3G17185.2	3	5861491	5862437	+	947	0	0	0	0	0	0	0	0
transcript:AT3G18362.1	3	6302112	6303924	+	1813	0	0	0	0	0	0	0	0
transcript:AT3G18362.2	3	6302112	6304457	+	2346	0	0	0	0	0	0	0	1
transcript:AT3G03695.1	3	6344092	6344411	+	320	0	0	0	0	0	0	0	0
transcript:AT3G03745.1	3	6430084	6430211	+	128	30	33	20	19	38	42	27	48
transcript:AT3G04195.1	3	7689656	7689838	+	183	13	11	15	12	27	23	10	11
transcript:AT3G04355.1	3	8136703	8136886	+	184	30	29	31	46	50	66	35	33
transcript:AT3G04535.1	3	8464538	8464801	-	264	0	0	0	0	0	0	0	0
transcript:AT3G04685.1	3	8919082	8919257	-	176	114	115	52	37	62	70	101	24
transcript:AT3G25795.1	3	9417551	9418705	-	1155	2	8	8	5	4	2	6	7
transcript:AT3G26612.1	3	9781983	9783412	+	1430	61	84	104	91	110	137	105	99
transcript:AT3G05185.1	3	10035930	10036128	+	199	0	0	0	0	0	0	0	0
transcript:AT3G05215.1	3	10059452	10059947	-	496	0	0	0	0	0	0	0	0
transcript:AT3G27884.2	3	10346086	10348281	-	2196	0	0	0	0	0	0	0	0
transcript:AT3G27884.3	3	10346086	10348281	-	2196	0	0	0	0	0	0	0	0
transcript:AT3G27884.1	3	10346177	10348282	-	2106	0	0	0	0	0	0	0	0
transcript:AT3G41761.1	3	14195917	14196078	+	162	64	78	102	60	62	90	120	75
transcript:AT3G44765.1	3	16311975	16314027	+	2053	0	3	10	2	5	0	2	4
transcript:AT3G44798.1	3	16342295	16343014	+	720	179	194	152	190	147	166	201	223
transcript:AT3G45638.1	3	16755215	16756263	-	1049	4	4	8	4	0	0	4	7
transcript:AT3G45638.2	3	16755470	16756290	-	821	0	0	0	0	0	0	0	0
transcript:AT3G46614.1	3	17169402	17171044	-	1643	2	12	0	0	4	2	2	0
transcript:AT3G07485.1	3	17171530	17171917	-	388	0	0	0	4	1	1	1	0
transcript:AT3G07635.1	3	17344712	17345113	-	402	4	4	0	6	0	2	2	2
transcript:AT3G48115.2	3	17771170	17772038	-	869	0	0	0	0	0	0	0	0
transcript:AT3G48115.1	3	17771184	17772926	-	1743	42	92	63	91	62	81	46	66
transcript:AT3G08085.1	3	18502522	18502710	+	189	2	9	6	7	0	2	1	1
transcript:AT3G08170.1	3	18935873	18936117	-	245	19	36	24	37	52	38	38	20
transcript:AT3G08170.2	3	18938055	18938239	-	185	248	275	318	397	532	410	261	338
transcript:AT3G52742.1	3	19547358	19549011	-	1654	0	0	1	0	0	0	0	0
transcript:AT3G52748.1	3	19548972	19549589	+	618	6	10	30	14	19	30	16	5
transcript:AT3G53365.1	3	19787255	19787702	+	448	8	22	22	13	11	18	11	19
transcript:AT3G54366.1	3	20132886	20133750	+	865	367	402	458	435	353	374	514	481
transcript:AT3G08410.1	3	20187985	20188376	+	392	0	1	0	0	0	0	0	0
transcript:AT3G55485.1	3	20571434	20571938	+	505	4	9	3	6	5	10	0	8
transcript:AT3G08705.1	3	21020237	21020434	+	198	34	42	39	57	34	36	43	42
transcript:AT3G08785.1	3	21069721	21069899	+	179	1866	2068	2313	2420	1023	1365	1779	2059
transcript:AT3G57157.1	3	21157011	21157247	+	237	14	21	42	19	232	158	16	30
transcript:AT3G08895.1	3	21219129	21219327	-	199	126	168	97	131	132	154	115	146
transcript:AT3G08975.1	3	21387121	21387303	+	183	40	36	40	51	41	47	30	42
transcript:AT3G59765.3	3	22075815	22078348	-	2534	0	3	0	5	0	7	0	3
transcript:AT3G59765.2	3	22076387	22078361	-	1975	0	0	0	0	0	0	0	0
transcript:AT3G59765.1	3	22076463	22078339	-	1877	0	0	0	0	0	0	0	0
transcript:AT3G60176.1	3	22240155	22241164	-	1010	0	0	0	2	1	0	3	0
transcript:AT3G60238.1	3	22259085	22259844	-	760	0	0	0	0	0	0	0	0
transcript:AT3G60972.1	3	22561916	22562576	-	661	6	9	5	10	7	6	4	7
transcript:AT3G61118.1	3	22616581	22617427	-	847	0	6	3	7	18	2	1	1
transcript:AT3G61198.1	3	22655884	22656599	-	716	18	23	13	17	142	107	20	35
transcript:AT4G03605.1	4	178519	178717	+	199	0	0	0	0	0	0	0	0
transcript:AT4G03675.1	4	270998	271192	-	195	27	22	26	32	23	24	19	26
transcript:AT4G03685.1	4	271533	271722	+	190	4	3	12	2	0	5	0	8
transcript:AT4G00975.1	4	421973	423258	+	1286	32	25	35	31	34	28	15	17
transcript:AT4G00975.2	4	422003	422200	+	198	0	0	0	0	0	0	0	0
transcript:AT4G00975.3	4	422005	422929	+	925	0	0	0	0	0	0	0	0
transcript:AT4G01533.1	4	667148	669073	-	1926	12	9	7	6	8	2	14	8
transcript:AT4G03955.1	4	712342	712526	+	185	30	46	33	42	12	9	25	25
transcript:AT4G02005.6	4	876876	879732	-	2857	0	0	0	0	0	0	0	0
transcript:AT4G02005.5	4	876890	879774	-	2885	0	0	0	0	0	0	0	0
transcript:AT4G02005.3	4	876907	879712	-	2806	0	0	0	0	0	0	0	0
transcript:AT4G02005.1	4	876908	879181	-	2274	0	0	0	0	0	0	0	0
transcript:AT4G02005.4	4	876908	879723	-	2816	0	0	0	0	0	0	0	0
transcript:AT4G02005.2	4	876908	879741	-	2834	0	0	0	0	0	0	0	0
transcript:AT4G04325.1	4	1276901	1277094	-	194	10	11	15	20	13	13	16	17
transcript:AT4G03038.1	4	1340115	1341289	-	1175	0	0	0	0	2	0	0	0
