"Table S2. Characterization of AGO1 Binding Sites and Associated Genes, related to Figures 1-5"																								
Peak ID	Chromosome	Start	End	Relative ChIP signala (RPKM)			Normalized ChIP signal (RPKM)			Associated genes	Gene ID	RNA-seq  (RPKM)				GRO-seq  (RPKM)		PolII  (RPKM)		PolII_Ser2P  (RPKM)		PolII_Ser5P (RPKM)		Nuclear AGO1-bound sRNAs  (RPKM)
AGO1_peak_37	Chr1	3715134	3715458	-2.75	0.53	9.37	11.9	12.81	13.99	At1g11120	At1g11120	10.61	4.30	-1.30	0.12	0.15	0.05	9.96	8.88	9.42	9.81	9.36	9.10	0.39
AGO1_peak_38	Chr1	3774930	3775109	-1.15	3.7	3.69	8.62	8.43	11.19	.	NA													
AGO1_peak_39	Chr1	3778838	3780153	-1.18	0.51	14.88	14.98	20.04	18.68	At1g11260	At1g11260	177.90	120.19	-0.57	0.33	34.23	8.08	73.27	47.04	38.99	60.69	62.81	82.02	7.59
AGO1_peak_40	Chr1	3880556	3880976	-2.61	4.16	8.5	10.73	11.8	13.81	At1g11545_promoter_1k	At1g11545	34.97	15.68	-1.16	0.01	1.38	1.15	22.88	15.16	14.29	13.47	17.54	12.66	0.15
AGO1_peak_41	Chr1	3947203	3947376	0.98	11.09	10.02	13.71	10.9	8.53	At1g11700_downstream_1k	At1g11700	9.94	5.58	-0.83	0.23	5.80	2.90	57.92	30.09	28.66	14.14	40.24	17.60	156.65
AGO1_peak_42	Chr1	3947674	3948054	-3.23	1.79	8.84	15.45	14.18	13.6	At1g11710_promoter_1k	At1g11710	1.14	1.12	-0.02	0.99	0.33	0.43	8.91	9.15	10.13	8.15	9.15	7.44	0.42
AGO1_peak_43	Chr1	4000466	4000836	-4.61	5.56	1.84	12.5	13.69	17.95	At1g11850_downstream_1k;At1g11860_promoter_1k	At1g11850	23.45	7.76	-1.60	0.02	47.40	9.61	17.61	9.71	8.45	7.16	11.38	9.77	0.00
											At1g11860	659.74	549.37	-0.26	0.77	8.60	2.46	18.01	14.52	31.53	14.84	45.69	18.67	2.99
AGO1_peak_44	Chr1	4086321	4086714	-0.62	13.21	17.09	14.49	15.49	13.68	.	NA													
AGO1_peak_45	Chr1	4087732	4088051	0.09	9.13	11.79	13.76	10.81	10.58	.	NA													
AGO1_peak_46	Chr1	4088648	4088936	-3.68	8.5	7.54	14	9.54	12.45	At1g12090_downstream_1k	At1g12090	1899.29	804.25	-1.24	0.01	83.71	14.08	132.78	80.74	63.76	40.38	84.81	65.42	22.19
AGO1_peak_47	Chr1	4089345	4090845	-1.05	19.49	24.1	30.41	18.75	18.84	At1g12090_downstream_1k;At1g12090	At1g12090	1899.29	804.25	-1.24	0.01	83.71	14.08	132.78	80.74	63.76	40.38	84.81	65.42	22.19
AGO1_peak_48	Chr1	4092347	4092673	1.87	8.93	7.7	13.83	10.41	10.03	.	NA													
AGO1_peak_49	Chr1	4096514	4096817	-1.36	7.33	4.8	11.75	7.82	10.09	At1g12100_downstream_1k	At1g12100	5.53	2.24	-1.30	0.36	0.34	0.07	14.73	10.04	11.53	6.65	12.86	6.61	2.32
AGO1_peak_50	Chr1	4191256	4191794	-3.12	1.99	9.99	11.14	10.02	11.37	.	NA													
AGO1_peak_51	Chr1	4263569	4263946	-4.35	5.24	7.94	11.33	12.58	15.38	At1g12500	At1g12500	71.57	33.46	-1.10	0.01	6.94	3.73	26.68	17.95	24.98	21.11	32.20	27.78	2.94
AGO1_peak_52	Chr1	4393833	4394082	-10.7	7.55	7.61	16.67	20.78	16.52	At1g12900	At1g12900	856.30	419.84	-1.03	0.02	20.51	4.02	43.11	23.76	35.63	17.79	57.29	23.62	6.86
AGO1_peak_53	Chr1	4397939	4398357	-0.18	3.86	7.98	15.04	10.83	16.15	At1g12920;At1g12920_promoter_1k;At1g12930_downstream_1k	At1g12920	57.12	57.56	0.01	0.99	2.36	2.61	15.33	12.21	16.49	17.35	19.07	18.14	2.26
											At1g12930	9.73	8.43	-0.21	0.82	1.16	0.81	6.09	6.82	8.79	8.09	7.53	6.26	0.15
AGO1_peak_54	Chr1	4525243	4526496	-1.31	7.62	11.69	24.09	17.98	18.94	At1g13245	At1g13245	116.35	39.51	-1.56	0.00	16.52	1.86	122.96	55.30	44.73	34.16	72.51	57.03	1.93
AGO1_peak_55	Chr1	4527284	4527464	0.94	6.03	4.2	12.19	8.68	8.79	.	NA													
AGO1_peak_56	Chr1	4612360	4612583	-11.02	3.81	6.93	15.43	18.36	16.55	At1g13450_downstream_1k	At1g13450	22.11	22.07	0.00	1.00	2.93	1.54	11.25	10.32	11.90	11.67	11.96	11.75	0.85
AGO1_peak_57	Chr1	4772732	4773041	1.31	5.13	6.06	14.97	16.04	12.29	At1g13950_promoter_1k	At1g13950	9.99	10.61	0.09	0.96	1.65	0.61	7.59	7.31	6.80	5.84	8.83	6.61	0.00
AGO1_peak_58	Chr1	4827273	4827550	1.22	3.4	4.34	15.85	12.26	15.99	At1g14100_promoter_1k	At1g14100	0.00	0.00	0.00	1.00	0.06	0.00	5.86	6.76	5.66	5.24	5.37	4.21	0.00
AGO1_peak_59	Chr1	4839906	4840328	-2.6	5.57	3.66	14.2	14.3	17.24	At1g14150	At1g14150	103.28	104.13	0.01	0.99	3.37	0.39	17.94	12.77	18.28	9.93	25.12	9.65	0.31
AGO1_peak_60	Chr1	4877279	4877588	1.31	6.12	8.51	11.33	9.59	13.65	At1g14270_promoter_1k;At1g14280_promoter_1k	At1g14270	47.91	39.91	-0.26	0.73	3.00	1.43	11.38	9.78	15.63	11.09	17.37	11.59	3.05
											At1g14280	30.97	4.89	-2.66	0.00	4.43	1.60	53.52	19.94	15.81	13.25	24.54	15.95	8.05
AGO1_peak_61	Chr1	4991011	4991503	-1.94	9.8	9.2	11.69	7.89	12.65	At1g14580	At1g14580	21.85	5.00	-2.13	0.00	0.78	0.12	8.98	7.12	9.51	6.76	9.19	5.59	2.02
AGO1_peak_62	Chr1	5061414	5061812	-5.49	4.42	4.38	11.92	8.26	11.66	At1g14700_downstream_1k;At1g14710_downstream_1k	At1g14700	32.51	5.88	-2.47	0.00	1.54	0.07	11.87	6.58	12.94	7.94	13.38	7.04	0.23
											At1g14710	54.34	53.04	-0.03	0.98	5.19	4.34	14.20	11.69	18.60	18.22	21.04	20.83	1.35
AGO1_peak_63	Chr1	5147624	5148108	-2.48	8.32	8.46	13.85	11.91	12.64	.	NA													
AGO1_peak_64	Chr1	5265103	5265402	-6.05	8.91	0.76	13.69	11.53	11.99	At1g15290_promoter_1k	At1g15290	47.38	56.91	0.26	0.73	5.37	4.49	10.62	8.09	21.51	13.93	23.19	13.58	1.48
AGO1_peak_65	Chr1	5298661	5299067	1.23	4.69	1.75	16.36	12.21	12.99	At1g15410	At1g15410	10.29	4.32	-1.25	0.01	1.40	0.58	12.88	9.65	10.97	9.70	12.65	9.26	1.07
AGO1_peak_66	Chr1	5349604	5349888	-4.33	7.24	9.58	15.66	11.19	13.37	.	NA													
AGO1_peak_67	Chr1	5398613	5402898	-1.95	12.53	3.12	17.98	19.43	17.18	At1g15690	At1g15690	328.17	327.60	0.00	1.00	34.62	15.70	61.97	42.21	56.82	43.97	76.60	59.54	7.59
AGO1_peak_68	Chr1	5540049	5540480	-9.82	3.29	3.5	14.59	10.38	12.23	At1g16170_promoter_1k;At1g16180_promoter_1k	At1g16170	36.30	22.10	-0.72	0.21	2.19	1.29	21.45	17.13	23.02	19.27	34.75	21.48	0.26
											At1g16180	87.99	132.04	0.59	0.22	19.61	11.88	11.87	13.89	18.11	21.38	22.01	24.82	0.68
AGO1_peak_69	Chr1	5602882	5603109	-2.11	7.33	6.36	8.36	7.6	12.08	At1g16390	At1g16390	20.77	3.53	-2.56	0.00	1.09	0.09	12.90	6.87	8.46	5.16	11.58	5.68	0.47
AGO1_peak_70	Chr1	5775079	5776783	-0.11	9.61	7.18	16.08	13.25	15.9	At1g16880	At1g16880	308.76	350.72	0.18	0.87	16.98	3.62	25.57	13.62	36.19	24.70	48.38	25.04	5.23
AGO1_peak_71	Chr1	6002746	6003155	-1.67	5.46	7.39	17.11	13.31	18.82	At1g17460_downstream_1k;At1g17470_promoter_1k;At1g17470	At1g17460	2.48	1.46	-0.76	0.33	0.57	0.54	6.12	6.89	6.91	6.15	6.00	5.02	3.93
											At1g17470	57.46	79.00	0.46	0.39	1.95	1.38	8.18	8.59	11.08	11.37	11.01	10.40	0.64
AGO1_peak_72	Chr1	6219321	6219667	NA	5.98	6.5	14.91	13.55	18.59	.	NA													
AGO1_peak_73	Chr1	6247733	6248002	-3.17	2.09	10.15	10.58	7.01	11.37	At1g18150_promoter_1k	At1g18150	26.84	20.57	-0.38	0.53	3.61	1.05	8.63	8.70	10.45	11.77	10.34	9.98	0.95
AGO1_peak_74	Chr1	6254275	6254563	-2.73	0.81	11.08	9.89	13.1	14.65	At1g18170	At1g18170	37.71	23.01	-0.71	0.14	0.96	0.54	10.48	9.25	12.72	11.67	12.57	10.62	0.19
AGO1_peak_75	Chr1	6308054	6308499	-4.76	5.74	6.09	14.13	12.96	13.27	At1g18330_promoter_1k;At1g18335_downstream_1k	At1g18330	17.14	5.12	-1.74	0.00	2.82	0.41	5.74	3.43	4.83	4.80	5.66	4.60	0.41
											At1g18335	4.91	5.40	0.14	0.93	0.71	0.53	7.62	6.79	8.82	8.15	7.60	7.77	0.12
AGO1_peak_76	Chr1	6335491	6336115	-4.49	2.31	6.04	12.83	8.12	10.98	At1g18410_downstream_1k	At1g18410	0.09	0.11	0.33	1.00	0.19	0.08	6.54	6.68	5.76	5.16	4.61	4.33	0.00
AGO1_peak_77	Chr1	6418830	6419400	-3.9	4.27	5.47	16.86	13.23	15.17	At1g18650	At1g18650	45.64	23.68	-0.95	0.03	3.65	1.35	16.15	10.71	15.53	10.68	18.53	10.18	9.34
AGO1_peak_78	Chr1	6430580	6430833	-4.19	4.62	4.55	15	14.7	14.17	At1g18670_promoter_1k	At1g18670	8.04	7.32	-0.14	0.91	1.96	0.88	8.91	7.06	8.47	8.54	8.47	8.29	0.07
AGO1_peak_79	Chr1	6497005	6497315	-4.63	5.54	4.39	9.95	6.26	8.5	At1g18835_promoter_1k	At1g18835	1.82	0.93	-0.97	1.00	0.60	0.00	6.22	8.41	7.24	6.07	8.50	5.61	0.00
AGO1_peak_80	Chr1	6560690	6561164	-1.88	8.69	11.66	20.65	18.53	15.57	At1g19000	At1g19000	152.56	104.43	-0.55	0.30	14.94	5.30	32.44	20.13	37.27	25.29	49.92	30.06	7.12
AGO1_peak_81	Chr1	6640956	6641223	-3.09	4.92	5.55	12.22	9.08	8.69	.	NA													
AGO1_peak_82	Chr1	6688725	6689166	-2.72	4.18	7.98	15.06	13.2	16.98	At1g19350	At1g19350	219.51	100.26	-1.13	0.01	10.40	1.97	38.18	23.35	35.71	25.82	53.12	32.20	2.94
AGO1_peak_83	Chr1	6711765	6711921	-6.13	7.62	10.69	11.79	16.58	16.22	At1g19396_downstream_1k;At1g19400_downstream_1k	At1g19396	10.65	17.14	0.69	0.68	2.50	1.23	13.75	11.81	14.95	16.28	18.05	18.46	4.71
											At1g19400	29.76	24.30	-0.29	0.70	3.89	1.60	24.37	17.41	19.86	23.07	22.21	23.66	7.17
AGO1_peak_84	Chr1	6712315	6713087	-2.13	6.81	6.89	14.91	13.68	15.43	At1g19400	At1g19400	29.76	24.30	-0.29	0.70	3.89	1.60	24.37	17.41	19.86	23.07	22.21	23.66	7.17
AGO1_peak_85	Chr1	6966861	6967246	-0.9	5.59	6.46	12.94	9.66	13.97	At1g20090	At1g20090	51.07	34.20	-0.58	0.24	9.38	3.48	20.16	14.45	22.64	19.27	29.06	21.12	1.11
AGO1_peak_86	Chr1	7041597	7043357	-2.22	12.86	6.26	25.38	26.76	25.28	At1g20340_downstream_1k;At1g20340	At1g20340	3699.15	2079.24	-0.83	0.14	178.67	43.35	101.07	71.69	62.98	42.90	84.13	66.88	19.67
AGO1_peak_87	Chr1	7061598	7061812	2.37	4.5	4.97	11.92	7.55	14.29	At1g20380	At1g20380	3.14	5.90	0.91	0.12	0.35	0.64	8.12	8.43	8.54	7.97	8.43	7.48	0.16
AGO1_peak_88	Chr1	7084634	7085109	-1.3	6.85	21.08	15.36	14.41	19.76	At1g20440	At1g20440	284.91	156.79	-0.86	0.05	33.22	10.67	111.01	74.78	62.47	53.87	85.33	79.49	6.33
AGO1_peak_89	Chr1	7085355	7085713	-1.44	5.81	17.88	18.72	16.71	21.5	At1g20440	At1g20440	284.91	156.79	-0.86	0.05	33.22	10.67	111.01	74.78	62.47	53.87	85.33	79.49	6.33
AGO1_peak_90	Chr1	7178771	7179053	0.47	4.04	8.05	17.88	14.14	19.82	At1g20693_downstream_1k;At1g20696_promoter_1k	At1g20693	284.42	292.70	0.04	0.97	14.98	3.28	31.54	22.30	29.59	36.12	40.30	44.20	3.27
											At1g20696	129.72	156.16	0.27	0.72	12.34	5.76	26.89	21.09	28.59	34.53	37.62	44.54	2.04
AGO1_peak_91	Chr1	7368369	7368587	-0.64	7.3	3.12	12.52	11.37	16.45	At1g21050_downstream_1k	At1g21050	28.06	11.96	-1.23	0.01	3.21	1.91	60.26	38.25	18.93	16.95	32.90	25.54	3.70
AGO1_peak_92	Chr1	7399742	7399960	-2.67	3.71	2.5	17.69	23.73	15.96	At1g21130	At1g21130	170.87	54.42	-1.65	0.00	52.83	1.94	75.17	60.62	24.06	26.21	44.45	45.73	3.25
AGO1_peak_93	Chr1	7400140	7400558	-3.92	8.5	1.88	21.14	24.88	16.65	At1g21130	At1g21130	170.87	54.42	-1.65	0.00	52.83	1.94	75.17	60.62	24.06	26.21	44.45	45.73	3.25
AGO1_peak_94	Chr1	7886206	7886545	-2.02	9.25	10.53	8.22	11.29	11.51	At1g22330_promoter_1k;At1g22330	At1g22330	44.02	8.50	-2.37	0.00	11.70	1.14	30.26	11.15	25.95	12.85	28.26	13.31	6.05
AGO1_peak_95	Chr1	7886574	7889438	-2.35	7.51	14.48	13.09	11.42	12.56	At1g22330	At1g22330	44.02	8.50	-2.37	0.00	11.70	1.14	30.26	11.15	25.95	12.85	28.26	13.31	6.05
AGO1_peak_96	Chr1	7899426	7900262	-3.85	5.77	5.42	12.63	11.15	13.37	At1g22370;At1g22370_promoter_1k;At1g22380_downstream_1k	At1g22370	8.05	3.10	-1.38	0.02	1.81	0.13	12.98	8.68	11.87	7.00	12.74	7.44	11.04
											At1g22380	1.16	0.53	-1.14	0.34	0.16	0.02	9.40	6.66	9.36	5.23	8.19	4.51	2.29
AGO1_peak_97	Chr1	7955856	7956023	-4.71	3.29	2.89	7.81	9.68	14.52	At1g22530	At1g22530	63.01	24.95	-1.34	0.00	15.44	3.82	31.56	25.31	20.74	17.12	33.57	26.56	0.47
AGO1_peak_98	Chr1	8006198	8006506	-4.32	7.61	7.34	20.22	17.15	13.01	At1g22640	At1g22640	15.40	5.51	-1.48	0.01	4.53	0.71	50.62	17.98	21.33	12.22	35.18	16.33	0.90
AGO1_peak_99	Chr1	8010471	8011060	-2.96	5.19	8.89	13.49	9.79	8.24	.	NA													
AGO1_peak_100	Chr1	8061562	8061964	-1.7	6.06	4.92	14.61	9.11	9.71	At1g22767_promoter_1k;At1g22770_promoter_1k	At1g22767	0.00	0.00	0.00	1.00	0.00	0.00	7.76	8.34	15.10	14.33	9.24	14.16	0.00
											At1g22770	33.70	11.31	-1.57	0.00	9.54	2.78	8.85	7.87	8.13	10.41	6.93	8.66	0.62
AGO1_peak_101	Chr1	8168654	8169541	-0.55	3.36	4.79	14.11	12.51	13.91	At1g23050	NA													
AGO1_peak_102	Chr1	8180913	8181527	0.26	4.89	14.6	13.72	13.87	16.14	At1g23080	At1g23080	80.05	29.83	-1.42	0.00	20.92	3.51	37.44	17.64	22.69	16.83	31.59	20.69	2.42
AGO1_peak_103	Chr1	8181905	8182115	-2.28	4.93	12.96	14.69	10.26	20.09	At1g23080	At1g23080	80.05	29.83	-1.42	0.00	20.92	3.51	37.44	17.64	22.69	16.83	31.59	20.69	2.42
AGO1_peak_104	Chr1	8182297	8182604	-3.45	5.32	5.28	10.05	11.41	11.68	At1g23080	At1g23080	80.05	29.83	-1.42	0.00	20.92	3.51	37.44	17.64	22.69	16.83	31.59	20.69	2.42
AGO1_peak_105	Chr1	8188037	8188502	-6.09	3.17	3.76	12.25	10.43	12.93	At1g23090	At1g23090	17.70	18.21	0.04	0.97	2.76	0.95	11.14	10.06	12.57	9.66	17.27	11.75	0.61
AGO1_peak_106	Chr1	8268009	8268331	-4.14	5.46	1.43	12.53	10.71	10.81	At1g23310_downstream_1k	At1g23310	847.95	768.94	-0.14	0.91	38.57	9.62	19.67	18.03	44.52	21.62	60.11	24.64	6.16
AGO1_peak_107	Chr1	8308586	8311223	-0.81	10.02	3.02	20.06	20.76	19.95	At1g23390_downstream_1k;At1g23390;At1g23390_promoter_1k;At1g23400_downstream_1k	At1g23390	165.29	203.75	0.30	0.68	16.89	1.33	104.40	54.91	53.09	35.45	76.40	57.46	8.70
											At1g23400	51.14	53.64	0.07	0.95	2.73	1.31	14.16	10.80	17.93	12.65	20.54	11.81	1.15
AGO1_peak_108	Chr1	8311371	8312481	-0.13	7.61	2.49	15.12	13.98	12.06	At1g23390_promoter_1k;At1g23400_downstream_1k	At1g23390	165.29	203.75	0.30	0.68	16.89	1.33	104.40	54.91	53.09	35.45	76.40	57.46	8.70
											At1g23400	51.14	53.64	0.07	0.95	2.73	1.31	14.16	10.80	17.93	12.65	20.54	11.81	1.15
AGO1_peak_109	Chr1	8430043	8430318	0.86	7.59	1.82	10.78	12.34	9.59	At1g23860_promoter_1k	At1g23860	18.74	17.93	-0.06	0.96	3.42	1.65	9.52	10.11	10.94	12.92	13.23	13.56	0.52
AGO1_peak_110	Chr1	9187089	9187425	-0.42	4.46	3.52	12	12.99	9.41	At1g26580	At1g26580	29.07	30.45	0.07	0.95	8.32	5.12	12.38	12.10	20.97	22.12	21.49	20.94	3.46
