ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G25175.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G25175.5	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G26235.1	5	2	0	0	1.57453992842421	-4.01025004102314	3.23126704624535	-1.24107663762515	0.214577439056355	1	1	72
transcript:AT1G26558.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G26558.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G31258.1	51	61	47	40	48.8795306515797	-0.130091852314231	0.544058501035313	-0.239113720430199	0.81101740296612	0.963473150464512	1	196
transcript:AT1G31935.1	28	4	78	128	60.9698463342575	2.90822642143664	0.648732884329481	4.48293356431674	7.362385575113e-06	9.68436871803325e-05	0.000213509181678277	13
transcript:AT1G32172.1	10	2	2	4	4.23887633407089	-0.782508478124511	1.7842453201295	-0.438565520837524	0.660976384796785	1	1	157
transcript:AT1G06677.1	0	0	1	0	0.28900175116664	1.75613072305	4.98329859029134	0.352403270891967	0.724535849312667	1	1	174.5
transcript:AT1G33615.6	5	6	4	5	4.88461774958241	-0.0745420979218742	1.59176899496975	-0.0468297209943398	0.962648941084379	0.993777251389223	1	230
transcript:AT1G33615.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G33615.5	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G33615.4	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G33615.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G33615.3	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G34392.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G34418.1	396	379	319	366	357.75239749486	0.0446286677860956	0.230784881125399	0.193377779204895	0.846663116606807	0.963473150464512	1	205
transcript:AT1G06797.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G43765.1	12	10	8	23	12.9243816407946	0.675144849179307	1.03787390713307	0.650507585304139	0.515364403660521	0.857368241331446	1	120
transcript:AT1G07257.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G46554.1	144	126	127	133	130.495252252467	0.174394822199357	0.344131608395823	0.506767811920279	0.612317743693882	0.918476615540823	1	139
transcript:AT1G07507.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G07543.1	2	5	5	1	3.29774975708467	0.0592806652081081	2.00294767291816	0.0295967118910002	0.976388687697214	1	1	233
transcript:AT1G49832.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G49832.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G49952.1	6	2	2	10	4.81861326139589	0.757352983558493	1.69015029617711	0.448098009550702	0.65408246449835	0.947865266349304	1	151
transcript:AT1G50055.1	101	140	84	108	105.685037241004	-0.116948577823919	0.39196825579494	-0.29836237015352	0.765426606098536	0.963473150464512	1	187
transcript:AT1G07647.1	14	14	20	38	21.4342617738935	1.24668606923327	0.808761604242833	1.54147534043783	0.12320114006158	0.381650771768874	0.812402812420293	56
transcript:AT1G50659.1	283	183	173	233	212.331219701023	0.0215419032436543	0.305717532022344	0.0704634212541004	0.943824813765983	0.984110019231605	1	227
transcript:AT1G07757.1	7	6	4	6	5.57248982938762	-0.167285325922804	1.49685908034929	-0.111757564969823	0.911015634918274	0.967600456962887	1	222
transcript:AT1G52347.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G52347.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G52615.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G52615.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G07847.1	21	24	23	29	23.9831179512676	0.423764171491746	0.746241806049483	0.567864421500457	0.570127032118736	0.886288386293671	1	133
transcript:AT1G07963.1	59	61	34	42	47.3851259339004	-0.441210186009854	0.540750985790838	-0.815921186652286	0.414545213751183	0.803121199405847	1	102
transcript:AT1G07977.1	1	0	0	0	0.22171847196914	-1.20645265494408	4.99567288764132	-0.241499530109086	0.809167980626388	1	1	194
transcript:AT1G55525.1	41	81	3	2	29.3172094033981	-4.38696613406518	0.947659086288864	-4.62926615439843	3.66963865254557e-06	5.70462008713902e-05	0.000125768524728153	11
transcript:AT1G57835.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G58590.2	22	12	3	5	9.76267272762667	-1.87143764132673	1.21495808656791	-1.54033103035948	0.123479683659241	0.381650771768874	0.812402812420293	57
transcript:AT1G58590.1	2	0	1	1	0.976873830971846	0.259212463816702	3.62101227628811	0.0715856351866392	0.942931672204365	1	1	226
transcript:AT1G58808.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G08253.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G08427.1	30	32	39	39	34.9107538506394	0.559426530588601	0.625872860371689	0.893834141100755	0.371410639274116	0.78828397206885	1	91
transcript:AT1G08493.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G08547.1	56	108	40	54	62.3369705169909	-0.599458054792536	0.522900684339417	-1.14640900795499	0.251625957232868	0.614686266954578	1	77
transcript:AT1G64563.1	92	80	63	55	70.6870449604804	-0.305709511118884	0.457877900198373	-0.667666010930943	0.504346810774866	0.857368241331446	1	116
transcript:AT1G64572.1	142	122	55	83	96.0900372940269	-0.724913558467744	0.399979776088886	-1.81237552947339	0.0699281912626453	0.267532529682463	0.577000936443298	45
transcript:AT1G64618.1	2	0	0	0	0.443436943938279	-2.18441929995851	4.89471728012237	-0.446280995396714	0.655394282405858	1	1	154
transcript:AT1G08747.1	50	51	100	90	73.8669239418963	1.14645083772464	0.451943853038945	2.53671076620628	0.0111899361952691	0.0659820375652074	0.145469170538498	29
transcript:AT1G08747.2	145	198	244	272	215.280771965262	0.808041219944381	0.299371012911648	2.69912979244539	0.00695210567958609	0.044691264688573	0.0985298642549242	26
transcript:AT1G66173.1	16	9	9	29	15.3338943107502	0.784874623526931	0.982695021379898	0.798696041448151	0.424466682696701	0.803121199405847	1	104
transcript:AT1G08823.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G67105.1	62	79	88	60	72.2497364756176	0.315397914630142	0.480186198075611	0.656824198392472	0.511293962825347	0.857368241331446	1	118
transcript:AT1G67238.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G08933.1	2	0	0	0	0.443436943938279	-2.18441929995851	4.89471728012237	-0.446280995396714	0.655394282405858	1	1	154
transcript:AT1G68568.1	318	299	111	84	192.777381380992	-1.4187839069403	0.32086848698655	-4.42169912123457	9.79277595791099e-06	0.000119611763485913	0.000263705466866603	14
transcript:AT1G68568.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G68568.3	0	4	0	0	0.931895137157015	-3.25049052344084	4.40711293465153	-0.737555531623301	0.46078458621089	1	1	107
transcript:AT1G68872.4	4	1	5	1	2.80929156386594	0.577276255649779	2.17209517636057	0.265769318919546	0.790416873617048	1	1	189
transcript:AT1G68872.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G68872.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G68872.3	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G69252.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G69252.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G09073.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G70185.1	5	11	3	6	6.00492005572897	-0.645619251030949	1.48189018464974	-0.435672803368726	0.66307414067794	0.952820823999392	1	158
transcript:AT1G70518.1	121	94	75	101	95.0905508915133	-0.0710434545765676	0.398580553351178	-0.178241145934617	0.858533597276998	0.963473150464512	1	206
transcript:AT1G70581.1	37	11	10	4	14.6340531451741	-1.49255963323695	1.06595686226561	-1.40020641179103	0.161451516369392	0.445293698373645	0.936418794942472	65
transcript:AT1G09277.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G09583.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G77138.1	10	17	14	21	15.3569014221471	0.574986231342502	0.94045221869965	0.611393348763138	0.540939204869922	0.858668669787456	1	127
transcript:AT1G78865.1	65	56	47	52	53.7519419681046	-0.0634025381639501	0.509019346182953	-0.124558209112079	0.90087331495236	0.963473150464512	1	220
transcript:AT1G09837.1	23	29	30	59	34.9474901508264	0.96623633016998	0.649874798397903	1.48680381598422	0.137066633377712	0.397260920467605	0.847116734154055	61
transcript:AT1G09843.1	91	67	69	83	76.0148616040248	0.168388371303978	0.439932395403867	0.382759653672229	0.701897979147202	0.954214656452791	1	165
transcript:AT1G79075.1	7	8	1	4	4.68256187273236	-1.41306299903377	1.70077125280932	-0.830836596455689	0.406065945490356	0.803121199405847	1	98
transcript:AT1G79075.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G09903.1	50	44	60	62	53.831853600932	0.605563072369343	0.51069301467324	1.18576729066248	0.235714212189137	0.592751915946212	1	75
transcript:AT1G09923.1	1	2	4	2	2.33254331694806	1.25462143261311	2.31317704918982	0.542380200881093	0.587556616205405	1	1	136
transcript:AT2G01422.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G01422.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G04705.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G05518.1	11	16	27	43	24.4802418640657	1.57419686376626	0.767860068278164	2.05010903522593	0.0403537919029519	0.191680511539022	0.422593876317024	36
transcript:AT2G05995.1	4	10	2	4	4.77235577657008	-1.0387514682725	1.66694120863148	-0.623148232759383	0.533187116434608	0.858668669787456	1	126
transcript:AT2G06002.1	49	45	27	33	37.2174321846121	-0.427564043196895	0.605035871783517	-0.70667552642214	0.479768141785838	0.857368241331446	1	109
transcript:AT2G06562.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G07042.1	799	674	86	41	369.053380885175	-3.2646022499989	0.606979600226294	-5.37843816955593	7.51347764952079e-08	1.60600584758507e-06	3.54072634233667e-06	8
transcript:AT2G10537.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G05685.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G14878.1	1060	1066	823	852	929.478811308399	-0.116282169709444	0.181609637519968	-0.640286337759247	0.521986461243642	0.858266200698681	1	123
transcript:AT2G15128.1	44	36	47	43	42.2364621481652	0.406694576252918	0.575718521609067	0.7064121805848	0.479931848201744	0.857368241331446	1	110
transcript:AT2G15292.1	198	294	376	476	337.410333142244	1.0026136676094	0.270984039047577	3.69989934142714	0.000215684998432798	0.00184410673660042	0.00406566222045824	20
transcript:AT2G15555.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G18440.2	14	3	16	12	11.3602296095051	0.98354508015054	1.15113237386257	0.85441527185123	0.392874937085587	0.803121199405847	1	96
transcript:AT2G18440.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G18735.1	102	81	125	123	107.676901275744	0.672189996263532	0.379965199440334	1.76908305616837	0.0768800150739263	0.285793099513943	0.616675865592983	47
transcript:AT2G19796.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G21188.1	208	142	25	21	91.5579011710266	-2.68793809511024	0.455242399651107	-5.90441069893808	3.53909509568488e-09	8.64550373374449e-08	1.90605550153314e-07	7
transcript:AT2G07405.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G07575.1	1	0	2	0	0.799721974302419	1.34344477411453	4.34429241279944	0.309243634281242	0.757136204098824	1	1	185
transcript:AT2G22482.1	12	37	27	14	22.5057908659683	-0.0111407934640448	0.868013987358436	-0.0128348086854553	0.989759585464319	0.993777251389223	1	235
transcript:AT2G07975.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G24735.1	1	5	0	0	1.38658739341541	-3.82419363189167	3.43436304663333	-1.11350884573502	0.265489951375829	1	1	79
transcript:AT2G08135.1	23	17	25	27	22.8848716357805	0.608119222479655	0.76621899571759	0.793662420115454	0.427391983309544	0.803121199405847	1	106
transcript:AT2G27400.1	180	164	114	173	153.350503715858	-0.0523249610282189	0.327838235454523	-0.159606035445116	0.873191424337856	0.963473150464512	1	211
transcript:AT2G08205.1	15	13	8	14	12.0885421867675	-0.144350247512323	1.03966719589644	-0.138842745141976	0.889574415350184	0.963473150464512	1	213
transcript:AT2G08330.1	124	171	237	254	197.911547174329	0.955969707203435	0.310241159819894	3.0813761389959	0.00206046181437001	0.0153190856633596	0.0337736566964127	23
transcript:AT2G30115.1	0	0	0	3	0.733305407600781	3.14066180304147	4.86272426451547	0.645864670131448	0.518367001731021	1	1	122
transcript:AT2G30945.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G30945.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G30945.3	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G31585.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G31585.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G08475.1	771	553	168	189	394.529979475009	-1.66251451698472	0.246588299658775	-6.74206569932671	1.56150439546702e-11	8.90057505416204e-10	1.96229052363689e-09	3
transcript:AT2G31902.1	79	67	26	68	57.2606376022257	-0.450120872210154	0.543267543038782	-0.828543648480067	0.407362686297019	0.803121199405847	1	99
transcript:AT2G31902.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G31902.3	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G31902.4	2	5	0	0	1.60830586538455	-4.03874185960182	3.20833256980551	-1.25882893114371	0.208092128078338	1	1	71
transcript:AT2G31902.5	62	102	47	93	73.8254212000468	-0.0418778261408763	0.491005109923452	-0.0852900006425698	0.932030840897851	0.977774685849893	1	224
transcript:AT2G32795.1	38	58	42	65	49.9641388039531	0.356666582417944	0.549678748638154	0.648863692295902	0.516426484544672	0.857368241331446	1	121
transcript:AT2G08610.1	3	3	11	19	9.18736361307983	2.52255197849032	1.27213526593379	1.98292748109508	0.0473755305053526	0.207723479908085	0.457963461551742	39
transcript:AT2G08745.1	4	5	1	4	3.31848510395718	-0.681057787482275	1.95603379989626	-0.348183036263687	0.727702726776392	1	1	177
transcript:AT2G36307.1	25	23	34	32	28.5493427252887	0.693030001106528	0.689990493125338	1.00440514472514	0.315183371240745	0.72832914165091	1	84
transcript:AT2G08915.1	122	91	50	23	68.3223636338284	-1.27555393579044	0.530613119431555	-2.40392460924626	0.0162201179821986	0.092454672498532	0.203832815976296	30
transcript:AT2G08915.2	781	598	294	222	451.711564618322	-1.16950027419951	0.259882062467678	-4.50011925830767	6.79153488443957e-06	9.67793721032639e-05	0.000213367387619476	12
transcript:AT2G09000.1	8	8	5	4	6.06028734936805	-0.591072363412522	1.44790254698733	-0.40822662039125	0.683107306146972	0.954214656452791	1	161
transcript:AT2G09035.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G09045.1	7	6	13	13	9.88455154095587	1.23146453283182	1.1544203624829	1.06673840210443	0.286089980893179	0.675918858822392	1	82
transcript:AT2G39675.1	675	562	111	148	348.846829837532	-2.03786900153001	0.248131711205552	-8.21285192299281	2.15995852709786e-16	3.69352908133734e-14	8.14304364715893e-14	1
transcript:AT2G39681.1	565	487	233	352	392.107745458416	-0.636589343813194	0.238476525736387	-2.66940044454054	0.00759867958825296	0.0464062217711163	0.102310793027549	28
transcript:AT2G09155.1	0	0	1	0	0.28900175116664	1.75613072305	4.98329859029134	0.352403270891967	0.724535849312667	1	1	174.5
transcript:AT2G09215.1	34	41	28	49	37.1597238929555	0.235782334193277	0.618834382278569	0.381010397846866	0.703195533086423	0.954214656452791	1	166
transcript:AT2G41312.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G41312.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G09365.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G42388.1	0	0	2	0	0.578003502333279	2.77894389457808	4.88470757694273	0.568906910148629	0.569419315647794	1	1	132
transcript:AT2G42425.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G42485.1	60	70	58	58	60.550612666343	0.0622757593515215	0.486962618655489	0.127886118904703	0.898239096348695	0.963473150464512	1	217
transcript:AT2G09395.1	400	390	191	193	281.92248035561	-0.81194822240543	0.257069189375289	-3.15848128038435	0.00158593494389081	0.0123270397911513	0.0271771579021288	22
transcript:AT2G09400.1	89	55	53	50	60.0853517463406	-0.244022307448533	0.504588128450116	-0.483606913618969	0.628664867267346	0.934797324371445	1	141
transcript:AT2G43375.1	47	52	72	101	68.0314797721484	1.01526352999203	0.46426874810219	2.18680136050977	0.0287570281187879	0.140498623094649	0.309754274308086	35
transcript:AT2G09475.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G44995.1	35	26	44	51	38.9997338909859	0.864948011042598	0.597746843955197	1.44701393205085	0.14789302158151	0.414585355580956	0.871182330253585	64
transcript:AT2G45023.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G45023.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G45245.3	0	2	0	0	0.465947568578507	-2.24936007108631	4.88992907635596	-0.45999850631015	0.645517292642634	1	1	147
transcript:AT2G45245.4	11	6	8	11	8.83754640126537	0.382048758164153	1.21226892801877	0.315151819314995	0.752646385464334	0.963473150464512	1	182
transcript:AT2G45245.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G45245.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT2G45780.1	2	8	2	2	3.37410099231944	-1.11273365105027	1.97698052736499	-0.562845023331297	0.573540418908686	1	1	134
transcript:AT2G09675.1	53	44	47	50	47.80676462127	0.228708081330733	0.5386634778658	0.424584347609534	0.671139705330217	0.954214656452791	1	159
transcript:AT2G46192.1	66	46	45	31	45.9327812416424	-0.306260343941561	0.576828636537567	-0.530938175642421	0.595461622151706	0.901675015661288	1	137
transcript:AT2G09735.1	467	531	203	196	333.828247983927	-1.09407747489869	0.252670817364	-4.3300508001387	1.49074947620978e-05	0.000169945440287915	0.000374675035020724	15
transcript:AT2G09785.1	640	666	529	567	588.537010800592	-0.0277985672316103	0.201819039703198	-0.137740062941989	0.890445855507128	0.963473150464512	1	214
transcript:AT3G00980.1	6	5	3	3	4.09549041436181	-0.64329741214967	1.73990328298393	-0.369731707757007	0.711582403967309	1	1	168
transcript:AT3G01005.1	74	102	42	36	61.1082313634285	-0.943174216278973	0.505428823757314	-1.86608711641631	0.0620291781923854	0.246674173741812	0.531477276784757	44
transcript:AT3G01135.1	82	64	60	72	68.0306717483988	0.078059601750953	0.45938137671067	0.169923304923432	0.865070452967941	0.963473150464512	1	210
transcript:AT3G02832.1	28	43	30	24	30.7624857353793	-0.161282082890922	0.685760404875816	-0.235187219536433	0.814063425157434	0.963473150464512	1	198
transcript:AT3G04485.1	56	44	47	45	47.2497443578428	0.114649984258054	0.545826313917697	0.210048473909489	0.833629840128786	0.963473150464512	1	200
transcript:AT3G01525.1	73	63	52	70	63.0013474353203	0.0593846631816446	0.474233856711712	0.125222318780467	0.900347548483118	0.963473150464512	1	219
transcript:AT3G01605.1	37	40	22	21	29.0137112132999	-0.610937553231875	0.686348712478969	-0.890127047846097	0.373397670979982	0.78828397206885	1	92
transcript:AT3G05152.1	8	6	0	4	4.14933102495635	-1.66609101127583	1.9326793277948	-0.862062830245538	0.388652944033431	1	1	94.5
transcript:AT3G01615.1	15	18	11	7	12.4093704106452	-0.62751120017241	1.04280512508177	-0.601753084137563	0.547338508811887	0.858668669787456	1	129
transcript:AT3G06125.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT3G06125.3	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT3G06125.1	0	0	6	2	2.22288077873369	4.7272445143429	2.86649774600175	1.6491359607509	0.0991197838954626	1	0.732708990756655	51
transcript:AT3G01905.1	41	33	38	32	35.5825831243541	0.160940954379617	0.626386531038007	0.2569355284714	0.797228543258755	0.963473150464512	1	191
transcript:AT3G06962.1	7	4	1	0	2.77292619210763	-3.18504476440835	2.50377081904822	-1.27209916346062	0.203337888381815	1	1	69
transcript:AT3G01925.1	14	14	5	9	10.010616566253	-0.798888394855156	1.14660849455349	-0.69674034219174	0.485965307015854	0.857368241331446	1	112
transcript:AT3G07215.4	3	0	0	0	0.665155415907419	-2.76833141451469	4.85839098737848	-0.569804163910745	0.568810531064044	1	1	130.5
transcript:AT3G07215.3	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT3G07215.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT3G07215.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT3G02075.1	4	15	10	6	8.73810897908332	-0.011431733690362	1.28381238264467	-0.00890452050852823	0.992895314454011	0.993777251389223	1	237
transcript:AT3G02115.1	169	182	84	103	129.32461659572	-0.691006982972387	0.346952271721037	-1.99164853293707	0.0464096343623071	0.207723479908085	0.457963461551742	38
transcript:AT3G11415.1	1	0	4	0	1.3777254766357	2.34503828076056	3.52481897262153	0.665293253064985	0.505862945121105	1	1	117
transcript:AT3G02475.1	4	3	8	2	4.38667952181129	0.809196387991093	1.74463984768197	0.463818586435611	0.642777725819682	1	1	144
transcript:AT3G02565.1	89	91	62	64	74.4955156433905	-0.28766202639224	0.439982268247267	-0.653803680630547	0.513238294900178	0.857368241331446	1	119
transcript:AT3G02585.1	40	26	21	32	28.8170183925273	-0.102114287841601	0.694924025391677	-0.146943096094636	0.883176935342402	0.963473150464512	1	212
transcript:AT3G12965.1	317	380	236	236	284.705898984055	-0.336050310005907	0.265579076084484	-1.26534934513819	0.205746124979072	0.533069505627596	1	70
transcript:AT3G13277.1	136	108	126	127	122.772363793139	0.284644695026859	0.357939239998705	0.795231880773643	0.426478630000601	0.803121199405847	1	105
transcript:AT3G14185.1	0	4	0	6	2.39850595235858	0.671564409711596	2.71354075495542	0.247486391529295	0.804531821985963	1	1	193
transcript:AT3G03065.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT3G15536.1	233	127	0	0	81.2480745735448	-9.69912715753093	1.51279447163072	-6.41139780678584	1.44191400167228e-10	5.15367314817485e-09	1.13621916775551e-08	4
transcript:AT3G03155.1	26	15	13	27	19.6160584691098	0.165244226229869	0.848265028675488	0.194802591930363	0.845547493096988	0.963473150464512	1	204
transcript:AT3G03155.2	32	27	20	39	28.6982886009653	0.198155153577848	0.699079421926195	0.28345156124302	0.776830708111235	0.963473150464512	1	188
transcript:AT3G17185.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT3G17185.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT3G18362.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT3G18362.2	0	0	0	1	0.244435135866927	1.63402086403367	4.9914028186226	0.327367059604415	0.743390277682883	1	1	180
transcript:AT3G03695.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT3G03745.1	38	42	27	48	37.7461346780877	0.105389051378262	0.612741865355379	0.171995839254657	0.863440800048994	0.963473150464512	1	208
transcript:AT3G04195.1	27	23	10	11	16.9235997880222	-1.02523835409628	0.892006635498928	-1.1493618021382	0.25040682391147	0.614686266954578	1	76
transcript:AT3G04355.1	50	66	35	33	44.6436141359887	-0.543272924532411	0.5687966804814	-0.955126749461008	0.339513603136462	0.748219411660453	1	88
transcript:AT3G04535.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT3G04685.1	62	70	101	24	65.1103302909713	0.215813864013932	0.627777285026396	0.34377456649273	0.731015828766092	0.963473150464512	1	178
