Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
gene:AT1G05197	0	0	0	0
gene:AT1G05203	71	67	45	57
gene:AT1G05207	573	817	782	640
gene:AT1G05213	1273	1119	463	509
gene:AT1G16100	0	0	0	0
gene:AT1G05217	0	0	0	0
gene:AT1G05223	0	0	0	0
gene:AT1G16450	0	0	0	0
gene:AT1G05227	0	2	2	1
gene:AT1G16489	37	32	16	44
gene:AT1G05233	0	0	0	0
gene:AT1G05237	0	0	0	0
gene:AT1G05243	38	28	22	27
gene:AT1G16635	0	6	1	0
gene:AT1G05247	0	0	0	0
gene:AT1G05253	305	282	366	483
gene:AT1G05257	12	6	3	10
gene:AT1G05263	0	0	0	0
gene:AT1G05267	21	28	11	18
gene:AT1G05273	73	90	36	27
gene:AT1G05277	170	135	103	125
gene:AT1G05283	13	15	0	6
gene:AT1G05287	62	36	56	63
gene:AT1G05293	52	25	21	36
gene:AT1G05297	14	6	6	10
gene:AT1G17232	339	375	456	491
gene:AT1G17255	170	247	99	90
gene:AT1G05303	11	10	7	5
gene:AT1G05307	0	0	0	0
gene:AT1G05313	0	0	0	0
gene:AT1G17570	0	0	0	0
gene:AT1G17660	0	0	0	0
gene:AT1G17670	0	0	0	0
gene:AT1G05317	177	141	17	18
gene:AT1G05323	0	0	0	0
gene:AT1G05327	11	11	9	9
gene:AT1G05333	609	492	252	297
gene:AT1G05337	64	45	53	73
gene:AT1G05343	14	24	12	17
gene:AT1G05347	2562	2201	721	882
gene:AT1G05353	4	0	10	10
gene:AT1G05357	0	3	2	3
gene:AT1G05363	16	3	15	8
gene:AT1G05367	0	0	0	0
gene:AT1G05373	0	0	0	0
gene:AT1G05377	0	0	0	0
gene:AT1G18075	9	7	10	12
gene:AT1G05383	7	3	0	0
gene:AT1G05387	0	0	0	0
gene:AT1G05397	6	12	4	4
gene:AT1G18382	218	136	115	91
gene:AT1G18415	184	153	138	217
gene:AT1G18430	0	0	0	0
gene:AT1G05407	0	0	0	0
gene:AT1G05413	0	0	0	0
gene:AT1G18735	391	492	615	730
gene:AT1G18745	47	42	27	59
gene:AT1G05417	0	0	0	0
gene:AT1G05423	0	0	0	0
gene:AT1G05427	0	0	0	0
gene:AT1G05433	0	0	0	0
gene:AT1G18820	0	0	0	0
gene:AT1G05443	2	0	2	0
gene:AT1G05447	6	6	7	2
gene:AT1G18879	0	0	1	0
gene:AT1G05453	277	229	138	150
gene:AT1G05463	50	31	41	39
gene:AT1G05467	100	114	56	83
gene:AT1G05473	0	0	0	0
gene:AT1G05477	0	0	0	0
gene:AT1G05483	0	0	0	0
gene:AT1G05487	4	1	0	0
gene:AT1G05493	8	18	3	5
gene:AT1G05497	0	0	0	0
gene:AT1G19371	0	0	5	2
gene:AT1G19373	3	1	0	1
gene:AT1G19376	0	0	1	0
gene:AT1G19464	0	0	0	1
gene:AT1G05507	0	0	0	0
gene:AT1G19968	0	0	0	6
gene:AT1G20015	1	2	2	0
gene:AT1G05517	2	2	0	1
gene:AT1G20040	0	0	0	0
gene:AT1G05523	19	54	50	50
gene:AT1G05527	0	0	0	0
gene:AT1G05533	0	0	0	2
gene:AT1G20170	0	0	0	0
gene:AT1G20210	0	0	0	0
gene:AT1G20250	0	0	0	0
gene:AT1G05537	0	0	0	0
gene:AT1G05543	0	0	0	0
gene:AT1G05547	0	0	0	0
gene:AT1G20375	0	0	0	0
gene:AT1G20420	0	0	0	0
gene:AT1G05553	66	71	51	71
gene:AT1G05557	30	16	38	41
gene:AT1G20515	22	23	20	16
gene:AT1G20691	45	40	51	101
gene:AT1G05563	0	0	0	0
gene:AT1G05567	0	2	3	0
gene:AT1G05583	0	0	1	0
gene:AT1G05587	0	0	0	0
gene:AT1G05593	0	0	0	0
gene:AT1G05597	0	0	0	0
gene:AT1G05603	1	0	0	0
gene:AT1G20820	0	0	0	0
gene:AT1G05607	13	9	13	25
gene:AT1G05613	2	0	0	0
gene:AT1G05617	0	0	0	0
gene:AT1G05623	1	0	0	0
gene:AT1G05627	0	0	0	0
gene:AT1G05633	0	0	0	0
gene:AT1G21202	0	0	0	0
gene:AT1G05637	0	0	0	0
gene:AT1G05643	0	0	0	0
gene:AT1G05647	0	0	0	0
gene:AT1G05653	0	0	0	0
gene:AT1G05657	0	0	0	0
gene:AT1G05663	0	0	0	0
gene:AT1G05667	0	0	0	0
gene:AT1G05673	0	0	0	0
gene:AT1G21420	0	0	0	0
gene:AT1G21529	36	14	12	3
gene:AT1G05683	0	0	0	0
gene:AT1G21800	0	0	0	0
gene:AT1G05687	214	231	145	200
gene:AT1G05693	0	0	0	0
gene:AT1G05697	0	0	0	0
gene:AT1G05703	16	9	21	23
gene:AT1G05707	33	12	17	12
gene:AT1G05713	0	0	0	0
gene:AT1G05717	0	0	2	0
gene:AT1G05723	14	5	2	3
gene:AT1G05727	22	18	4	6
gene:AT1G05733	30	58	63	70
gene:AT1G05737	0	0	0	0
gene:AT1G22320	0	0	0	0
gene:AT1G22403	150	146	97	140
gene:AT1G05747	1	0	0	0
gene:AT1G05753	111	94	366	248
gene:AT1G05757	4	3	12	1
gene:AT1G05763	22	43	32	39
gene:AT1G05767	326	306	185	194
gene:AT1G05773	124	164	96	95
gene:AT1G05777	141	223	100	71
gene:AT1G23052	48	64	217	354
gene:AT1G05787	358	314	4	9
gene:AT1G05793	0	0	0	0
gene:AT1G05797	0	0	0	0
gene:AT1G05803	0	0	2	0
gene:AT1G05807	0	0	0	0
gene:AT1G05813	4	0	0	0
gene:AT1G05817	0	2	0	0
gene:AT1G05823	0	0	0	0
gene:AT1G05827	0	0	0	0
gene:AT1G05833	102	84	96	111
gene:AT1G05837	184	169	51	75
gene:AT1G05843	1	0	3	2
gene:AT1G05847	0	0	0	0
gene:AT1G24068	0	2	4	0
gene:AT1G24080	0	0	0	0
gene:AT1G05853	4	1	2	2
gene:AT1G05857	0	0	0	0
gene:AT1G05863	0	0	0	0
gene:AT1G05867	12	23	10	7
gene:AT1G05873	68	76	63	65
gene:AT1G05887	0	0	0	0
gene:AT1G05893	0	0	0	0
gene:AT1G05897	2	0	0	1
gene:AT1G05903	0	0	0	0
gene:AT1G05907	0	0	0	0
gene:AT1G05913	0	1	0	0
gene:AT1G05917	0	0	0	0
gene:AT1G25098	1045	959	1135	1498
gene:AT1G25175	966	968	1079	1518
gene:AT1G05927	491	529	432	536
gene:AT1G05933	189	165	23	31
gene:AT1G05937	0	0	4	0
gene:AT1G05943	17	14	5	10
gene:AT1G05947	0	0	0	0
gene:AT1G05953	0	0	0	0
gene:AT1G05957	0	0	0	0
gene:AT1G05963	0	0	0	0
gene:AT1G05967	0	0	0	2
gene:AT1G05973	27	33	13	17
gene:AT1G05977	12	9	14	11
gene:AT1G05983	0	0	0	0
gene:AT1G26208	127	130	259	551
gene:AT1G05987	0	0	0	0
gene:AT1G26218	196	221	146	189
gene:AT1G26233	0	3	3	2
gene:AT1G05993	3	0	0	0
gene:AT1G05997	0	1	0	0
gene:AT1G26235	0	0	0	0
gene:AT1G26430	0	0	0	0
gene:AT1G26490	0	0	0	0
gene:AT1G06003	24	11	28	32
gene:AT1G26558	8	3	4	1
gene:AT1G06007	0	0	0	0
gene:AT1G06013	0	0	0	0
gene:AT1G06017	41	40	28	34
gene:AT1G06023	0	0	0	0
gene:AT1G06027	0	0	0	1
gene:AT1G06033	5	5	6	5
gene:AT1G06037	0	2	0	0
gene:AT1G26973	0	0	0	0
gene:AT1G26975	0	0	0	0
gene:AT1G26985	0	0	0	0
gene:AT1G06043	0	0	0	0
gene:AT1G06047	0	0	0	0
gene:AT1G06053	0	0	0	0
gene:AT1G06057	0	3	0	0
gene:AT1G06063	0	0	0	0
gene:AT1G06067	0	0	0	0
gene:AT1G06073	0	0	2	0
gene:AT1G06083	82	41	64	50
gene:AT1G06087	1	1	0	0
gene:AT1G06093	0	0	0	0
gene:AT1G06097	0	0	0	0
gene:AT1G06103	2	6	4	4
gene:AT1G27921	309	288	277	334
gene:AT1G06113	8	9	1	0
gene:AT1G06117	0	2	4	0
gene:AT1G06123	0	0	0	0
gene:AT1G06127	0	0	0	0
gene:AT1G06133	0	0	0	0
gene:AT1G06147	1	0	0	0
gene:AT1G06153	43	71	18	31
gene:AT1G06157	0	0	0	0
gene:AT1G06163	0	0	0	0
gene:AT1G28685	1046	1084	295	374
gene:AT1G28720	17	7	3	8
gene:AT1G28730	2	2	0	1
gene:AT1G28740	0	2	0	0
gene:AT1G28750	2	0	0	0
gene:AT1G28770	0	0	0	0
gene:AT1G28780	0	0	0	0
gene:AT1G28790	0	2	0	0
gene:AT1G28800	0	0	0	0
gene:AT1G28810	0	0	0	0
gene:AT1G06173	0	0	4	0
gene:AT1G06177	0	0	0	0
gene:AT1G28715	85	85	67	106
gene:AT1G28820	0	0	0	0
gene:AT1G28830	0	0	0	0
gene:AT1G28840	0	0	0	0
gene:AT1G28850	0	0	0	0
gene:AT1G28860	0	0	0	0
gene:AT1G28870	0	0	0	0
gene:AT1G28880	0	0	0	0
gene:AT1G28890	0	0	0	0
gene:AT1G28900	0	0	0	0
gene:AT1G28910	0	0	0	0
gene:AT1G28920	0	0	0	0
gene:AT1G28930	0	1	3	2
gene:AT1G28940	0	1	0	1
gene:AT1G28950	1	0	0	1
gene:AT1G28970	1	0	0	0
gene:AT1G28980	0	0	0	2
gene:AT1G28990	1	0	2	1
gene:AT1G06187	0	0	0	0
gene:AT1G06197	0	0	0	0
gene:AT1G06203	0	0	0	0
gene:AT1G06207	108	119	43	63
gene:AT1G06213	12	39	21	8
gene:AT1G06217	3	0	0	0
gene:AT1G29071	4	3	1	5
gene:AT1G29210	0	1	0	0
gene:AT1G29265	0	0	0	0
gene:AT1G29357	380	338	269	308
gene:AT1G06227	10	12	10	14
gene:AT1G06233	0	0	0	0
gene:AT1G06237	0	0	0	0
gene:AT1G06243	0	0	0	0
gene:AT1G06247	14	13	14	15
gene:AT1G06253	71	82	84	95
gene:AT1G06257	0	0	4	0
gene:AT1G06263	0	3	13	10
gene:AT1G06267	2	2	2	9
gene:AT1G06273	3	3	1	12
gene:AT1G06277	5	2	6	6
gene:AT1G06283	13	4	24	22
gene:AT1G06287	1	4	1	7
gene:AT1G06293	0	0	0	0
gene:AT1G29785	95	92	107	120
gene:AT1G06297	0	0	0	0
gene:AT1G06303	0	0	0	0
gene:AT1G06307	0	0	0	0
gene:AT1G30282	48	31	74	57
gene:AT1G06313	0	0	0	0
gene:AT1G06317	0	0	0	0
gene:AT1G06323	0	0	0	0
gene:AT1G30430	0	0	0	0
gene:AT1G06327	0	0	0	0
gene:AT1G06333	0	0	0	0
gene:AT1G06337	6	7	4	8
gene:AT1G06343	0	0	0	0
gene:AT1G06347	0	0	0	0
gene:AT1G06353	0	0	0	0
gene:AT1G06357	0	0	0	0
gene:AT1G06363	0	0	0	0
gene:AT1G06373	0	0	0	0
gene:AT1G30830	0	0	0	0
gene:AT1G06377	0	0	0	0
gene:AT1G06383	0	0	0	0
gene:AT1G06387	0	0	0	0
gene:AT1G06393	0	0	0	0
gene:AT1G06397	77	82	73	107
gene:AT1G06403	0	0	0	0
gene:AT1G06407	2	0	0	0
gene:AT1G31110	0	0	0	0
gene:AT1G06413	0	0	0	0
gene:AT1G31173	32	49	34	39
gene:AT1G06417	0	0	0	0
gene:AT1G06423	23	32	11	27
gene:AT1G06427	0	0	0	0
gene:AT1G31258	51	61	47	40
gene:AT1G06433	0	0	0	0
gene:AT1G31358	0	0	0	0
gene:AT1G06437	0	0	0	0
gene:AT1G31485	40	26	47	37
gene:AT1G06443	0	0	0	0
gene:AT1G06447	0	0	0	0
gene:AT1G06453	15	14	22	32
gene:AT1G06457	3	6	2	11
gene:AT1G06463	12	11	8	8
gene:AT1G06467	0	4	0	0
gene:AT1G31935	28	4	78	128
gene:AT1G06473	29	32	42	52
gene:AT1G06483	2	2	0	0
gene:AT1G06487	1	0	1	2
gene:AT1G06493	0	0	0	0
gene:AT1G06497	0	0	0	0
gene:AT1G06507	0	0	0	0
gene:AT1G06513	0	0	0	0
gene:AT1G06517	0	0	0	0
gene:AT1G06523	0	0	0	0
gene:AT1G32172	10	2	2	4
gene:AT1G06527	0	0	0	0
gene:AT1G06533	0	0	0	0
gene:AT1G06537	9	17	2	7
gene:AT1G06543	0	0	2	0
gene:AT1G06547	10	9	8	4
gene:AT1G32385	5	4	3	7
gene:AT1G06553	5	7	1	4
gene:AT1G06557	0	0	0	0
gene:AT1G06567	0	0	1	0
gene:AT1G06573	537	537	810	860
gene:AT1G06577	4	0	8	8
gene:AT1G06583	0	0	0	0
gene:AT1G06587	0	0	0	0
gene:AT1G06593	0	0	1	1
gene:AT1G32582	0	0	0	0
gene:AT1G06597	0	0	1	1
gene:AT1G32620	0	0	0	0
gene:AT1G06603	0	0	0	0
gene:AT1G06607	0	0	0	0
gene:AT1G32713	0	0	0	0
gene:AT1G06613	21	22	10	11
gene:AT1G06617	0	0	0	0
gene:AT1G06623	0	0	0	0
gene:AT1G06627	0	0	0	0
gene:AT1G06633	0	0	0	0
gene:AT1G06637	0	0	0	0
gene:AT1G32992	0	0	0	0
gene:AT1G06643	606	685	556	637
gene:AT1G06647	652	719	541	646
gene:AT1G06653	0	0	0	0
gene:AT1G06657	0	0	0	0
gene:AT1G06663	0	0	0	0
gene:AT1G06667	2	1	0	0
gene:AT1G06673	0	0	0	0
gene:AT1G33370	2	0	0	0
gene:AT1G33415	458	369	250	288
gene:AT1G06677	0	0	1	0
gene:AT1G33615	52	41	19	46
gene:AT1G06683	0	0	0	0
gene:AT1G06687	3	6	1	4
gene:AT1G06693	4	0	0	0
gene:AT1G06697	0	0	0	0
gene:AT1G06703	0	0	2	0
gene:AT1G06707	0	0	0	0
gene:AT1G06713	0	0	0	0
gene:AT1G06717	220	237	228	311
gene:AT1G06723	0	0	0	0
gene:AT1G06727	0	0	0	0
gene:AT1G06733	2	1	0	0
gene:AT1G06737	1	1	1	0
gene:AT1G06743	0	2	1	2
gene:AT1G06747	0	0	0	0
gene:AT1G06753	58	39	29	53
gene:AT1G34392	0	0	0	0
gene:AT1G34418	396	379	319	366
gene:AT1G06757	2	4	3	1
gene:AT1G06773	2	0	1	0
gene:AT1G06777	0	0	0	0
gene:AT1G06783	0	0	0	0
gene:AT1G06787	75	81	62	113
gene:AT1G34844	45	56	59	79
gene:AT1G06797	0	0	0	0
gene:AT1G06817	0	0	0	0
gene:AT1G06823	0	0	0	0
gene:AT1G06827	0	0	0	0
gene:AT1G06837	8	6	6	14
gene:AT1G06853	0	0	0	0
gene:AT1G06857	0	0	0	0
gene:AT1G06863	0	0	0	0
gene:AT1G06867	0	2	2	0
gene:AT1G06873	0	0	0	0
gene:AT1G06877	1	0	0	5
gene:AT1G06883	12	8	0	0
gene:AT1G06897	0	0	0	0
gene:AT1G06903	0	0	0	0
gene:AT1G35501	0	0	0	0
gene:AT1G06907	1	0	0	0
gene:AT1G35545	1	1	0	4
gene:AT1G06913	0	0	0	0
gene:AT1G06917	0	0	0	0
gene:AT1G06927	0	0	0	0
gene:AT1G06933	0	6	0	4
gene:AT1G06937	1	1	0	0
gene:AT1G06943	0	0	0	0
gene:AT1G06947	0	0	0	0
gene:AT1G06953	0	0	0	0
gene:AT1G06957	0	3	4	0
gene:AT1G06963	2	0	0	0
gene:AT1G06967	0	0	0	0
gene:AT1G06973	0	0	0	0
gene:AT1G36350	0	0	0	0
gene:AT1G06977	45	57	39	50
gene:AT1G06983	17	22	1	2
gene:AT1G06987	0	0	1	0
gene:AT1G06993	0	0	0	3
gene:AT1G06997	0	0	0	0
gene:AT1G36992	120	102	168	140
gene:AT1G07003	0	0	0	0
gene:AT1G07007	0	0	0	0
gene:AT1G07013	0	0	0	0
gene:AT1G07017	7	12	11	12
gene:AT1G07023	0	2	0	0
gene:AT1G07027	1	1	0	0
gene:AT1G42120	0	0	0	0
gene:AT1G07117	0	0	0	0
gene:AT1G07123	0	0	0	0
gene:AT1G07127	0	0	0	0
gene:AT1G07133	0	0	0	0
gene:AT1G07137	1	6	0	1
gene:AT1G07143	0	0	2	0
gene:AT1G07147	0	0	0	1
gene:AT1G07157	0	0	0	0
gene:AT1G07163	0	0	0	0
gene:AT1G07167	8	10	8	16
gene:AT1G07173	6	6	0	6
gene:AT1G07177	0	0	0	0
gene:AT1G07183	0	0	0	0
gene:AT1G07187	75	65	52	50
gene:AT1G07193	0	0	0	0
gene:AT1G43765	12	10	8	23
gene:AT1G07197	0	0	0	0
gene:AT1G43820	0	0	0	0
gene:AT1G07233	0	0	0	0
gene:AT1G07237	0	0	0	0
gene:AT1G07243	1	0	0	0
gene:AT1G44125	200	241	163	158
gene:AT1G07247	0	0	0	0
gene:AT1G07253	0	0	0	0
gene:AT1G07257	0	0	0	0
gene:AT1G07263	0	0	0	0
gene:AT1G07267	0	0	0	0
gene:AT1G07273	0	0	0	0
gene:AT1G07277	0	0	0	0
gene:AT1G07283	0	0	0	0
gene:AT1G07287	0	1	0	0
gene:AT1G07293	0	0	0	0
gene:AT1G07297	0	0	0	0
gene:AT1G07303	0	0	0	0
