Geneid	WT_AGO1-1	WT_AGO1-2	ago1-1	ago1-2
transcript:AT2G09465.1	18	13	3	18
transcript:AT2G09680.1	3	3	4	1
transcript:AT2G09685.1	13	18	10	6
transcript:AT2G09690.1	26	15	15	12
transcript:AT2G09695.1	7	10	13	9
transcript:AT2G09700.1	24	14	16	12
transcript:AT2G09705.1	1	3	0	0
transcript:AT2G09815.1	0	0	0	0
transcript:AT3G01313.1	2	1	0	0
transcript:AT3G01316.1	2	1	5	1
transcript:AT3G00985.1	6	1	1	5
transcript:AT3G01145.1	12	5	1	6
transcript:AT3G01155.1	23	10	12	13
transcript:AT3G02045.1	13	11	5	6
transcript:AT3G02205.1	33	30	37	22
transcript:AT3G02385.1	0	2	0	0
transcript:AT3G02435.1	7	3	10	8
transcript:AT3G02445.1	7	7	17	5
transcript:AT3G13525.1	0	0	0	0
transcript:AT3G02725.1	1	1	0	0
transcript:AT3G02795.1	3	2	0	1
transcript:AT3G14475.1	9	9	31	20
transcript:AT3G03175.1	2	0	0	2
transcript:AT3G03415.1	0	0	0	0
transcript:AT3G03425.1	0	0	0	1
transcript:AT3G03445.1	0	2	1	1
transcript:AT3G03585.1	4	4	5	1
transcript:AT3G21805.1	1	8	6	10
transcript:AT3G04155.1	4	9	4	9
transcript:AT3G04165.1	10	11	16	20
transcript:AT3G04175.1	5	10	18	10
transcript:AT3G24612.1	0	1	1	0
transcript:AT3G24614.1	0	0	0	0
transcript:AT3G24615.1	0	0	7	0
transcript:AT3G04985.1	0	2	2	4
transcript:AT3G27865.1	9	2	4	2
transcript:AT3G05325.1	5	8	2	7
transcript:AT3G05335.1	3	9	4	13
transcript:AT3G05355.1	5	21	14	7
transcript:AT3G05715.1	0	5	4	9
transcript:AT3G07715.1	9	7	8	8
transcript:AT3G47342.1	18	17	7	14
transcript:AT3G07725.1	29	33	21	9
transcript:AT3G07735.1	26	13	23	10
transcript:AT3G47347.1	29	41	35	29
transcript:AT3G47348.1	57	48	94	60
transcript:AT3G08165.1	9	13	19	11
transcript:AT3G50825.1	22	46	29	21
transcript:AT3G08210.1	0	0	0	0
transcript:AT3G08275.1	0	1	0	2
transcript:AT3G08485.1	4	8	3	6
transcript:AT3G58193.1	0	0	0	0
transcript:AT3G58196.1	0	0	0	0
transcript:AT3G09225.1	1	0	0	4
transcript:AT3G09865.1	0	2	0	5
transcript:AT4G03915.1	4	1	0	2
transcript:AT4G03925.1	4	0	3	1
transcript:AT4G02555.1	0	0	1	2
transcript:AT4G04205.1	0	0	0	1
transcript:AT4G04465.1	2	0	4	0
transcript:AT4G03295.1	3	0	0	1
transcript:AT4G04475.1	1	1	1	1
transcript:AT4G04485.1	0	1	1	3
transcript:AT4G05045.1	0	0	0	0
transcript:AT4G05055.1	0	0	0	0
transcript:AT4G05048.1	1	0	0	0
transcript:AT4G06010.1	1	1	1	2
transcript:AT4G06015.1	1	0	0	3
transcript:AT4G13245.1	1	1	0	3
transcript:AT4G06240.1	9	7	7	7
transcript:AT4G06245.1	2	3	6	0
transcript:AT4G06250.1	1	5	1	0
transcript:AT4G06255.1	0	9	1	0
transcript:AT4G06305.1	2	8	0	3
transcript:AT4G06310.1	1	2	6	2
transcript:AT4G06315.1	0	3	3	3
transcript:AT4G06320.1	0	1	0	3
transcript:AT4G15258.1	6	10	13	5
transcript:AT4G06705.1	0	14	0	4
transcript:AT4G07075.1	0	0	4	6
transcript:AT4G25631.1	0	0	1	0
transcript:AT4G26365.1	0	0	1	2
transcript:AT4G07625.1	2	0	10	2
transcript:AT4G07635.1	0	0	0	0
transcript:AT4G08125.1	0	1	2	1
transcript:AT4G08155.1	2	4	5	2
transcript:AT4G08165.1	1	2	2	0
transcript:AT4G08175.1	1	4	1	5
transcript:AT4G08235.1	7	8	5	5
transcript:AT4G08325.1	0	0	0	0
transcript:AT4G08425.1	37	36	29	23
transcript:AT4G08615.1	1	0	2	0
transcript:AT4G08625.1	3	4	0	0
transcript:AT4G09475.1	1	3	4	4
transcript:AT4G39361.1	19	42	17	22
transcript:AT4G09845.1	16	22	16	12
transcript:AT4G39363.1	34	33	22	26
transcript:AT4G39364.1	22	32	21	34
transcript:AT4G39366.1	30	29	25	21
transcript:AT5G00750.1	3	1	0	7
transcript:AT5G00755.1	0	1	1	5
transcript:AT5G00760.1	4	1	3	7
transcript:AT5G00765.1	2	1	4	2
transcript:AT5G01135.1	0	0	0	1
transcript:AT5G01145.1	0	0	2	4
transcript:AT5G01165.1	3	1	6	5
transcript:AT5G01195.1	4	2	8	12
transcript:AT5G01495.1	1	4	2	0
transcript:AT5G01505.1	3	3	5	1
transcript:AT5G01515.1	0	2	0	3
transcript:AT5G01785.1	4	4	3	9
transcript:AT5G10572.1	13	6	6	4
transcript:AT5G13225.1	1	3	0	0
transcript:AT5G02295.1	0	0	0	0
transcript:AT5G02305.1	1	0	0	1
transcript:AT5G02315.1	0	1	0	0
transcript:AT5G02325.1	2	2	0	2
transcript:AT5G02565.1	10	17	26	34
transcript:AT5G02575.1	13	14	23	37
transcript:AT5G02655.1	0	1	7	0
transcript:AT5G02665.1	2	3	4	5
transcript:AT5G02675.1	2	0	2	0
transcript:AT5G02915.1	0	1	0	1
transcript:AT5G04425.1	6	6	1	9
transcript:AT5G04545.1	5	13	16	17
transcript:AT5G04945.1	0	0	0	0
transcript:AT5G05375.1	0	0	0	0
transcript:AT5G05385.1	0	0	0	0
transcript:AT5G06115.1	4	3	0	2
transcript:AT5G41471.1	18	12	33	27
transcript:AT5G06305.1	0	0	0	8
transcript:AT5G06565.1	0	0	0	0
transcript:AT5G44286.1	0	2	3	0
transcript:AT5G06825.1	3	3	1	4
transcript:AT5G06835.1	0	0	1	0
transcript:AT5G07095.1	10	6	23	7
transcript:AT5G07105.1	1	2	3	5
transcript:AT5G07725.1	4	5	5	9
transcript:AT5G51174.1	0	3	1	13
transcript:AT5G07735.1	0	0	0	4
transcript:AT5G52471.1	4	2	3	12
transcript:AT5G53902.1	25	18	43	44
transcript:AT5G54075.1	24	22	40	49
transcript:AT5G08495.1	9	11	9	22
transcript:AT5G08515.1	7	15	18	6
transcript:AT5G08525.1	7	6	5	1
transcript:AT5G08805.1	0	3	3	0
transcript:AT5G58595.1	0	0	1	1
transcript:AT5G08850.1	0	0	0	0
transcript:AT5G08860.1	0	2	1	8
transcript:AT5G08865.1	1	2	2	11
transcript:AT5G09000.1	0	0	0	0
transcript:AT5G09005.1	0	0	0	0
transcript:AT5G09020.1	0	0	2	0
transcript:AT5G09130.1	0	0	3	0
transcript:AT5G09495.1	3	10	5	3
transcript:AT5G09515.1	0	0	0	0
transcript:AT5G66562.1	1	2	5	2
transcript:AT5G66564.1	2	2	3	7
transcript:AT5G66567.1	0	0	1	0
