Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
transcript:AT1G09843.1	64	71	69	83
transcript:AT1G79075.1	2	11	1	4
transcript:AT1G79075.2	0	0	0	0
transcript:AT1G09903.1	30	70	60	62
transcript:AT1G09923.1	2	1	4	2
transcript:AT2G01422.1	0	0	0	0
transcript:AT2G01422.2	0	0	0	0
transcript:AT2G04705.1	0	0	0	0
transcript:AT2G05518.1	22	42	27	43
transcript:AT2G05995.1	14	10	2	4
transcript:AT2G06002.1	22	24	27	33
transcript:AT2G06562.1	0	2	0	0
transcript:AT2G07042.1	72	110	86	41
transcript:AT2G10537.1	0	0	0	0
transcript:AT2G05685.1	0	0	0	0
transcript:AT2G14878.1	697	695	823	852
transcript:AT2G15128.1	40	43	47	43
transcript:AT2G15292.1	378	394	376	476
transcript:AT2G15555.1	4	0	0	0
transcript:AT2G18440.2	14	27	16	12
transcript:AT2G18440.1	0	0	0	0
transcript:AT2G18735.1	100	100	125	123
transcript:AT2G19796.1	0	0	0	0
transcript:AT2G21188.1	20	56	25	21
transcript:AT2G07405.1	0	0	0	0
transcript:AT2G07575.1	0	0	2	0
transcript:AT2G22482.1	20	26	27	14
transcript:AT2G07975.1	0	0	0	0
transcript:AT2G24735.1	2	2	0	0
transcript:AT2G08135.1	27	32	25	27
transcript:AT2G27400.1	85	126	114	173
transcript:AT2G08205.1	3	6	8	14
transcript:AT2G08330.1	247	247	237	254
transcript:AT2G30115.1	0	0	0	3
transcript:AT2G30945.2	0	0	0	0
transcript:AT2G30945.1	0	0	0	0
transcript:AT2G30945.3	0	0	0	0
transcript:AT2G31585.1	0	0	0	0
transcript:AT2G31585.2	0	0	0	0
transcript:AT2G08475.1	150	198	168	189
transcript:AT2G31902.1	44	58	26	68
transcript:AT2G31902.2	0	0	0	0
transcript:AT2G31902.3	0	0	0	0
transcript:AT2G31902.4	0	2	0	0
transcript:AT2G31902.5	104	85	47	93
transcript:AT2G32795.1	35	27	42	65
transcript:AT2G08610.1	14	7	11	19
transcript:AT2G08745.1	1	5	1	4
transcript:AT2G36307.1	30	58	34	32
transcript:AT2G08915.1	46	51	50	23
transcript:AT2G08915.2	349	441	294	222
transcript:AT2G09000.1	2	3	5	4
transcript:AT2G09035.1	0	0	0	0
transcript:AT2G09045.1	22	16	13	13
transcript:AT2G39675.1	91	128	111	148
transcript:AT2G39681.1	198	248	233	352
transcript:AT2G09155.1	0	0	1	0
transcript:AT2G09215.1	26	30	28	49
transcript:AT2G41312.2	0	0	0	0
transcript:AT2G41312.1	0	1	0	0
transcript:AT2G09365.1	0	0	0	0
transcript:AT2G42388.1	1	0	2	0
transcript:AT2G42425.1	0	0	0	0
transcript:AT2G42485.1	68	51	58	58
transcript:AT2G09395.1	166	209	191	193
transcript:AT2G09400.1	38	39	53	50
transcript:AT2G43375.1	63	67	72	101
transcript:AT2G09475.1	0	0	0	0
transcript:AT2G44995.1	38	29	44	51
transcript:AT2G45023.1	3	0	0	0
transcript:AT2G45023.2	0	0	0	0
transcript:AT2G45245.3	0	1	0	0
transcript:AT2G45245.4	1	2	8	11
transcript:AT2G45245.2	0	0	0	0
transcript:AT2G45245.1	0	0	0	0
transcript:AT2G45780.1	2	4	2	2
transcript:AT2G09675.1	27	38	47	50
transcript:AT2G46192.1	90	73	45	31
transcript:AT2G09735.1	410	399	203	196
transcript:AT2G09785.1	478	520	529	567
transcript:AT3G00980.1	12	2	3	3
transcript:AT3G01005.1	52	32	42	36
transcript:AT3G01135.1	70	83	60	72
transcript:AT3G02832.1	72	37	30	24
transcript:AT3G04485.1	41	64	47	45
transcript:AT3G01525.1	49	67	52	70
transcript:AT3G01605.1	12	20	22	21
transcript:AT3G05152.1	0	0	0	4
transcript:AT3G01615.1	17	19	11	7
transcript:AT3G06125.2	0	0	0	0
transcript:AT3G06125.3	0	0	0	0
transcript:AT3G06125.1	1	3	6	2
transcript:AT3G01905.1	43	47	38	32
transcript:AT3G06962.1	4	0	1	0
transcript:AT3G01925.1	12	10	5	9
transcript:AT3G07215.4	1	0	0	0
transcript:AT3G07215.3	0	0	0	0
transcript:AT3G07215.2	0	0	0	0
transcript:AT3G07215.1	0	0	0	0
transcript:AT3G02075.1	16	20	10	6
transcript:AT3G02115.1	106	89	84	103
transcript:AT3G11415.1	2	7	4	0
transcript:AT3G02475.1	3	6	8	2
transcript:AT3G02565.1	64	64	62	64
transcript:AT3G02585.1	21	35	21	32
transcript:AT3G12965.1	227	311	236	236
transcript:AT3G13277.1	112	141	126	127
transcript:AT3G14185.1	2	2	0	6
transcript:AT3G03065.1	0	0	0	0
transcript:AT3G15536.1	0	0	0	0
transcript:AT3G03155.1	10	17	13	27
transcript:AT3G03155.2	32	33	20	39
transcript:AT3G17185.1	0	0	0	0
transcript:AT3G17185.2	0	0	0	0
transcript:AT3G18362.1	0	0	0	0
transcript:AT3G18362.2	0	0	0	1
transcript:AT3G03695.1	0	0	0	0
transcript:AT3G03745.1	30	33	27	48
transcript:AT3G04195.1	13	11	10	11
transcript:AT3G04355.1	30	29	35	33
transcript:AT3G04535.1	0	0	0	0
transcript:AT3G04685.1	114	115	101	24
transcript:AT3G25795.1	2	8	6	7
transcript:AT3G26612.1	61	84	105	99
transcript:AT3G05185.1	0	0	0	0
transcript:AT3G05215.1	0	0	0	0
transcript:AT3G27884.2	0	0	0	0
transcript:AT3G27884.3	0	0	0	0
transcript:AT3G27884.1	0	0	0	0
transcript:AT3G41761.1	64	78	120	75
transcript:AT3G44765.1	0	3	2	4
transcript:AT3G44798.1	179	194	201	223
transcript:AT3G45638.1	4	4	4	7
transcript:AT3G45638.2	0	0	0	0
transcript:AT3G46614.1	2	12	2	0
transcript:AT3G07485.1	0	0	1	0
transcript:AT3G07635.1	4	4	2	2
transcript:AT3G48115.2	0	0	0	0
transcript:AT3G48115.1	42	92	46	66
transcript:AT3G08085.1	2	9	1	1
transcript:AT3G08170.1	19	36	38	20
transcript:AT3G08170.2	248	275	261	338
transcript:AT3G52742.1	0	0	0	0
transcript:AT3G52748.1	6	10	16	5
transcript:AT3G53365.1	8	22	11	19
transcript:AT3G54366.1	367	402	514	481
transcript:AT3G08410.1	0	1	0	0
transcript:AT3G55485.1	4	9	0	8
transcript:AT3G08705.1	34	42	43	42
transcript:AT3G08785.1	1866	2068	1779	2059
transcript:AT3G57157.1	14	21	16	30
transcript:AT3G08895.1	126	168	115	146
transcript:AT3G08975.1	40	36	30	42
transcript:AT3G59765.3	0	3	0	3
transcript:AT3G59765.2	0	0	0	0
transcript:AT3G59765.1	0	0	0	0
transcript:AT3G60176.1	0	0	3	0
transcript:AT3G60238.1	0	0	0	0
transcript:AT3G60972.1	6	9	4	7
transcript:AT3G61118.1	0	6	1	1
transcript:AT3G61198.1	18	23	20	35
transcript:AT4G03605.1	0	0	0	0
transcript:AT4G03675.1	27	22	19	26
transcript:AT4G03685.1	4	3	0	8
transcript:AT4G00975.1	32	25	15	17
transcript:AT4G00975.2	0	0	0	0
transcript:AT4G00975.3	0	0	0	0
transcript:AT4G01533.1	12	9	14	8
transcript:AT4G03955.1	30	46	25	25
transcript:AT4G02005.6	0	0	0	0
transcript:AT4G02005.5	0	0	0	0
transcript:AT4G02005.3	0	0	0	0
transcript:AT4G02005.1	0	0	0	0
transcript:AT4G02005.4	0	0	0	0
transcript:AT4G02005.2	0	0	0	0
transcript:AT4G04325.1	10	11	16	17
transcript:AT4G03038.1	0	0	0	0
transcript:AT4G03811.1	0	0	0	0
transcript:AT4G03935.1	0	0	0	0
transcript:AT4G03935.3	0	0	0	0
transcript:AT4G03935.2	0	0	0	0
transcript:AT4G04223.1	0	0	2	0
transcript:AT4G04223.2	0	0	1	0
transcript:AT4G04315.1	0	0	0	0
transcript:AT4G06701.5	0	0	0	0
transcript:AT4G06701.3	0	0	0	0
transcript:AT4G06701.2	0	0	0	0
transcript:AT4G06701.4	0	0	0	0
transcript:AT4G06701.1	0	0	0	0
transcript:AT4G08035.1	3	2	0	4
transcript:AT4G08035.2	0	0	0	0
transcript:AT4G05365.1	0	0	0	0
transcript:AT4G05690.1	192	224	200	218
transcript:AT4G10507.1	0	2	0	0
transcript:AT4G05905.1	0	0	0	0
transcript:AT4G05940.1	12	13	1	0
transcript:AT4G12917.1	181	236	212	191
transcript:AT4G13495.2	68	79	62	127
transcript:AT4G13495.1	0	0	0	0
transcript:AT4G14548.1	9	39	13	19
transcript:AT4G15242.1	0	0	0	0
transcript:AT4G16355.1	1	2	3	4
transcript:AT4G16748.1	0	0	0	0
transcript:AT4G16892.1	7	42	28	24
transcript:AT4G06785.1	21	36	20	18
transcript:AT4G23205.1	5	4	1	9
transcript:AT4G26255.1	13	19	13	34
transcript:AT4G07975.1	93	133	90	105
transcript:AT4G07975.2	299	445	300	386
transcript:AT4G08055.1	102	74	79	72
transcript:AT4G30872.1	0	0	0	0
transcript:AT4G30975.3	0	0	0	0
transcript:AT4G30975.1	0	0	0	0
transcript:AT4G30975.2	0	0	0	0
transcript:AT4G31408.1	0	0	0	0
transcript:AT4G31408.3	0	0	0	0
transcript:AT4G31408.2	0	0	0	0
transcript:AT4G09195.1	0	0	0	0
transcript:AT4G36648.1	1453	1970	1780	2630
transcript:AT4G09365.1	8	7	9	11
transcript:AT4G09405.1	0	3	4	0
transcript:AT4G09535.1	15	17	12	19
transcript:AT4G39404.1	0	1	2	0
transcript:AT4G40065.1	123	167	244	340
transcript:AT5G00885.1	0	0	0	0
transcript:AT5G03285.1	63	68	53	25
transcript:AT5G00925.1	37	38	30	38
transcript:AT5G06165.1	10	12	30	8
transcript:AT5G01265.1	14	25	23	23
transcript:AT5G07322.1	106	124	115	77
transcript:AT5G10278.2	2	0	0	0
transcript:AT5G10278.1	7	4	6	9
transcript:AT5G02115.1	41	43	67	51
transcript:AT5G02135.1	0	0	0	0
transcript:AT5G02445.1	2	3	1	4
transcript:AT5G02535.1	1	6	0	2
transcript:AT5G02825.1	0	2	0	0
transcript:AT5G02975.1	0	0	0	0
transcript:AT5G03315.1	10	21	21	8
transcript:AT5G22788.1	13	10	6	9
transcript:AT5G23155.2	0	0	0	0
transcript:AT5G23155.1	2	0	0	0
transcript:AT5G23410.1	127	152	130	146
transcript:AT5G24205.1	19	2	11	11
transcript:AT5G24206.1	1	3	7	1
transcript:AT5G24735.1	697	831	760	732
transcript:AT5G03965.1	202	238	279	204
transcript:AT5G04175.1	28	49	16	36
transcript:AT5G28262.1	7	18	17	33
transcript:AT5G28824.1	0	0	0	0
transcript:AT5G33399.1	0	2	4	5
transcript:AT5G33439.1	0	0	0	0
transcript:AT5G34871.1	1	4	5	7
transcript:AT5G05295.1	0	2	2	7
transcript:AT5G37485.1	6	6	9	22
transcript:AT5G38005.1	11	43	29	25
transcript:AT5G05785.1	0	1	0	0
transcript:AT5G05865.1	0	0	0	1
transcript:AT5G40275.1	0	0	0	0
transcript:AT5G40316.1	0	0	0	4
transcript:AT5G06095.1	0	0	0	0
transcript:AT5G43403.1	81	76	95	112
transcript:AT5G43725.1	0	0	0	0
transcript:AT5G43725.2	105	142	166	168
transcript:AT5G44569.1	21	12	22	50
transcript:AT5G45475.1	309	350	318	315
transcript:AT5G06955.1	0	0	0	0
transcript:AT5G48412.1	756	845	765	827
transcript:AT5G49615.1	2	0	0	0
transcript:AT5G50190.1	0	0	0	0
transcript:AT5G08125.1	0	0	0	0
transcript:AT5G08575.1	0	0	0	0
transcript:AT5G08615.1	38	39	22	47
transcript:AT5G57735.1	0	0	1	2
transcript:AT5G08875.1	15	21	13	19
transcript:AT5G09865.1	19	15	13	0
