Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
gene:AT1G02070	4	2	2	6
gene:AT1G02080	2937	2393	2422	2586
gene:AT1G02090	565	546	358	363
gene:AT1G02100	484	530	538	612
gene:AT1G02110	387	369	495	512
gene:AT1G02120	1924	1716	1063	1308
gene:AT1G02130	622	616	580	582
gene:AT1G02140	1562	1590	1144	1386
gene:AT1G02145	325	362	269	366
gene:AT1G02150	1366	1231	1906	2110
gene:AT1G02160	288	223	239	251
gene:AT1G02170	785	704	375	488
gene:AT1G02180	71	61	62	49
gene:AT1G02190	35	36	28	8
gene:AT1G02205	2718	2963	705	901
gene:AT1G02210	0	0	0	0
gene:AT1G02220	980	666	96	122
gene:AT1G02230	98	76	2	15
gene:AT1G02250	15	5	0	2
gene:AT1G02260	421	343	341	373
gene:AT1G02270	488	465	254	328
gene:AT1G02280	692	736	1037	1083
gene:AT1G02290	300	218	233	244
gene:AT1G02300	223	174	194	209
gene:AT1G02305	2732	2607	1534	1696
gene:AT1G02310	69	48	4	2
gene:AT1G02320	0	0	0	0
gene:AT1G02330	469	426	355	394
gene:AT1G02335	144	123	148	155
gene:AT1G02340	26	33	68	31
gene:AT1G02350	7	17	23	18
gene:AT1G02360	315	200	126	133
gene:AT1G02370	154	131	142	214
gene:AT1G02380	33	23	141	151
gene:AT1G02390	48	28	45	37
gene:AT1G02400	70	79	85	72
gene:AT1G02405	2	2	0	4
gene:AT1G02410	373	412	245	281
gene:AT1G02420	87	68	104	100
gene:AT1G02430	46	48	40	44
gene:AT1G02440	20	36	4	4
gene:AT1G02450	205	145	0	14
gene:AT1G02460	55	44	12	7
gene:AT1G02470	238	157	16	10
gene:AT1G02475	1378	1587	806	817
gene:AT1G02490	4	0	5	0
gene:AT1G02500	14147	13391	6974	7261
gene:AT1G02510	0	0	0	0
gene:AT1G02520	157	127	138	322
gene:AT1G02530	17	11	11	9
gene:AT1G02540	0	0	0	0
gene:AT1G02550	0	0	0	0
gene:AT1G02560	3486	4093	3855	4366
gene:AT1G02570	0	0	6	16
gene:AT1G02575	0	0	0	4
gene:AT1G02580	7	8	0	0
gene:AT1G02590	0	0	0	0
gene:AT1G02610	98	70	508	269
gene:AT1G02620	0	1	187	123
gene:AT1G02630	0	0	14	19
gene:AT1G02640	140	156	1763	1630
gene:AT1G02650	20	34	44	54
gene:AT1G02660	278	122	1957	1156
gene:AT1G02670	45	26	57	38
gene:AT1G02680	161	144	157	169
gene:AT1G02690	332	322	202	278
gene:AT1G02700	20	28	10	52
gene:AT1G02705	13	11	7	32
gene:AT1G02710	0	0	0	0
gene:AT1G02720	187	254	219	277
gene:AT1G02730	982	837	709	917
gene:AT1G02740	144	163	205	113
gene:AT1G02750	262	275	217	212
gene:AT1G02770	4	15	4	22
gene:AT1G02780	8718	8963	6935	8025
gene:AT1G02790	0	3	0	0
gene:AT1G02800	14	24	37	48
gene:AT1G02810	223	246	102	148
gene:AT1G02813	0	0	0	0
gene:AT1G02816	432	435	506	491
gene:AT1G02820	52	45	78	57
gene:AT1G02830	0	0	0	0
gene:AT1G02840	1287	1098	1349	1606
gene:AT1G02850	6259	6009	3497	2697
gene:AT1G02860	224	166	414	412
gene:AT1G02870	307	287	286	356
gene:AT1G02880	469	353	245	203
gene:AT1G02890	1652	1456	1646	1814
gene:AT1G02900	99	124	163	240
gene:AT1G02910	674	829	844	1037
gene:AT1G02920	30950	23146	507	450
gene:AT1G02930	45756	36115	455	509
gene:AT1G02940	679	605	0	6
gene:AT1G02950	117	104	79	170
gene:AT1G02960	282	299	231	255
gene:AT1G02965	0	0	0	0
gene:AT1G02970	68	55	26	31
gene:AT1G02980	1	6	2	4
gene:AT1G02990	660	541	505	574
gene:AT1G03000	495	407	469	525
gene:AT1G03010	60	75	19	37
gene:AT1G03020	3	0	46	22
gene:AT1G03030	385	394	170	206
gene:AT1G03040	1182	988	869	858
gene:AT1G03050	1	0	0	2
gene:AT1G03055	14	6	45	28
gene:AT1G03060	2555	1967	1813	2112
gene:AT1G03070	12	0	22	9
gene:AT1G03080	3811	2969	2190	2761
gene:AT1G03090	602	550	4100	3323
gene:AT1G03100	75	84	137	82
gene:AT1G03103	0	0	3	0
gene:AT1G03106	10	0	0	0
gene:AT1G03110	205	206	148	230
gene:AT1G03120	8	0	13	15
gene:AT1G03130	2035	2772	3082	2832
gene:AT1G03140	842	732	771	848
gene:AT1G03150	226	246	190	214
gene:AT1G03160	1040	1147	929	903
gene:AT1G03165	6	4	3	9
gene:AT1G03170	12	6	12	22
gene:AT1G03180	50	62	23	25
gene:AT1G03190	224	238	225	233
gene:AT1G03200	23	27	23	26
gene:AT1G03210	427	447	210	240
gene:AT1G03220	4948	4123	4670	3346
gene:AT1G03230	1731	1768	937	872
gene:AT1G03240	1	4	5	1
gene:AT1G03250	826	858	331	387
gene:AT1G03260	167	173	151	177
gene:AT1G03270	56	67	31	50
gene:AT1G03280	751	708	494	664
gene:AT1G03290	1231	1038	634	749
gene:AT1G03300	0	0	0	0
gene:AT1G03310	1007	1270	612	827
gene:AT1G03320	0	1	0	0
gene:AT1G03325	0	0	0	0
gene:AT1G03330	376	471	288	332
gene:AT1G03340	50	48	45	47
gene:AT1G03350	1244	1079	817	1026
gene:AT1G03360	152	186	212	237
gene:AT1G03365	508	379	364	495
gene:AT1G03370	1131	900	686	1003
gene:AT1G03380	1194	1032	982	1059
gene:AT1G03390	0	0	1	0
gene:AT1G03395	0	0	0	0
gene:AT1G03400	437	365	379	562
gene:AT1G03410	385	434	466	625
gene:AT1G03430	315	251	258	250
gene:AT1G03440	250	256	812	986
gene:AT1G03445	6	10	4	6
gene:AT1G03457	89	49	171	375
gene:AT1G03470	151	185	155	209
gene:AT1G03475	2445	2733	2318	2728
gene:AT1G03490	0	0	0	2
gene:AT1G03495	91	93	105	97
gene:AT1G03510	18	36	40	32
gene:AT1G03520	158	168	363	282
gene:AT1G03530	358	305	397	381
gene:AT1G03540	37	45	69	59
gene:AT1G03550	162	149	165	175
gene:AT1G03560	223	234	270	306
gene:AT1G03590	575	485	483	653
gene:AT1G03600	2895	3677	4539	4507
gene:AT1G03610	419	284	1322	787
gene:AT1G03620	30	30	40	54
gene:AT1G03630	1265	1570	1840	2429
gene:AT1G03650	64	51	55	57
gene:AT1G03660	10	22	12	17
gene:AT1G03670	4	0	0	0
gene:AT1G03680	2950	3561	5228	5395
gene:AT1G03687	221	229	156	197
gene:AT1G03700	0	6	15	5
gene:AT1G03710	2	16	0	0
gene:AT1G03720	0	1	0	0
gene:AT1G03730	184	221	233	199
gene:AT1G03740	1238	912	1063	1124
gene:AT1G03750	178	197	142	143
gene:AT1G03760	231	207	177	229
gene:AT1G03770	202	132	112	124
gene:AT1G03780	256	197	119	194
gene:AT1G03790	13	1	2	12
gene:AT1G03800	24	32	60	12
gene:AT1G03810	0	0	0	0
gene:AT1G03820	353	309	153	190
gene:AT1G03830	301	363	149	264
gene:AT1G03840	33	48	46	33
gene:AT1G03850	952	446	307	313
gene:AT1G03860	1177	1254	852	906
gene:AT1G03870	741	762	1469	3910
gene:AT1G03880	1	50	0	0
gene:AT1G03890	0	4	0	0
gene:AT1G03900	1947	1922	1138	1383
gene:AT1G03905	118	123	63	55
gene:AT1G03910	1000	955	836	989
gene:AT1G03920	57	41	25	52
gene:AT1G03930	670	616	403	482
gene:AT1G03940	122	105	147	142
gene:AT1G03950	233	241	146	144
gene:AT1G03960	270	317	211	192
gene:AT1G03970	811	817	547	561
gene:AT1G03980	15	7	3	10
gene:AT1G03982	0	0	0	0
gene:AT1G03990	44	43	53	33
gene:AT1G04000	182	187	185	153
gene:AT1G04010	195	222	126	196
gene:AT1G04020	179	183	78	88
gene:AT1G04030	147	108	92	96
gene:AT1G04040	262	312	409	827
gene:AT1G04050	91	112	71	73
gene:AT1G04070	98	104	104	82
gene:AT1G04080	1914	1737	1775	1920
gene:AT1G04090	0	4	8	12
gene:AT1G04100	50	48	58	66
gene:AT1G04105	0	0	0	0
gene:AT1G04110	36	39	169	120
gene:AT1G04120	4213	3525	1302	1653
gene:AT1G04130	247	246	127	135
gene:AT1G04140	1947	1899	1692	1904
gene:AT1G04150	24	16	10	12
gene:AT1G04160	125	142	124	153
gene:AT1G04170	1793	1927	1497	1515
gene:AT1G04180	65	85	23	36
gene:AT1G04190	512	531	344	414
gene:AT1G04200	789	690	421	619
gene:AT1G04210	1264	1162	1425	1288
gene:AT1G04220	315	356	78	237
gene:AT1G04230	241	188	160	181
gene:AT1G04240	31	25	347	494
gene:AT1G04250	322	377	463	712
gene:AT1G04260	240	252	192	272
gene:AT1G04270	4658	4898	3637	4155
gene:AT1G04280	961	797	556	700
gene:AT1G04290	285	241	235	143
gene:AT1G04300	1964	1759	1656	1879
gene:AT1G04310	371	277	316	243
gene:AT1G04330	4	0	4	10
gene:AT1G04340	305	259	247	275
gene:AT1G04350	723	740	731	745
gene:AT1G04360	40	38	72	110
gene:AT1G04370	24	4	2	0
gene:AT1G04380	8	4	6	4
gene:AT1G04390	194	153	165	183
gene:AT1G04400	3717	3411	4684	4592
gene:AT1G04410	19985	20943	10941	10425
gene:AT1G04420	1047	1195	1740	1972
gene:AT1G04430	1566	1627	2421	4226
gene:AT1G04440	1612	1700	1128	1234
gene:AT1G04445	0	4	0	0
gene:AT1G04450	0	3	0	0
gene:AT1G04455	15	27	36	30
gene:AT1G04470	0	1	0	4
gene:AT1G04480	1499	1674	1343	1617
gene:AT1G04490	41	37	10	6
gene:AT1G04500	22	23	0	2
gene:AT1G04510	1083	1052	798	996
gene:AT1G04520	184	195	187	202
gene:AT1G04530	455	477	455	551
gene:AT1G04540	81	76	32	26
gene:AT1G04550	300	231	258	311
gene:AT1G04555	640	916	328	394
gene:AT1G04560	20	12	12	2
gene:AT1G04570	24	20	18	4
gene:AT1G04580	90	11	0	2
gene:AT1G04590	347	430	195	282
gene:AT1G04600	30	27	5	15
gene:AT1G04610	43	48	55	79
gene:AT1G04620	463	393	548	615
gene:AT1G04625	0	4	4	1
gene:AT1G04630	536	552	367	457
gene:AT1G04635	36	36	24	40
gene:AT1G04640	568	718	700	835
gene:AT1G04645	2	0	0	0
gene:AT1G04650	90	78	43	43
gene:AT1G04660	10	4	0	2
gene:AT1G04670	0	6	0	1
gene:AT1G04680	1074	1202	864	1323
gene:AT1G04690	2770	2603	1867	1627
gene:AT1G04700	39	36	24	49
gene:AT1G04710	466	486	320	272
gene:AT1G04730	130	103	43	88
gene:AT1G04750	1494	1458	978	1185
gene:AT1G04760	32	56	30	38
gene:AT1G04770	320	327	283	188
gene:AT1G04778	0	5	6	6
gene:AT1G04780	2681	2359	1441	1467
gene:AT1G04790	594	521	491	525
gene:AT1G04800	486	424	260	306
gene:AT1G04810	1262	1050	953	1252
gene:AT1G04820	4531	5131	4457	4766
gene:AT1G04830	300	246	258	339
gene:AT1G04840	34	18	44	37
gene:AT1G04850	1995	1835	871	1118
gene:AT1G04860	866	760	881	1200
gene:AT1G04870	637	724	507	718
gene:AT1G04880	3	4	4	6
gene:AT1G04890	0	0	0	0
gene:AT1G04895	0	0	0	0
gene:AT1G04900	211	271	144	211
gene:AT1G04910	767	795	406	571
gene:AT1G04920	51	48	35	38
gene:AT1G04930	53	66	61	105
gene:AT1G04945	154	254	181	166
gene:AT1G04940	0	0	0	0
gene:AT1G04950	350	352	402	493
gene:AT1G04960	474	362	303	364
gene:AT1G04970	922	813	515	531
gene:AT1G04980	593	462	167	183
gene:AT1G04985	468	492	415	536
gene:AT1G04990	1962	2042	570	509
gene:AT1G05000	1016	690	272	298
gene:AT1G05005	0	0	0	0
gene:AT1G05010	15376	12585	5516	5899
gene:AT1G05020	8	30	88	90
gene:AT1G05030	282	270	180	265
gene:AT1G05035	33	35	4	8
gene:AT1G05040	1	2	0	0
gene:AT1G05055	132	193	159	166
gene:AT1G05060	315	397	275	337
gene:AT1G05065	26	4	30	24
gene:AT1G05070	311	323	223	343
gene:AT1G05080	0	0	0	0
gene:AT1G05085	1	0	1	2
gene:AT1G05087	89	111	127	146
gene:AT1G05090	220	195	255	261
gene:AT1G05100	30	18	22	26
gene:AT1G05120	716	650	417	503
gene:AT1G05136	4	3	12	1
gene:AT1G05140	852	878	1067	1280
gene:AT1G05150	722	658	945	1164
gene:AT1G05160	260	233	223	302
gene:AT1G05170	267	297	151	155
gene:AT1G05180	846	869	472	577
gene:AT1G05190	3226	3701	5884	6648
gene:AT1G05200	624	624	306	341
gene:AT1G05205	279	337	142	226
gene:AT1G05210	66	100	63	43
gene:AT1G05220	11	27	17	18
gene:AT1G05230	275	258	317	437
gene:AT1G05240	8	9	84	74
gene:AT1G05250	2	14	61	74
gene:AT1G05260	196	297	387	571
gene:AT1G05270	652	704	488	586
gene:AT1G05280	25	19	24	27
gene:AT1G05290	1	0	0	0
gene:AT1G05291	0	0	0	0
gene:AT1G05300	421	436	97	96
gene:AT1G05310	40	23	44	103
gene:AT1G05320	618	539	300	366
gene:AT1G05330	1	0	0	2
gene:AT1G05340	123	116	150	115
gene:AT1G05350	554	559	305	391
gene:AT1G05360	254	282	188	164
gene:AT1G05370	64	59	27	23
gene:AT1G05380	1237	1011	1111	1250
gene:AT1G05385	99	146	254	315
gene:AT1G05400	17	5	8	20
gene:AT1G05410	267	296	244	393
gene:AT1G05420	4	0	18	14
gene:AT1G05430	432	414	278	383
gene:AT1G05440	21	36	20	32
gene:AT1G05450	0	2	2	0
gene:AT1G05460	328	363	412	429
gene:AT1G05470	182	141	162	252
gene:AT1G05490	8	12	12	14
gene:AT1G05500	987	908	498	666
gene:AT1G05510	4	13	13	0
gene:AT1G05520	1234	1242	767	888
gene:AT1G05530	5	4	18	27
gene:AT1G05540	6	4	31	38
gene:AT1G05550	2	3	4	0
gene:AT1G05560	3379	2828	3248	1534
gene:AT1G05570	2168	1801	1648	1709
gene:AT1G05575	98	64	63	30
gene:AT1G05577	19	2	1	1
gene:AT1G05580	0	0	0	0
gene:AT1G05590	285	250	200	312
gene:AT1G05600	101	90	129	185
gene:AT1G05610	22	15	7	8
gene:AT1G05615	0	0	0	0
gene:AT1G05620	531	572	212	253
gene:AT1G05630	289	265	341	696
gene:AT1G05640	110	105	81	100
gene:AT1G05650	0	0	0	7
gene:AT1G05660	4	4	41	53
gene:AT1G05670	140	140	118	151
gene:AT1G05675	324	207	162	30
gene:AT1G05680	567	486	1538	1118
gene:AT1G05690	80	61	63	55
gene:AT1G05700	28	26	17	34
gene:AT1G05710	816	753	161	255
gene:AT1G05720	369	355	193	226
gene:AT1G05730	29	23	15	28
gene:AT1G05740	0	0	0	0
gene:AT1G05750	111	122	111	193
gene:AT1G05760	0	0	0	0
gene:AT1G05770	20	9	13	17
gene:AT1G05780	180	198	100	152
gene:AT1G05783	9	19	15	9
gene:AT1G05785	91	112	92	102
gene:AT1G05790	471	391	407	464
gene:AT1G05800	6	0	0	0
gene:AT1G05805	618	756	571	725
gene:AT1G05810	107	112	149	228
gene:AT1G05820	34	24	37	33
gene:AT1G05830	761	666	638	701
gene:AT1G05835	42	59	128	145
gene:AT1G05840	330	336	396	574
gene:AT1G05850	5151	5307	5486	7039
gene:AT1G05860	194	195	158	185
gene:AT1G05870	393	439	208	267
gene:AT1G05880	2	0	0	0
gene:AT1G05890	1209	952	991	1156
gene:AT1G05894	5	4	14	7
gene:AT1G05900	152	198	100	152
gene:AT1G05910	790	833	461	600
gene:AT1G05920	0	0	0	0
gene:AT1G05930	0	0	2	0
gene:AT1G05940	843	975	604	622
gene:AT1G05950	57	58	62	57
gene:AT1G05960	1215	1070	1132	1373
gene:AT1G05970	78	69	81	106
gene:AT1G05990	0	0	2	4
gene:AT1G06000	934	872	454	544
gene:AT1G06010	219	259	126	161
gene:AT1G06020	7	7	8	2
gene:AT1G06030	14	10	0	3
gene:AT1G06040	687	724	432	348
gene:AT1G06045	0	0	0	0
gene:AT1G06050	103	106	59	56
gene:AT1G06060	288	330	327	320
gene:AT1G06070	426	416	377	378
gene:AT1G06080	49	55	233	220
gene:AT1G06090	60	81	103	194
gene:AT1G06100	0	0	32	44
gene:AT1G06110	691	628	543	611
gene:AT1G06120	7	7	15	21
gene:AT1G06130	585	733	375	534
gene:AT1G06135	8	2	0	0
gene:AT1G06137	6	0	2	0
gene:AT1G06140	26	40	42	51
gene:AT1G06143	72	72	68	79
gene:AT1G06150	879	800	612	801
gene:AT1G06148	33	12	6	6
gene:AT1G06160	90	123	250	148
gene:AT1G06170	6	2	4	10
gene:AT1G06180	1038	762	163	194
gene:AT1G06190	1101	1308	1439	1526
gene:AT1G06200	975	951	782	857
gene:AT1G06210	724	731	439	452
gene:AT1G06220	1461	1367	1340	1519
gene:AT1G06225	0	0	0	0
gene:AT1G06230	1356	1214	1390	1649
gene:AT1G06240	130	220	272	306
gene:AT1G06250	17	17	18	36
gene:AT1G06260	47	52	25	49
gene:AT1G06270	90	96	133	99
gene:AT1G06280	0	0	0	0
gene:AT1G06290	2451	2167	1169	1252
gene:AT1G06310	36	32	18	17
gene:AT1G06320	0	0	4	3
gene:AT1G06330	0	2	2	4
gene:AT1G06340	0	4	0	0
gene:AT1G06350	282	323	35	47
gene:AT1G06360	21	21	771	955
gene:AT1G06380	168	181	172	198
gene:AT1G06390	1302	1115	1010	1381
gene:AT1G06400	1038	899	992	1097
gene:AT1G06410	2866	3005	3492	4801
gene:AT1G06420	18	38	26	45
gene:AT1G06430	2651	2316	2173	2097
gene:AT1G06440	60	66	77	95
gene:AT1G06450	86	71	100	80
gene:AT1G06460	2624	3011	2927	2739
gene:AT1G06470	589	647	380	507
gene:AT1G06475	0	0	0	0
gene:AT1G06490	256	196	118	104
gene:AT1G06500	153	183	103	145
gene:AT1G06515	241	243	211	301
gene:AT1G06510	294	297	321	319
gene:AT1G06520	100	68	76	40
gene:AT1G06530	1	0	0	0
gene:AT1G06540	4	11	5	2
gene:AT1G06550	937	667	267	441
gene:AT1G06560	204	220	304	295
gene:AT1G06570	1247	905	1626	1171
gene:AT1G06580	88	84	76	99
gene:AT1G06590	197	191	151	193
gene:AT1G06620	793	650	227	339
gene:AT1G06630	440	356	553	574
gene:AT1G06640	1643	2107	1311	1672
gene:AT1G06645	295	293	339	342
gene:AT1G06650	2146	2078	1348	1251
gene:AT1G06660	94	90	68	65
gene:AT1G06670	1451	1186	909	1205
gene:AT1G06680	18614	25400	19323	21274
gene:AT1G06690	429	480	626	535
gene:AT1G06700	1169	1115	976	1225
gene:AT1G06710	146	148	128	164
gene:AT1G06720	1038	842	705	980
gene:AT1G06730	235	287	222	255
gene:AT1G06740	78	97	68	127
gene:AT1G06750	13	6	6	9
gene:AT1G06760	2186	2324	2360	2957
gene:AT1G06770	168	183	180	198
gene:AT1G06780	480	436	226	299
gene:AT1G06790	131	155	88	100
gene:AT1G06800	299	259	175	190
gene:AT1G06810	0	0	0	0
gene:AT1G06820	617	651	582	735
gene:AT1G06830	11	11	45	95
gene:AT1G06840	593	478	542	571
gene:AT1G06850	245	235	145	191
gene:AT1G06870	475	404	301	419
gene:AT1G06890	1483	1437	970	1159
gene:AT1G06900	1272	1137	991	1180
gene:AT1G06910	137	122	123	114
gene:AT1G06920	0	0	0	0
gene:AT1G06923	0	0	6	6
gene:AT1G06925	0	1	0	0
gene:AT1G06930	14	5	4	16
gene:AT1G06950	3160	2976	2944	3611
gene:AT1G06960	181	221	165	213
gene:AT1G06970	1	0	2	4
gene:AT1G06980	8	12	16	14
gene:AT1G06990	0	2	0	0
gene:AT1G07000	800	549	283	388
gene:AT1G07010	731	776	272	449
gene:AT1G07020	341	306	222	271
gene:AT1G07025	0	0	0	0
gene:AT1G07030	437	446	360	359
gene:AT1G07040	931	791	1079	986
gene:AT1G07050	365	457	649	518
gene:AT1G07060	0	2	0	2
gene:AT1G07070	272	292	207	222
gene:AT1G07080	1512	1450	1130	1063
gene:AT1G07090	255	237	108	139
gene:AT1G07110	2065	2051	2746	3126
gene:AT1G07120	17	29	31	29
gene:AT1G07130	203	165	155	159
gene:AT1G07135	513	448	900	299
gene:AT1G07140	3321	3153	2215	2543
gene:AT1G07150	98	110	121	82
gene:AT1G07160	24	27	4	10
gene:AT1G07170	196	194	194	226
gene:AT1G07175	0	2	3	4
gene:AT1G07180	47	50	117	93
gene:AT1G07190	0	0	0	0
gene:AT1G07200	630	476	948	904
gene:AT1G07210	660	586	481	597
gene:AT1G07220	582	521	207	251
gene:AT1G07230	1122	1085	799	940
gene:AT1G07240	504	477	709	742
gene:AT1G07250	780	728	710	706
gene:AT1G07260	186	145	118	127
gene:AT1G07270	25	26	9	8
gene:AT1G07280	1203	1343	1910	2197
gene:AT1G07290	22	52	19	56
gene:AT1G07300	106	92	80	101
gene:AT1G07310	715	730	911	912
gene:AT1G07320	2654	3082	4779	5198
gene:AT1G07330	0	0	0	4
gene:AT1G07340	0	0	0	0
gene:AT1G07350	949	1028	617	368
gene:AT1G07360	889	892	658	700
gene:AT1G07370	217	227	84	114
gene:AT1G07380	475	483	218	202
gene:AT1G07390	543	547	99	81
gene:AT1G07400	60	49	446	22
gene:AT1G07410	53	54	15	47
gene:AT1G07420	617	742	592	555
gene:AT1G07430	38	43	18	35
gene:AT1G07440	495	619	457	739
gene:AT1G07450	26	29	23	23
gene:AT1G07460	0	0	0	0
gene:AT1G07470	599	598	405	462
gene:AT1G07473	0	6	2	11
gene:AT1G07476	0	0	0	2
gene:AT1G07480	631	639	473	518
gene:AT1G07485	0	0	0	0
gene:AT1G07490	0	0	0	0
gene:AT1G07510	879	888	603	794
gene:AT1G07500	0	0	0	0
gene:AT1G07520	0	0	0	0
gene:AT1G07530	1349	1131	1381	993
gene:AT1G07540	0	0	4	0
gene:AT1G07550	19	17	24	39
gene:AT1G07560	40	31	41	99
gene:AT1G07570	199	240	235	258
gene:AT1G07590	9054	9029	8603	9331
gene:AT1G07600	0	0	0	0
gene:AT1G07610	399	581	1006	1290
gene:AT1G07615	241	219	187	183
gene:AT1G07620	343	253	32	37
gene:AT1G07630	1079	925	346	504
gene:AT1G07640	435	472	471	582
gene:AT1G07650	1428	1224	634	886
gene:AT1G07645	2	0	1	2
gene:AT1G07660	372	351	291	358
gene:AT1G07670	2531	2081	1137	1204
gene:AT1G07680	0	0	0	0
gene:AT1G07690	0	0	4	0
gene:AT1G07700	744	799	356	366
gene:AT1G07705	702	673	365	456
gene:AT1G07710	2	24	12	6
gene:AT1G07720	452	387	591	760
gene:AT1G07725	230	294	253	263
gene:AT1G07740	52	93	79	92
gene:AT1G07730	0	0	0	0
gene:AT1G07745	94	96	77	93
gene:AT1G07747	0	0	0	0
gene:AT1G07750	1083	1085	508	486
gene:AT1G07770	6420	6772	3455	3620
gene:AT1G07780	352	440	401	445
gene:AT1G07790	468	632	441	658
gene:AT1G07795	0	0	0	4
gene:AT1G07810	1733	1614	1208	1327
gene:AT1G07820	931	1000	764	940
gene:AT1G07830	310	339	280	269
gene:AT1G07840	329	409	291	376
gene:AT1G07850	0	2	0	0
gene:AT1G07870	388	416	252	256
gene:AT1G07860	0	0	0	0
gene:AT1G07880	100	78	42	50
gene:AT1G07885	2	4	4	2
gene:AT1G07890	19175	19443	7034	5891
gene:AT1G07900	172	64	5	2
gene:AT1G07902	25	23	30	58
gene:AT1G07901	0	0	0	0
gene:AT1G07910	423	421	330	451
gene:AT1G07920	12678	13011	9554	9640
gene:AT1G07930	10745	10896	8819	8568
gene:AT1G07940	10827	10938	8722	8113
gene:AT1G07950	267	254	221	211
gene:AT1G07960	524	493	298	378
gene:AT1G07970	286	298	287	302
gene:AT1G07980	218	240	175	234
gene:AT1G07985	35	34	58	50
