Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
gene:AT1G02630	14	12	14	19
gene:AT1G02640	1068	1315	1763	1630
gene:AT1G02650	37	34	44	54
gene:AT1G02660	2225	2529	1957	1156
gene:AT1G02670	36	37	57	38
gene:AT1G02680	158	214	157	169
gene:AT1G02690	257	274	202	278
gene:AT1G02700	8	9	10	52
gene:AT1G02705	16	8	7	32
gene:AT1G02710	0	0	0	0
gene:AT1G02720	229	246	219	277
gene:AT1G02730	923	876	709	917
gene:AT1G02740	112	149	205	113
gene:AT1G02750	298	274	217	212
gene:AT1G02770	5	17	4	22
gene:AT1G02780	6676	7886	6935	8025
gene:AT1G02790	0	0	0	0
gene:AT1G02800	20	36	37	48
gene:AT1G02810	183	169	102	148
gene:AT1G02813	0	2	0	0
gene:AT1G02816	477	391	506	491
gene:AT1G02820	66	71	78	57
gene:AT1G02830	0	0	0	0
gene:AT1G02840	1216	1491	1349	1606
gene:AT1G02850	2996	3789	3497	2697
gene:AT1G02860	336	366	414	412
gene:AT1G02870	279	284	286	356
gene:AT1G02880	214	261	245	203
gene:AT1G02890	1554	1949	1646	1814
gene:AT1G02900	171	225	163	240
gene:AT1G02910	823	1035	844	1037
gene:AT1G02920	228	356	507	450
gene:AT1G02930	263	372	455	509
gene:AT1G02940	4	2	0	6
gene:AT1G02950	94	114	79	170
gene:AT1G02960	196	245	231	255
gene:AT1G02965	0	0	0	0
gene:AT1G02970	31	64	26	31
gene:AT1G02980	0	2	2	4
gene:AT1G02990	380	535	505	574
gene:AT1G03000	523	606	469	525
gene:AT1G03010	14	28	19	37
gene:AT1G03020	36	42	46	22
gene:AT1G03030	166	219	170	206
gene:AT1G03040	748	938	869	858
gene:AT1G03050	6	0	0	2
gene:AT1G03055	46	62	45	28
gene:AT1G03060	1267	1696	1813	2112
gene:AT1G03070	16	25	22	9
gene:AT1G03080	1479	2167	2190	2761
gene:AT1G03090	2229	2130	4100	3323
gene:AT1G03100	144	147	137	82
gene:AT1G03103	6	3	3	0
gene:AT1G03106	0	2	0	0
gene:AT1G03110	191	235	148	230
gene:AT1G03120	2	5	13	15
gene:AT1G03130	3324	3306	3082	2832
gene:AT1G03140	708	758	771	848
gene:AT1G03150	171	184	190	214
gene:AT1G03160	889	1153	929	903
gene:AT1G03165	13	10	3	9
gene:AT1G03170	0	2	12	22
gene:AT1G03180	30	24	23	25
gene:AT1G03190	196	196	225	233
gene:AT1G03200	22	31	23	26
gene:AT1G03210	137	216	210	240
gene:AT1G03220	3871	4754	4670	3346
gene:AT1G03230	869	1115	937	872
gene:AT1G03240	0	1	5	1
gene:AT1G03250	359	400	331	387
gene:AT1G03260	102	135	151	177
gene:AT1G03270	40	65	31	50
gene:AT1G03280	522	680	494	664
gene:AT1G03290	632	637	634	749
gene:AT1G03300	0	0	0	0
gene:AT1G03310	725	873	612	827
gene:AT1G03320	3	2	0	0
gene:AT1G03325	0	0	0	0
gene:AT1G03330	260	361	288	332
gene:AT1G03340	56	48	45	47
gene:AT1G03350	854	976	817	1026
gene:AT1G03360	215	252	212	237
gene:AT1G03365	402	480	364	495
gene:AT1G03370	502	676	686	1003
gene:AT1G03380	813	962	982	1059
gene:AT1G03390	0	2	1	0
gene:AT1G03395	0	0	0	0
gene:AT1G03400	298	370	379	562
gene:AT1G03410	495	526	466	625
gene:AT1G03430	255	279	258	250
gene:AT1G03440	854	867	812	986
gene:AT1G03445	6	6	4	6
gene:AT1G03457	137	189	171	375
gene:AT1G03470	126	150	155	209
gene:AT1G03475	2205	2557	2318	2728
gene:AT1G03490	0	0	0	2
gene:AT1G03495	116	129	105	97
gene:AT1G03510	40	37	40	32
gene:AT1G03520	307	350	363	282
gene:AT1G03530	437	437	397	381
gene:AT1G03540	37	34	69	59
gene:AT1G03550	174	177	165	175
gene:AT1G03560	184	244	270	306
gene:AT1G03590	480	567	483	653
gene:AT1G03600	3789	4310	4539	4507
gene:AT1G03610	1235	1259	1322	787
gene:AT1G03620	42	73	40	54
gene:AT1G03630	2261	2653	1840	2429
gene:AT1G03650	57	66	55	57
gene:AT1G03660	24	10	12	17
gene:AT1G03670	3	2	0	0
gene:AT1G03680	4948	5555	5228	5395
gene:AT1G03687	136	177	156	197
gene:AT1G03700	14	24	15	5
gene:AT1G03710	4	0	0	0
gene:AT1G03720	0	0	0	0
gene:AT1G03730	200	225	233	199
gene:AT1G03740	804	1271	1063	1124
gene:AT1G03750	108	118	142	143
gene:AT1G03760	182	185	177	229
gene:AT1G03770	103	147	112	124
gene:AT1G03780	155	203	119	194
gene:AT1G03790	6	2	2	12
gene:AT1G03800	12	12	60	12
gene:AT1G03810	0	0	0	0
gene:AT1G03820	181	217	153	190
gene:AT1G03830	193	239	149	264
gene:AT1G03840	49	50	46	33
gene:AT1G03850	291	376	307	313
gene:AT1G03860	797	999	852	906
gene:AT1G03870	1292	1610	1469	3910
gene:AT1G03880	0	0	0	0
gene:AT1G03890	2	0	0	0
gene:AT1G03900	1032	1168	1138	1383
gene:AT1G03905	26	43	63	55
gene:AT1G03910	762	980	836	989
gene:AT1G03920	28	46	25	52
gene:AT1G03930	382	551	403	482
gene:AT1G03940	140	180	147	142
gene:AT1G03950	152	159	146	144
gene:AT1G03960	180	224	211	192
gene:AT1G03970	487	561	547	561
gene:AT1G03980	6	12	3	10
gene:AT1G03982	0	0	0	0
gene:AT1G03990	57	54	53	33
gene:AT1G04000	184	203	185	153
gene:AT1G04010	146	183	126	196
gene:AT1G04020	98	127	78	88
gene:AT1G04030	105	126	92	96
gene:AT1G04040	433	633	409	827
gene:AT1G04050	50	50	71	73
gene:AT1G04070	66	94	104	82
gene:AT1G04080	1532	1837	1775	1920
gene:AT1G04090	9	17	8	12
gene:AT1G04100	25	34	58	66
gene:AT1G04105	0	0	0	0
gene:AT1G04110	128	114	169	120
gene:AT1G04120	1112	1483	1302	1653
gene:AT1G04130	154	176	127	135
gene:AT1G04140	1708	1992	1692	1904
gene:AT1G04150	8	4	10	12
gene:AT1G04160	127	146	124	153
gene:AT1G04170	1335	1507	1497	1515
gene:AT1G04180	20	37	23	36
gene:AT1G04190	293	384	344	414
gene:AT1G04200	283	486	421	619
gene:AT1G04210	1208	1504	1425	1288
gene:AT1G04220	140	209	78	237
gene:AT1G04230	153	181	160	181
gene:AT1G04240	366	355	347	494
gene:AT1G04250	524	753	463	712
gene:AT1G04260	138	184	192	272
gene:AT1G04270	3492	3818	3637	4155
gene:AT1G04280	557	667	556	700
gene:AT1G04290	208	215	235	143
gene:AT1G04300	1484	1882	1656	1879
gene:AT1G04310	290	269	316	243
gene:AT1G04330	6	8	4	10
gene:AT1G04340	173	226	247	275
gene:AT1G04350	803	969	731	745
gene:AT1G04360	64	82	72	110
gene:AT1G04370	0	0	2	0
gene:AT1G04380	4	4	6	4
gene:AT1G04390	194	221	165	183
gene:AT1G04400	4199	4774	4684	4592
gene:AT1G04410	8629	9732	10941	10425
gene:AT1G04420	1491	1889	1740	1972
gene:AT1G04430	1813	2265	2421	4226
gene:AT1G04440	1125	1378	1128	1234
gene:AT1G04445	5	2	0	0
gene:AT1G04450	0	0	0	0
gene:AT1G04455	31	21	36	30
gene:AT1G04470	0	4	0	4
gene:AT1G04480	1316	1531	1343	1617
gene:AT1G04490	2	23	10	6
gene:AT1G04500	2	0	0	2
gene:AT1G04510	776	946	798	996
gene:AT1G04520	190	209	187	202
gene:AT1G04530	431	589	455	551
gene:AT1G04540	22	41	32	26
gene:AT1G04550	252	361	258	311
gene:AT1G04555	331	373	328	394
gene:AT1G04560	2	0	12	2
gene:AT1G04570	16	14	18	4
gene:AT1G04580	6	10	0	2
gene:AT1G04590	262	246	195	282
gene:AT1G04600	8	10	5	15
gene:AT1G04610	58	73	55	79
gene:AT1G04620	559	715	548	615
gene:AT1G04625	0	0	4	1
gene:AT1G04630	333	401	367	457
gene:AT1G04635	24	22	24	40
gene:AT1G04640	618	814	700	835
gene:AT1G04645	0	0	0	0
gene:AT1G04650	54	70	43	43
gene:AT1G04660	0	8	0	2
gene:AT1G04670	0	0	0	1
gene:AT1G04680	872	1033	864	1323
gene:AT1G04690	1464	1851	1867	1627
gene:AT1G04700	44	77	24	49
gene:AT1G04710	326	362	320	272
gene:AT1G04730	49	74	43	88
gene:AT1G04750	852	1065	978	1185
gene:AT1G04760	41	31	30	38
gene:AT1G04770	764	916	283	188
gene:AT1G04778	4	7	6	6
gene:AT1G04780	1279	1443	1441	1467
gene:AT1G04790	460	575	491	525
gene:AT1G04800	238	305	260	306
gene:AT1G04810	974	1257	953	1252
gene:AT1G04820	4030	4538	4457	4766
gene:AT1G04830	260	362	258	339
gene:AT1G04840	50	59	44	37
gene:AT1G04850	815	1050	871	1118
gene:AT1G04860	828	947	881	1200
gene:AT1G04870	561	581	507	718
gene:AT1G04880	2	10	4	6
gene:AT1G04890	0	0	0	0
gene:AT1G04895	0	0	0	0
gene:AT1G04900	138	218	144	211
gene:AT1G04910	383	516	406	571
gene:AT1G04920	40	46	35	38
gene:AT1G04930	59	50	61	105
gene:AT1G04945	157	162	181	166
gene:AT1G04940	0	0	0	0
gene:AT1G04950	392	508	402	493
gene:AT1G04960	318	404	303	364
gene:AT1G04970	597	622	515	531
gene:AT1G04980	186	227	167	183
gene:AT1G04985	399	587	415	536
gene:AT1G04990	491	589	570	509
gene:AT1G05000	269	324	272	298
gene:AT1G05005	0	2	0	0
gene:AT1G05010	4604	5410	5516	5899
gene:AT1G05020	56	64	88	90
gene:AT1G05030	181	206	180	265
gene:AT1G05035	12	20	4	8
gene:AT1G05040	1	0	0	0
gene:AT1G05055	110	149	159	166
gene:AT1G05060	286	314	275	337
gene:AT1G05065	16	2	30	24
gene:AT1G05070	245	271	223	343
gene:AT1G05080	0	0	0	0
gene:AT1G05085	2	1	1	2
gene:AT1G05087	116	137	127	146
gene:AT1G05090	203	216	255	261
gene:AT1G05100	30	18	22	26
gene:AT1G05120	429	436	417	503
gene:AT1G05136	7	5	12	1
gene:AT1G05140	1105	1330	1067	1280
gene:AT1G05150	748	950	945	1164
gene:AT1G05160	151	280	223	302
gene:AT1G05170	119	176	151	155
gene:AT1G05180	414	614	472	577
gene:AT1G05190	6117	6412	5884	6648
gene:AT1G05200	364	551	306	341
gene:AT1G05205	131	205	142	226
gene:AT1G05210	43	75	63	43
gene:AT1G05220	12	5	17	18
gene:AT1G05230	361	507	317	437
gene:AT1G05240	67	98	84	74
gene:AT1G05250	78	97	61	74
gene:AT1G05260	467	569	387	571
gene:AT1G05270	467	609	488	586
gene:AT1G05280	23	30	24	27
gene:AT1G05290	0	0	0	0
gene:AT1G05291	0	0	0	0
gene:AT1G05300	56	89	97	96
gene:AT1G05310	55	104	44	103
gene:AT1G05320	347	497	300	366
gene:AT1G05330	2	0	0	2
gene:AT1G05340	100	162	150	115
gene:AT1G05350	243	342	305	391
gene:AT1G05360	188	273	188	164
gene:AT1G05370	20	31	27	23
gene:AT1G05380	974	1116	1111	1250
gene:AT1G05385	218	270	254	315
gene:AT1G05400	7	12	8	20
gene:AT1G05410	263	304	244	393
gene:AT1G05420	8	4	18	14
gene:AT1G05430	252	409	278	383
gene:AT1G05440	18	38	20	32
gene:AT1G05450	2	0	2	0
gene:AT1G05460	345	401	412	429
gene:AT1G05470	196	271	162	252
gene:AT1G05490	8	22	12	14
gene:AT1G05500	491	683	498	666
gene:AT1G05510	2	0	13	0
gene:AT1G05520	785	913	767	888
gene:AT1G05530	38	32	18	27
gene:AT1G05540	24	47	31	38
gene:AT1G05550	8	0	4	0
gene:AT1G05560	4246	4375	3248	1534
gene:AT1G05570	1266	1728	1648	1709
gene:AT1G05575	94	127	63	30
gene:AT1G05577	1	2	1	1
gene:AT1G05580	0	0	0	0
gene:AT1G05590	231	259	200	312
gene:AT1G05600	143	148	129	185
gene:AT1G05610	6	14	7	8
gene:AT1G05615	0	0	0	0
gene:AT1G05620	186	231	212	253
gene:AT1G05630	269	374	341	696
gene:AT1G05640	65	86	81	100
gene:AT1G05650	2	5	0	7
gene:AT1G05660	59	83	41	53
gene:AT1G05670	158	213	118	151
gene:AT1G05675	84	166	162	30
gene:AT1G05680	2317	2314	1538	1118
gene:AT1G05690	35	42	63	55
gene:AT1G05700	20	28	17	34
gene:AT1G05710	162	234	161	255
gene:AT1G05720	158	183	193	226
gene:AT1G05730	11	11	15	28
gene:AT1G05740	0	2	0	0
gene:AT1G05750	127	142	111	193
gene:AT1G05760	0	0	0	0
gene:AT1G05770	7	10	13	17
gene:AT1G05780	80	121	100	152
gene:AT1G05783	4	8	15	9
gene:AT1G05785	85	97	92	102
gene:AT1G05790	447	489	407	464
gene:AT1G05800	0	0	0	0
gene:AT1G05805	510	647	571	725
gene:AT1G05810	122	112	149	228
gene:AT1G05820	41	36	37	33
gene:AT1G05830	662	684	638	701
gene:AT1G05835	111	150	128	145
gene:AT1G05840	285	428	396	574
gene:AT1G05850	4793	5975	5486	7039
gene:AT1G05860	146	182	158	185
gene:AT1G05870	207	241	208	267
gene:AT1G05880	0	0	0	0
gene:AT1G05890	865	958	991	1156
gene:AT1G05894	19	20	14	7
gene:AT1G05900	137	206	100	152
gene:AT1G05910	465	630	461	600
gene:AT1G05920	0	0	0	0
gene:AT1G05930	1	0	2	0
gene:AT1G05940	511	659	604	622
gene:AT1G05950	66	82	62	57
gene:AT1G05960	1035	1355	1132	1373
gene:AT1G05970	80	91	81	106
gene:AT1G05990	12	2	2	4
gene:AT1G06000	634	815	454	544
gene:AT1G06010	107	147	126	161
gene:AT1G06020	3	9	8	2
gene:AT1G06030	4	2	0	3
gene:AT1G06040	677	678	432	348
gene:AT1G06045	0	0	0	0
gene:AT1G06050	67	49	59	56
gene:AT1G06060	269	285	327	320
gene:AT1G06070	324	381	377	378
gene:AT1G06080	184	287	233	220
gene:AT1G06090	90	124	103	194
gene:AT1G06100	36	67	32	44
gene:AT1G06110	442	566	543	611
gene:AT1G06120	10	40	15	21
gene:AT1G06130	380	468	375	534
gene:AT1G06135	0	0	0	0
gene:AT1G06137	0	0	2	0
gene:AT1G06140	34	26	42	51
gene:AT1G06143	57	82	68	79
gene:AT1G06150	638	743	612	801
gene:AT1G06148	2	8	6	6
gene:AT1G06160	239	338	250	148
gene:AT1G06170	2	0	4	10
gene:AT1G06180	168	120	163	194
gene:AT1G06190	1503	1532	1439	1526
gene:AT1G06200	703	767	782	857
gene:AT1G06210	419	503	439	452
gene:AT1G06220	1330	1608	1340	1519
gene:AT1G06225	0	0	0	0
gene:AT1G06230	1466	1558	1390	1649
gene:AT1G06240	256	318	272	306
gene:AT1G06250	76	31	18	36
gene:AT1G06260	17	55	25	49
gene:AT1G06270	105	118	133	99
gene:AT1G06280	0	0	0	0
gene:AT1G06290	1069	1391	1169	1252
gene:AT1G06310	12	20	18	17
gene:AT1G06320	0	0	4	3
gene:AT1G06330	2	2	2	4
gene:AT1G06340	0	0	0	0
gene:AT1G06350	31	24	35	47
gene:AT1G06360	948	1034	771	955
gene:AT1G06380	168	191	172	198
gene:AT1G06390	928	1108	1010	1381
gene:AT1G06400	730	839	992	1097
gene:AT1G06410	2699	3073	3492	4801
gene:AT1G06420	18	30	26	45
gene:AT1G06430	2242	2478	2173	2097
gene:AT1G06440	46	64	77	95
gene:AT1G06450	108	103	100	80
gene:AT1G06460	3111	3369	2927	2739
gene:AT1G06470	344	488	380	507
gene:AT1G06475	0	0	0	0
gene:AT1G06490	91	145	118	104
gene:AT1G06500	100	146	103	145
gene:AT1G06515	168	192	211	301
gene:AT1G06510	280	287	321	319
gene:AT1G06520	58	92	76	40
gene:AT1G06530	0	0	0	0
gene:AT1G06540	10	3	5	2
gene:AT1G06550	345	460	267	441
gene:AT1G06560	274	282	304	295
gene:AT1G06570	1203	1087	1626	1171
gene:AT1G06580	47	64	76	99
gene:AT1G06590	155	180	151	193
gene:AT1G06620	281	362	227	339
gene:AT1G06630	422	588	553	574
gene:AT1G06640	1245	1491	1311	1672
gene:AT1G06645	404	465	339	342
gene:AT1G06650	1297	1529	1348	1251
gene:AT1G06660	73	49	68	65
gene:AT1G06670	878	1199	909	1205
gene:AT1G06680	19136	22717	19323	21274
gene:AT1G06690	611	639	626	535
gene:AT1G06700	950	1090	976	1225
gene:AT1G06710	129	114	128	164
gene:AT1G06720	810	974	705	980
gene:AT1G06730	304	324	222	255
gene:AT1G06740	80	92	68	127
gene:AT1G06750	12	3	6	9
gene:AT1G06760	2122	2591	2360	2957
gene:AT1G06770	161	189	180	198
gene:AT1G06780	315	318	226	299
gene:AT1G06790	81	108	88	100
gene:AT1G06800	128	155	175	190
gene:AT1G06810	2	7	0	0
gene:AT1G06820	588	635	582	735
gene:AT1G06830	60	48	45	95
gene:AT1G06840	470	654	542	571
gene:AT1G06850	138	156	145	191
gene:AT1G06870	297	363	301	419
gene:AT1G06890	919	1118	970	1159
gene:AT1G06900	881	964	991	1180
gene:AT1G06910	125	165	123	114
gene:AT1G06920	0	0	0	0
gene:AT1G06923	10	12	6	6
gene:AT1G06925	0	0	0	0
gene:AT1G06930	8	14	4	16
gene:AT1G06950	3045	3432	2944	3611
gene:AT1G06960	154	209	165	213
gene:AT1G06970	4	8	2	4
gene:AT1G06980	20	8	16	14
gene:AT1G06990	0	0	0	0
gene:AT1G07000	228	344	283	388
gene:AT1G07010	376	386	272	449
gene:AT1G07020	175	180	222	271
gene:AT1G07025	2	2	0	0
gene:AT1G07030	393	415	360	359
gene:AT1G07040	913	927	1079	986
gene:AT1G07050	833	1009	649	518
gene:AT1G07060	2	4	0	2
gene:AT1G07070	147	199	207	222
gene:AT1G07080	958	1137	1130	1063
gene:AT1G07090	108	133	108	139
gene:AT1G07110	2550	3357	2746	3126
gene:AT1G07120	41	26	31	29
gene:AT1G07130	142	165	155	159
gene:AT1G07135	1973	2225	900	299
gene:AT1G07140	1998	2256	2215	2543
gene:AT1G07150	116	195	121	82
gene:AT1G07160	13	21	4	10
gene:AT1G07170	222	203	194	226
gene:AT1G07175	0	7	3	4
gene:AT1G07180	71	105	117	93
gene:AT1G07190	1	0	0	0
gene:AT1G07200	746	867	948	904
gene:AT1G07210	473	528	481	597
gene:AT1G07220	204	252	207	251
gene:AT1G07230	854	840	799	940
gene:AT1G07240	593	615	709	742
gene:AT1G07250	772	922	710	706
gene:AT1G07260	74	122	118	127
gene:AT1G07270	18	9	9	8
gene:AT1G07280	2058	2150	1910	2197
gene:AT1G07290	26	32	19	56
gene:AT1G07300	49	47	80	101
gene:AT1G07310	671	682	911	912
gene:AT1G07320	4276	4844	4779	5198
gene:AT1G07330	4	2	0	4
gene:AT1G07340	0	0	0	0
gene:AT1G07350	725	797	617	368
gene:AT1G07360	630	747	658	700
gene:AT1G07370	106	133	84	114
gene:AT1G07380	219	245	218	202
gene:AT1G07390	119	131	99	81
gene:AT1G07400	397	248	446	22
gene:AT1G07410	39	35	15	47
gene:AT1G07420	550	603	592	555
gene:AT1G07430	43	42	18	35
gene:AT1G07440	592	707	457	739
gene:AT1G07450	28	18	23	23
gene:AT1G07460	0	0	0	0
gene:AT1G07470	392	436	405	462
gene:AT1G07473	2	0	2	11
gene:AT1G07476	0	0	0	2
gene:AT1G07480	382	511	473	518
gene:AT1G07485	0	0	0	0
gene:AT1G07490	0	0	0	0
gene:AT1G07510	674	761	603	794
gene:AT1G07500	0	0	0	0
gene:AT1G07520	0	0	0	0
gene:AT1G07530	1327	1487	1381	993
gene:AT1G07540	0	0	4	0
gene:AT1G07550	19	16	24	39
gene:AT1G07560	36	91	41	99
gene:AT1G07570	240	265	235	258
gene:AT1G07590	7531	9048	8603	9331
gene:AT1G07600	0	0	0	0
gene:AT1G07610	942	1336	1006	1290
gene:AT1G07615	190	222	187	183
gene:AT1G07620	23	37	32	37
gene:AT1G07630	343	412	346	504
gene:AT1G07640	480	671	471	582
gene:AT1G07650	486	697	634	886
gene:AT1G07645	0	0	1	2
gene:AT1G07660	341	404	291	358
gene:AT1G07670	1095	1369	1137	1204
gene:AT1G07680	0	0	0	0
gene:AT1G07690	0	0	4	0
gene:AT1G07700	378	473	356	366
gene:AT1G07705	332	402	365	456
gene:AT1G07710	9	25	12	6
gene:AT1G07720	498	635	591	760
gene:AT1G07725	214	212	253	263
gene:AT1G07740	57	90	79	92
gene:AT1G07730	0	0	0	0
gene:AT1G07745	90	90	77	93
gene:AT1G07747	0	0	0	0
gene:AT1G07750	438	481	508	486
gene:AT1G07770	3012	3153	3455	3620
gene:AT1G07780	336	466	401	445
gene:AT1G07790	497	625	441	658
gene:AT1G07795	4	2	0	4
gene:AT1G07810	1063	1206	1208	1327
gene:AT1G07820	800	960	764	940
gene:AT1G07830	234	267	280	269
gene:AT1G07840	324	359	291	376
gene:AT1G07850	6	5	0	0
gene:AT1G07870	253	301	252	256
gene:AT1G07860	0	0	0	0
gene:AT1G07880	71	58	42	50
gene:AT1G07885	10	6	4	2
gene:AT1G07890	6362	7815	7034	5891
gene:AT1G07900	3	0	5	2
gene:AT1G07902	55	45	30	58
gene:AT1G07901	0	0	0	0
gene:AT1G07910	311	504	330	451
gene:AT1G07920	8852	9713	9554	9640
gene:AT1G07930	7912	8950	8819	8568
gene:AT1G07940	7744	8675	8722	8113
gene:AT1G07950	197	196	221	211
gene:AT1G07960	326	329	298	378
gene:AT1G07970	242	330	287	302
gene:AT1G07980	153	140	175	234
gene:AT1G07985	88	88	58	50
gene:AT1G07990	855	951	842	984
gene:AT1G08000	207	179	163	226
