Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
transcript:AT3G27865.1	9	2	2	5
transcript:AT3G05325.1	5	8	4	2
transcript:AT3G05335.1	3	9	18	15
transcript:AT3G05355.1	5	21	10	14
transcript:AT3G05715.1	0	5	3	4
transcript:AT3G07715.1	9	7	3	3
transcript:AT3G47342.1	18	17	12	13
transcript:AT3G07725.1	29	33	21	26
transcript:AT3G07735.1	26	13	20	23
transcript:AT3G47347.1	29	41	29	44
transcript:AT3G47348.1	57	48	56	70
transcript:AT3G08165.1	9	13	22	8
transcript:AT3G50825.1	22	46	22	24
transcript:AT3G08210.1	0	0	0	0
transcript:AT3G08275.1	0	1	0	2
transcript:AT3G08485.1	4	8	0	5
transcript:AT3G58193.1	0	0	0	0
transcript:AT3G58196.1	0	0	0	0
transcript:AT3G09225.1	1	0	0	0
transcript:AT3G09865.1	0	2	2	0
transcript:AT4G03915.1	4	1	0	13
transcript:AT4G03925.1	4	0	4	0
transcript:AT4G02555.1	0	0	0	0
transcript:AT4G04205.1	0	0	0	0
transcript:AT4G04465.1	2	0	0	0
transcript:AT4G03295.1	3	0	0	0
transcript:AT4G04475.1	1	1	0	0
transcript:AT4G04485.1	0	1	0	1
transcript:AT4G05045.1	0	0	0	0
transcript:AT4G05055.1	0	0	0	0
transcript:AT4G05048.1	1	0	0	0
transcript:AT4G06010.1	1	1	4	0
transcript:AT4G06015.1	1	0	0	0
transcript:AT4G13245.1	1	1	0	0
transcript:AT4G06240.1	9	7	5	6
transcript:AT4G06245.1	2	3	6	6
transcript:AT4G06250.1	1	5	8	3
transcript:AT4G06255.1	0	9	4	0
transcript:AT4G06305.1	2	8	6	2
transcript:AT4G06310.1	1	2	5	2
transcript:AT4G06315.1	0	3	1	1
transcript:AT4G06320.1	0	1	1	0
transcript:AT4G15258.1	6	10	12	6
transcript:AT4G06705.1	0	14	9	7
transcript:AT4G07075.1	0	0	0	0
transcript:AT4G25631.1	0	0	0	1
transcript:AT4G26365.1	0	0	0	1
transcript:AT4G07625.1	2	0	0	1
transcript:AT4G07635.1	0	0	0	0
transcript:AT4G08125.1	0	1	1	3
transcript:AT4G08155.1	2	4	3	1
transcript:AT4G08165.1	1	2	4	3
transcript:AT4G08175.1	1	4	3	0
transcript:AT4G08235.1	7	8	4	8
transcript:AT4G08325.1	0	0	0	0
transcript:AT4G08425.1	37	36	36	26
transcript:AT4G08615.1	1	0	0	1
transcript:AT4G08625.1	3	4	2	0
transcript:AT4G09475.1	1	3	8	1
transcript:AT4G39361.1	19	42	17	20
transcript:AT4G09845.1	16	22	14	7
transcript:AT4G39363.1	34	33	36	28
transcript:AT4G39364.1	22	32	31	23
transcript:AT4G39366.1	30	29	35	31
transcript:AT5G00750.1	3	1	1	0
transcript:AT5G00755.1	0	1	4	0
transcript:AT5G00760.1	4	1	2	4
transcript:AT5G00765.1	2	1	2	0
transcript:AT5G01135.1	0	0	2	0
transcript:AT5G01145.1	0	0	0	0
transcript:AT5G01165.1	3	1	6	2
transcript:AT5G01195.1	4	2	12	1
transcript:AT5G01495.1	1	4	0	4
transcript:AT5G01505.1	3	3	0	0
transcript:AT5G01515.1	0	2	0	1
transcript:AT5G01785.1	4	4	0	4
transcript:AT5G10572.1	13	6	3	2
transcript:AT5G13225.1	1	3	4	2
transcript:AT5G02295.1	0	0	0	0
transcript:AT5G02305.1	1	0	0	0
transcript:AT5G02315.1	0	1	2	1
transcript:AT5G02325.1	2	2	6	7
transcript:AT5G02565.1	10	17	4	18
transcript:AT5G02575.1	13	14	17	6
transcript:AT5G02655.1	0	1	1	2
transcript:AT5G02665.1	2	3	2	2
transcript:AT5G02675.1	2	0	2	0
transcript:AT5G02915.1	0	1	0	1
transcript:AT5G04425.1	6	6	3	2
transcript:AT5G04545.1	5	13	5	11
transcript:AT5G04945.1	0	0	0	0
transcript:AT5G05375.1	0	0	0	0
transcript:AT5G05385.1	0	0	0	0
transcript:AT5G06115.1	4	3	0	1
transcript:AT5G41471.1	18	12	5	6
transcript:AT5G06305.1	0	0	3	0
transcript:AT5G06565.1	0	0	0	0
transcript:AT5G44286.1	0	2	0	0
transcript:AT5G06825.1	3	3	1	2
transcript:AT5G06835.1	0	0	0	0
transcript:AT5G07095.1	10	6	4	3
transcript:AT5G07105.1	1	2	0	1
transcript:AT5G07725.1	4	5	11	4
transcript:AT5G51174.1	0	3	2	6
transcript:AT5G07735.1	0	0	0	1
transcript:AT5G52471.1	4	2	2	1
transcript:AT5G53902.1	25	18	19	32
transcript:AT5G54075.1	24	22	25	32
transcript:AT5G08495.1	9	11	6	9
transcript:AT5G08515.1	7	15	4	5
transcript:AT5G08525.1	7	6	3	3
transcript:AT5G08805.1	0	3	1	0
transcript:AT5G58595.1	0	0	0	0
transcript:AT5G08850.1	0	0	0	0
transcript:AT5G08860.1	0	2	1	0
transcript:AT5G08865.1	1	2	8	3
transcript:AT5G09000.1	0	0	0	0
transcript:AT5G09005.1	0	0	0	0
transcript:AT5G09020.1	0	0	0	0
transcript:AT5G09130.1	0	0	0	3
transcript:AT5G09495.1	3	10	2	6
transcript:AT5G09515.1	0	0	0	1
transcript:AT5G66562.1	1	2	1	1
transcript:AT5G66564.1	2	2	0	0
transcript:AT5G66567.1	0	0	0	0
