Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
gene:AT1G04223	7	9	11	3
gene:AT1G04227	2	4	1	6
gene:AT1G04233	198	196	193	199
gene:AT1G04237	55	117	70	134
gene:AT1G04243	0	0	0	0
gene:AT1G04247	95	156	62	179
gene:AT1G04253	0	0	0	0
gene:AT1G04295	171	168	191	119
gene:AT1G04320	0	0	0	0
gene:AT1G04257	0	0	0	0
gene:AT1G04425	59	41	27	60
gene:AT1G04263	10	3	4	2
gene:AT1G04267	7	7	6	5
gene:AT1G04273	4	6	5	4
gene:AT1G04277	3	5	3	8
gene:AT1G04283	0	0	0	0
gene:AT1G04720	0	0	0	0
gene:AT1G04287	0	0	0	0
gene:AT1G04293	0	0	0	0
gene:AT1G04297	10	24	11	23
gene:AT1G04303	14	31	26	32
gene:AT1G04307	0	2	0	0
gene:AT1G04313	5	5	6	5
gene:AT1G04323	5	7	1	4
gene:AT1G04327	0	0	0	0
gene:AT1G04333	0	0	0	0
gene:AT1G04337	0	0	0	0
gene:AT1G04343	76	126	67	89
gene:AT1G04347	29	41	29	51
gene:AT1G04353	175	204	135	177
gene:AT1G04357	3	5	0	2
gene:AT1G04363	0	0	0	0
gene:AT1G04367	1	3	0	2
gene:AT1G04373	0	0	0	0
gene:AT1G04377	0	0	0	0
gene:AT1G04383	0	0	0	0
gene:AT1G04387	0	0	0	0
gene:AT1G05390	0	0	0	0
gene:AT1G05562	4246	4375	3248	1534
gene:AT1G04393	0	1	0	2
gene:AT1G04397	0	1	0	0
gene:AT1G04403	0	0	0	0
gene:AT1G04407	0	0	0	0
gene:AT1G04413	15	13	14	17
gene:AT1G04417	0	0	0	0
gene:AT1G04423	0	2	1	0
gene:AT1G04427	1	7	13	9
gene:AT1G04433	89	127	108	122
gene:AT1G04437	10	7	10	16
gene:AT1G05980	0	0	0	0
gene:AT1G06002	634	815	454	544
gene:AT1G04443	0	0	0	0
gene:AT1G04447	0	0	0	0
gene:AT1G06265	53	96	63	78
gene:AT1G04453	0	1	0	0
gene:AT1G04463	87	81	77	68
gene:AT1G04467	338	363	280	299
gene:AT1G06480	0	0	0	0
gene:AT1G04473	15	30	8	23
gene:AT1G04477	51	50	65	77
gene:AT1G04483	17	5	11	4
gene:AT1G06610	0	0	0	0
gene:AT1G04487	409	463	483	452
gene:AT1G04493	19	6	12	13
gene:AT1G04497	4	8	11	6
gene:AT1G04503	955	1093	972	1251
gene:AT1G04507	8	14	18	9
gene:AT1G04513	88	93	83	102
gene:AT1G04517	0	0	0	0
gene:AT1G06860	0	1	0	0
gene:AT1G04523	0	0	0	0
gene:AT1G04527	0	0	0	0
gene:AT1G06880	0	0	0	0
gene:AT1G04533	2	1	1	0
gene:AT1G04537	130	122	142	158
gene:AT1G04547	0	1	0	2
gene:AT1G07051	0	0	0	0
gene:AT1G04557	2	0	0	0
gene:AT1G07100	0	0	0	0
gene:AT1G07119	48	33	38	44
gene:AT1G04563	0	0	0	0
gene:AT1G07128	94	125	117	118
gene:AT1G04567	10	12	9	18
gene:AT1G04573	0	0	0	0
gene:AT1G04577	0	0	1	1
gene:AT1G04583	2	0	2	2
gene:AT1G04587	38	35	27	45
gene:AT1G04593	0	0	0	0
gene:AT1G04597	0	0	0	0
gene:AT1G07580	0	0	0	0
gene:AT1G04603	0	0	0	0
gene:AT1G04607	0	0	0	0
gene:AT1G07702	11	30	16	16
gene:AT1G04623	0	0	0	0
gene:AT1G07728	214	213	254	264
gene:AT1G07760	0	0	0	0
gene:AT1G08115	7	9	13	16
gene:AT1G04643	20	22	16	19
gene:AT1G08240	0	0	0	0
gene:AT1G04647	188	245	260	149
gene:AT1G04653	0	0	0	0
gene:AT1G08592	282	328	289	396
gene:AT1G04657	6	9	2	4
gene:AT1G04667	0	0	0	0
gene:AT1G08870	0	0	0	0
gene:AT1G04673	0	0	0	0
gene:AT1G04677	0	0	0	0
gene:AT1G04683	0	0	0	0
gene:AT1G08950	0	0	0	0
gene:AT1G09110	0	0	0	0
gene:AT1G04687	0	0	0	0
gene:AT1G04693	0	0	0	0
gene:AT1G04697	6	3	6	5
gene:AT1G09421	91	91	73	57
gene:AT1G04703	0	0	2	0
gene:AT1G04707	20	27	14	8
gene:AT1G04713	2	0	0	0
gene:AT1G04717	0	0	0	0
gene:AT1G04723	38	33	30	36
gene:AT1G04733	61	83	78	63
gene:AT1G04737	33	41	38	35
gene:AT1G04743	2	10	0	0
gene:AT1G04747	0	0	0	0
gene:AT1G04753	0	0	0	0
gene:AT1G04763	2	0	0	0
gene:AT1G04767	5	17	15	25
gene:AT1G04773	65	77	72	114
gene:AT1G04783	0	0	0	0
gene:AT1G04787	0	0	0	0
gene:AT1G04793	0	0	0	0
gene:AT1G10440	0	0	0	0
gene:AT1G04797	7	2	2	4
gene:AT1G04803	9	11	7	15
gene:AT1G04807	0	0	0	0
gene:AT1G04813	0	0	0	0
gene:AT1G10682	630	728	660	612
gene:AT1G04817	0	4	0	0
gene:AT1G04823	34	57	40	66
gene:AT1G04827	45	59	44	50
gene:AT1G11010	0	2	0	0
gene:AT1G11030	0	0	0	0
gene:AT1G04833	1067	1347	617	408
gene:AT1G04837	170	174	176	197
gene:AT1G11175	225	268	329	277
gene:AT1G11185	70	72	72	54
gene:AT1G04847	0	0	0	2
gene:AT1G04853	89	106	115	108
gene:AT1G11550	0	0	0	0
gene:AT1G04857	0	0	0	0
gene:AT1G11592	201	162	145	171
gene:AT1G11640	0	1	0	0
gene:AT1G04863	0	0	0	0
gene:AT1G04867	0	0	0	0
gene:AT1G04873	60	81	75	60
gene:AT1G04877	1	5	10	6
gene:AT1G11735	2	2	0	4
gene:AT1G04883	54	52	34	58
gene:AT1G04887	0	0	0	0
gene:AT1G04893	8	14	15	16
gene:AT1G04897	4	0	0	0
gene:AT1G04907	0	2	2	0
gene:AT1G04913	16	14	17	14
gene:AT1G04917	28	34	34	47
gene:AT1G12013	1	2	0	2
gene:AT1G12015	0	0	0	0
gene:AT1G04923	0	0	0	0
gene:AT1G04927	30	44	29	46
gene:AT1G04933	36	40	14	18
gene:AT1G04937	0	0	0	0
gene:AT1G12294	2	0	1	2
gene:AT1G04943	0	0	0	0
gene:AT1G04947	0	0	0	0
gene:AT1G04953	66	36	54	49
gene:AT1G04957	0	0	0	0
gene:AT1G12510	0	0	0	0
gene:AT1G12590	0	0	0	0
gene:AT1G04963	0	0	0	0
gene:AT1G04967	0	0	0	0
gene:AT1G04973	39	64	41	60
gene:AT1G04977	343	387	245	291
gene:AT1G04983	0	1	0	0
gene:AT1G13010	0	0	0	1
gene:AT1G04987	0	0	0	0
gene:AT1G13240	0	0	0	0
gene:AT1G04993	0	0	0	0
gene:AT1G04997	0	0	5	0
gene:AT1G05003	0	0	0	0
gene:AT1G05007	0	0	0	0
gene:AT1G05013	0	0	0	0
gene:AT1G13448	18	35	42	37
gene:AT1G05017	9	14	28	19
gene:AT1G05023	53	33	43	31
gene:AT1G05027	2	0	0	0
gene:AT1G13720	0	0	0	0
gene:AT1G05033	54	49	53	77
gene:AT1G13840	0	0	0	0
gene:AT1G13850	0	0	0	0
gene:AT1G05037	0	0	0	0
gene:AT1G05043	19	9	11	13
gene:AT1G05047	175	183	164	145
gene:AT1G14071	9	6	6	4
gene:AT1G05053	0	0	0	0
gene:AT1G05057	10	11	28	25
gene:AT1G05067	0	0	0	0
gene:AT1G05073	0	0	0	0
gene:AT1G05077	11	27	9	8
gene:AT1G05083	15	16	20	24
gene:AT1G05093	2	2	2	4
gene:AT1G14518	1	3	0	0
gene:AT1G05097	0	0	0	0
gene:AT1G05103	0	0	0	0
gene:AT1G05107	2	0	0	3
gene:AT1G05113	0	0	0	0
gene:AT1G05117	0	0	0	0
gene:AT1G05123	28	46	32	49
gene:AT1G05127	0	0	0	0
gene:AT1G05133	0	0	0	0
gene:AT1G15002	252	282	330	286
gene:AT1G05137	0	0	0	0
gene:AT1G05143	21	33	38	28
gene:AT1G05147	199	178	615	150
gene:AT1G15090	0	0	0	0
gene:AT1G05153	30	32	30	32
gene:AT1G15175	60	61	79	70
gene:AT1G05163	4	1	3	6
gene:AT1G15405	0	0	0	0
gene:AT1G15450	0	0	0	0
gene:AT1G05173	0	0	0	0
gene:AT1G15650	0	0	0	0
gene:AT1G05177	2	0	0	0
gene:AT1G05183	363	346	195	154
gene:AT1G05187	67	71	65	78
gene:AT1G05193	0	0	0	0
gene:AT1G05197	0	0	0	0
gene:AT1G05203	36	69	45	57
gene:AT1G05207	756	831	782	640
gene:AT1G05213	446	529	463	509
gene:AT1G16100	0	0	0	0
gene:AT1G05217	0	0	0	0
gene:AT1G05223	0	0	0	0
gene:AT1G16450	0	0	0	0
gene:AT1G05227	4	2	2	1
gene:AT1G16489	15	29	16	44
gene:AT1G05233	0	0	0	0
gene:AT1G05237	0	0	0	0
gene:AT1G05243	12	20	22	27
gene:AT1G16635	3	6	1	0
gene:AT1G05247	0	0	0	0
gene:AT1G05253	480	510	366	483
gene:AT1G05257	9	9	3	10
gene:AT1G05263	0	0	0	0
gene:AT1G05267	10	22	11	18
gene:AT1G05273	39	34	36	27
gene:AT1G05277	111	110	103	125
gene:AT1G05283	2	2	0	6
gene:AT1G05287	25	35	56	63
gene:AT1G05293	23	24	21	36
gene:AT1G05297	8	9	6	10
gene:AT1G17232	434	492	456	491
gene:AT1G17255	77	71	99	90
gene:AT1G05303	7	12	7	5
gene:AT1G05307	0	0	0	0
gene:AT1G05313	0	0	0	0
gene:AT1G17570	0	0	0	0
gene:AT1G17660	0	0	0	0
gene:AT1G17670	0	0	0	0
gene:AT1G05317	16	22	17	18
gene:AT1G05323	0	0	0	0
gene:AT1G05327	11	6	9	9
gene:AT1G05333	278	319	252	297
gene:AT1G05337	67	69	53	73
gene:AT1G05343	20	14	12	17
gene:AT1G05347	731	944	721	882
gene:AT1G05353	16	10	10	10
gene:AT1G05357	1	2	2	3
gene:AT1G05363	9	14	15	8
gene:AT1G05367	3	0	0	0
gene:AT1G05373	0	0	0	0
gene:AT1G05377	0	0	0	0
gene:AT1G18075	6	6	10	12
gene:AT1G05383	0	0	0	0
gene:AT1G05387	0	0	0	0
gene:AT1G05397	2	4	4	4
gene:AT1G18382	82	98	115	91
gene:AT1G18415	144	173	138	217
gene:AT1G18430	0	0	0	0
gene:AT1G05407	0	0	0	0
gene:AT1G05413	0	0	0	0
gene:AT1G18735	661	829	615	730
gene:AT1G18745	26	40	27	59
gene:AT1G05417	0	0	0	0
gene:AT1G05423	0	0	0	0
gene:AT1G05427	0	0	0	0
gene:AT1G05433	0	0	0	0
gene:AT1G18820	0	0	0	0
gene:AT1G05443	0	4	2	0
gene:AT1G05447	7	4	7	2
gene:AT1G18879	0	0	1	0
gene:AT1G05453	156	157	138	150
gene:AT1G05463	26	42	41	39
gene:AT1G05467	56	63	56	83
gene:AT1G05473	0	0	0	0
gene:AT1G05477	0	0	0	0
gene:AT1G05483	0	0	0	0
gene:AT1G05487	0	1	0	0
gene:AT1G05493	10	22	3	5
gene:AT1G05497	0	0	0	0
gene:AT1G19371	2	2	5	2
gene:AT1G19373	0	0	0	1
gene:AT1G19376	0	0	1	0
gene:AT1G19464	0	2	0	1
gene:AT1G05507	0	0	0	0
gene:AT1G19968	4	3	0	6
gene:AT1G20015	2	1	2	0
gene:AT1G05517	3	3	0	1
gene:AT1G20040	0	0	0	0
gene:AT1G05523	32	52	50	50
gene:AT1G05527	0	0	0	0
gene:AT1G05533	0	0	0	2
gene:AT1G20170	0	0	0	0
gene:AT1G20210	0	0	0	0
gene:AT1G20250	0	0	0	0
gene:AT1G05537	0	0	0	0
gene:AT1G05543	0	0	0	0
gene:AT1G05547	2	0	0	0
gene:AT1G20375	1	0	0	0
gene:AT1G20420	0	0	0	0
gene:AT1G05553	58	50	51	71
gene:AT1G05557	56	49	38	41
gene:AT1G20515	15	23	20	16
gene:AT1G20691	98	65	51	101
gene:AT1G05563	0	0	0	0
gene:AT1G05567	0	0	3	0
gene:AT1G05583	0	0	1	0
gene:AT1G05587	0	0	0	0
gene:AT1G05593	0	0	0	0
gene:AT1G05597	0	0	0	0
gene:AT1G05603	0	0	0	0
gene:AT1G20820	0	0	0	0
gene:AT1G05607	27	39	13	25
gene:AT1G05613	0	0	0	0
gene:AT1G05617	0	0	0	0
gene:AT1G05623	0	0	0	0
gene:AT1G05627	0	0	0	0
gene:AT1G05633	0	0	0	0
gene:AT1G21202	0	0	0	0
gene:AT1G05637	0	0	0	0
gene:AT1G05643	0	0	0	0
gene:AT1G05647	0	0	0	0
gene:AT1G05653	0	0	0	0
gene:AT1G05657	0	0	0	0
gene:AT1G05663	0	0	0	0
gene:AT1G05667	0	0	0	0
gene:AT1G05673	0	0	0	0
gene:AT1G21420	0	0	0	0
gene:AT1G21529	2	4	12	3
gene:AT1G05683	0	0	0	0
gene:AT1G21800	0	0	0	0
gene:AT1G05687	159	178	145	200
gene:AT1G05693	0	0	0	0
gene:AT1G05697	0	0	0	0
gene:AT1G05703	17	29	21	23
gene:AT1G05707	6	22	17	12
gene:AT1G05713	0	0	0	0
gene:AT1G05717	0	0	2	0
gene:AT1G05723	3	7	2	3
gene:AT1G05727	4	11	4	6
gene:AT1G05733	58	39	63	70
gene:AT1G05737	0	0	0	0
gene:AT1G22320	0	0	0	0
gene:AT1G22403	81	107	97	140
gene:AT1G05747	2	0	0	0
gene:AT1G05753	237	340	366	248
gene:AT1G05757	3	4	12	1
gene:AT1G05763	45	41	32	39
gene:AT1G05767	224	243	185	194
gene:AT1G05773	86	102	96	95
gene:AT1G05777	92	69	100	71
gene:AT1G23052	245	282	217	354
gene:AT1G05787	3	18	4	9
gene:AT1G05793	0	0	0	0
gene:AT1G05797	0	0	0	0
gene:AT1G05803	0	0	2	0
gene:AT1G05807	0	0	0	0
gene:AT1G05813	0	0	0	0
gene:AT1G05817	0	0	0	0
gene:AT1G05823	0	0	0	0
gene:AT1G05827	0	0	0	0
gene:AT1G05833	73	82	96	111
gene:AT1G05837	49	60	51	75
gene:AT1G05843	1	1	3	2
gene:AT1G05847	0	0	0	0
gene:AT1G24068	0	0	4	0
gene:AT1G24080	0	0	0	0
gene:AT1G05853	0	0	2	2
gene:AT1G05857	0	0	0	0
gene:AT1G05863	0	0	0	0
gene:AT1G05867	4	14	10	7
gene:AT1G05873	39	88	63	65
gene:AT1G05887	0	0	0	0
gene:AT1G05893	0	0	0	0
gene:AT1G05897	0	0	0	1
gene:AT1G05903	0	0	0	0
gene:AT1G05907	0	0	0	0
gene:AT1G05913	1	1	0	0
gene:AT1G05917	0	0	0	0
gene:AT1G25098	1126	1252	1135	1498
gene:AT1G25175	1045	1239	1079	1518
gene:AT1G05927	428	422	432	536
gene:AT1G05933	22	30	23	31
gene:AT1G05937	0	0	4	0
gene:AT1G05943	10	12	5	10
gene:AT1G05947	0	0	0	0
gene:AT1G05953	0	0	0	0
gene:AT1G05957	0	0	0	0
gene:AT1G05963	0	0	0	0
gene:AT1G05967	0	0	0	2
gene:AT1G05973	24	30	13	17
gene:AT1G05977	7	3	14	11
gene:AT1G05983	0	0	0	0
gene:AT1G26208	257	261	259	551
gene:AT1G05987	0	0	0	0
gene:AT1G26218	113	189	146	189
gene:AT1G26233	0	1	3	2
gene:AT1G05993	1	2	0	0
gene:AT1G05997	0	0	0	0
gene:AT1G26235	0	0	0	0
gene:AT1G26430	0	0	0	0
gene:AT1G26490	0	0	0	0
gene:AT1G06003	19	50	28	32
gene:AT1G26558	4	2	4	1
gene:AT1G06007	0	0	0	0
gene:AT1G06013	0	0	0	0
gene:AT1G06017	37	43	28	34
gene:AT1G06023	0	1	0	0
gene:AT1G06027	0	0	0	1
gene:AT1G06033	8	8	6	5
gene:AT1G06037	1	0	0	0
gene:AT1G26973	0	0	0	0
gene:AT1G26975	0	0	0	0
gene:AT1G26985	0	1	0	0
gene:AT1G06043	0	0	0	0
gene:AT1G06047	0	0	0	0
gene:AT1G06053	0	0	0	0
gene:AT1G06057	0	0	0	0
gene:AT1G06063	0	0	0	0
gene:AT1G06067	0	0	0	0
gene:AT1G06073	0	0	2	0
gene:AT1G06083	62	42	64	50
gene:AT1G06087	10	0	0	0
gene:AT1G06093	0	0	0	0
gene:AT1G06097	0	0	0	0
gene:AT1G06103	3	7	4	4
gene:AT1G27921	267	331	277	334
gene:AT1G06113	1	0	1	0
gene:AT1G06117	0	0	4	0
gene:AT1G06123	0	0	0	0
gene:AT1G06127	0	0	0	0
gene:AT1G06133	2	0	0	0
gene:AT1G06147	0	0	0	0
gene:AT1G06153	20	8	18	31
gene:AT1G06157	0	0	0	0
gene:AT1G06163	0	1	0	0
gene:AT1G28685	315	402	295	374
gene:AT1G28720	8	9	3	8
gene:AT1G28730	0	0	0	1
gene:AT1G28740	0	0	0	0
gene:AT1G28750	0	0	0	0
gene:AT1G28770	0	0	0	0
gene:AT1G28780	0	0	0	0
gene:AT1G28790	0	0	0	0
gene:AT1G28800	2	0	0	0
gene:AT1G28810	1	0	0	0
gene:AT1G06173	0	0	4	0
gene:AT1G06177	0	0	0	0
gene:AT1G28715	82	95	67	106
gene:AT1G28820	0	0	0	0
gene:AT1G28830	0	0	0	0
gene:AT1G28840	0	0	0	0
gene:AT1G28850	0	0	0	0
gene:AT1G28860	0	0	0	0
gene:AT1G28870	0	0	0	0
gene:AT1G28880	0	0	0	0
gene:AT1G28890	0	0	0	0
gene:AT1G28900	0	0	0	0
gene:AT1G28910	0	0	0	0
gene:AT1G28920	0	0	0	0
gene:AT1G28930	0	0	3	2
gene:AT1G28940	0	1	0	1
gene:AT1G28950	2	0	0	1
gene:AT1G28970	0	2	0	0
gene:AT1G28980	0	3	0	2
gene:AT1G28990	0	0	2	1
gene:AT1G06187	0	0	0	0
gene:AT1G06197	0	0	0	0
gene:AT1G06203	0	0	0	0
gene:AT1G06207	30	49	43	63
gene:AT1G06213	12	7	21	8
gene:AT1G06217	0	0	0	0
gene:AT1G29071	4	0	1	5
gene:AT1G29210	2	0	0	0
gene:AT1G29265	0	0	0	0
gene:AT1G29357	282	316	269	308
gene:AT1G06227	14	23	10	14
gene:AT1G06233	0	0	0	0
gene:AT1G06237	0	0	0	0
gene:AT1G06243	0	0	0	0
gene:AT1G06247	15	13	14	15
gene:AT1G06253	63	102	84	95
gene:AT1G06257	4	7	4	0
gene:AT1G06263	12	12	13	10
gene:AT1G06267	3	7	2	9
gene:AT1G06273	2	9	1	12
gene:AT1G06277	1	7	6	6
gene:AT1G06283	22	35	24	22
gene:AT1G06287	2	4	1	7
gene:AT1G06293	0	0	0	0
gene:AT1G29785	93	91	107	120
gene:AT1G06297	0	0	0	0
gene:AT1G06303	0	0	0	0
gene:AT1G06307	0	0	0	0
gene:AT1G30282	70	73	74	57
gene:AT1G06313	0	0	0	0
gene:AT1G06317	0	0	0	0
gene:AT1G06323	0	0	0	0
gene:AT1G30430	0	0	0	0
gene:AT1G06327	0	0	0	0
gene:AT1G06333	0	0	0	0
gene:AT1G06337	8	3	4	8
gene:AT1G06343	0	0	0	0
gene:AT1G06347	0	0	0	0
gene:AT1G06353	0	0	0	0
gene:AT1G06357	0	0	0	0
gene:AT1G06363	0	0	0	0
gene:AT1G06373	0	0	0	0
gene:AT1G30830	0	0	0	0
gene:AT1G06377	0	0	0	0
gene:AT1G06383	0	0	0	0
gene:AT1G06387	0	0	0	0
gene:AT1G06393	0	0	0	0
gene:AT1G06397	70	80	73	107
gene:AT1G06403	0	0	0	0
gene:AT1G06407	0	0	0	0
gene:AT1G31110	0	0	0	0
gene:AT1G06413	0	0	0	0
gene:AT1G31173	30	28	34	39
gene:AT1G06417	0	0	0	0
gene:AT1G06423	24	21	11	27
gene:AT1G06427	0	0	0	0
gene:AT1G31258	33	33	47	40
gene:AT1G06433	0	0	0	0
gene:AT1G31358	0	0	0	0
gene:AT1G06437	0	0	0	0
gene:AT1G31485	40	40	47	37
gene:AT1G06443	0	0	0	0
gene:AT1G06447	0	0	0	0
gene:AT1G06453	18	33	22	32
gene:AT1G06457	2	11	2	11
gene:AT1G06463	16	17	8	8
gene:AT1G06467	0	0	0	0
gene:AT1G31935	62	75	78	128
gene:AT1G06473	53	70	42	52
gene:AT1G06483	2	0	0	0
gene:AT1G06487	6	3	1	2
gene:AT1G06493	0	0	0	0
gene:AT1G06497	0	0	0	0
gene:AT1G06507	0	0	0	0
gene:AT1G06513	0	0	0	0
gene:AT1G06517	0	0	0	0
gene:AT1G06523	0	0	0	0
gene:AT1G32172	4	5	2	4
gene:AT1G06527	0	0	0	0
gene:AT1G06533	0	0	0	0
gene:AT1G06537	12	9	2	7
gene:AT1G06543	0	0	2	0
gene:AT1G06547	9	13	8	4
gene:AT1G32385	6	4	3	7
gene:AT1G06553	2	5	1	4
gene:AT1G06557	0	0	0	0
gene:AT1G06567	4	4	1	0
gene:AT1G06573	650	735	810	860
gene:AT1G06577	3	4	8	8
gene:AT1G06583	0	0	0	0
gene:AT1G06587	0	0	0	0
gene:AT1G06593	0	2	1	1
gene:AT1G32582	2	1	0	0
gene:AT1G06597	7	2	1	1
gene:AT1G32620	0	0	0	0
gene:AT1G06603	0	0	0	0
gene:AT1G06607	0	0	0	0
gene:AT1G32713	0	0	0	0
gene:AT1G06613	4	22	10	11
gene:AT1G06617	0	0	0	0
gene:AT1G06623	0	0	0	0
gene:AT1G06627	0	0	0	0
gene:AT1G06633	0	0	0	0
gene:AT1G06637	1	0	0	0
gene:AT1G32992	0	0	0	0
gene:AT1G06643	453	495	556	637
gene:AT1G06647	483	547	541	646
gene:AT1G06653	0	0	0	0
gene:AT1G06657	0	0	0	0
gene:AT1G06663	0	0	0	0
gene:AT1G06667	0	0	0	0
gene:AT1G06673	0	0	0	0
gene:AT1G33370	0	0	0	0
gene:AT1G33415	280	336	250	288
gene:AT1G06677	0	0	1	0
gene:AT1G33615	62	39	19	46
gene:AT1G06683	0	0	0	0
gene:AT1G06687	2	8	1	4
gene:AT1G06693	0	2	0	0
gene:AT1G06697	0	0	0	0
gene:AT1G06703	0	0	2	0
gene:AT1G06707	0	0	0	0
gene:AT1G06713	0	0	0	0
gene:AT1G06717	257	342	228	311
gene:AT1G06723	0	0	0	0
gene:AT1G06727	0	0	0	0
gene:AT1G06733	2	0	0	0
gene:AT1G06737	0	0	1	0
gene:AT1G06743	1	4	1	2
gene:AT1G06747	0	0	0	0
gene:AT1G06753	37	40	29	53
gene:AT1G34392	0	0	0	0
gene:AT1G34418	339	392	319	366
gene:AT1G06757	1	0	3	1
gene:AT1G06773	0	0	1	0
gene:AT1G06777	0	0	0	0
gene:AT1G06783	0	0	0	0
gene:AT1G06787	57	78	62	113
gene:AT1G34844	79	76	59	79
gene:AT1G06797	0	0	0	0
gene:AT1G06817	0	0	0	0
gene:AT1G06823	0	0	0	0
gene:AT1G06827	0	0	0	0
gene:AT1G06837	3	2	6	14
gene:AT1G06853	2	0	0	0
gene:AT1G06857	0	0	0	0
gene:AT1G06863	0	0	0	0
gene:AT1G06867	0	5	2	0
gene:AT1G06873	0	0	0	0
gene:AT1G06877	1	8	0	5
gene:AT1G06883	2	0	0	0
gene:AT1G06897	0	0	0	0
gene:AT1G06903	0	0	0	0
gene:AT1G35501	0	0	0	0
gene:AT1G06907	0	0	0	0
gene:AT1G35545	0	1	0	4
gene:AT1G06913	0	0	0	0
gene:AT1G06917	0	0	0	0
gene:AT1G06927	0	0	0	0
gene:AT1G06933	1	0	0	4
gene:AT1G06937	2	0	0	0
gene:AT1G06943	0	0	0	0
gene:AT1G06947	0	0	0	0
gene:AT1G06953	0	0	0	0
gene:AT1G06957	0	4	4	0
gene:AT1G06963	0	0	0	0
gene:AT1G06967	0	0	0	0
gene:AT1G06973	0	0	0	0
gene:AT1G36350	0	0	0	0
gene:AT1G06977	31	65	39	50
gene:AT1G06983	0	0	1	2
gene:AT1G06987	0	0	1	0
gene:AT1G06993	3	0	0	3
gene:AT1G06997	0	0	0	0
gene:AT1G36992	103	155	168	140
gene:AT1G07003	0	0	0	0
gene:AT1G07007	0	0	0	0
gene:AT1G07013	0	0	0	0
gene:AT1G07017	15	2	11	12
gene:AT1G07023	0	0	0	0
gene:AT1G07027	4	0	0	0
gene:AT1G42120	0	0	0	0
gene:AT1G07117	0	0	0	0
gene:AT1G07123	0	0	0	0
gene:AT1G07127	0	0	0	0
gene:AT1G07133	0	0	0	0
gene:AT1G07137	0	0	0	1
gene:AT1G07143	2	0	2	0
gene:AT1G07147	0	0	0	1
gene:AT1G07157	1	1	0	0
gene:AT1G07163	0	0	0	0
gene:AT1G07167	9	8	8	16
gene:AT1G07173	1	1	0	6
gene:AT1G07177	0	0	0	0
gene:AT1G07183	0	0	0	0
gene:AT1G07187	118	129	52	50
gene:AT1G07193	0	0	0	0
gene:AT1G43765	14	25	8	23
gene:AT1G07197	0	0	0	0
gene:AT1G43820	0	0	0	0
gene:AT1G07233	0	0	0	0
gene:AT1G07237	0	0	0	0
gene:AT1G07243	1	0	0	0
gene:AT1G44125	107	164	163	158
gene:AT1G07247	0	0	0	0
gene:AT1G07253	0	0	0	0
gene:AT1G07257	0	0	0	0
gene:AT1G07263	0	0	0	0
gene:AT1G07267	0	0	0	0
gene:AT1G07273	0	0	0	0
gene:AT1G07277	0	0	0	0
gene:AT1G07283	0	0	0	0
gene:AT1G07287	0	2	0	0
gene:AT1G07293	0	0	0	0
gene:AT1G07297	0	0	0	0
