Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:at5g08255	2	0	1	1
transcript:at5g55835	0	0	0	0
transcript:at5g08800	2	0	0	0
transcript:at5g58465	0	0	0	0
transcript:at5g59505	0	0	0	0
transcript:at5g08925	0	0	0	0
transcript:at5g60408	1	0	0	0
transcript:at5g62162	5	7	0	0
transcript:at5g62848	0	0	0	0
transcript:at5g63715	0	0	0	0
transcript:at5g66045	0	0	1	0
